subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,18680,[3],280,280,39060,39060
2,57300,"[3, 2]",690,435,90520,94395
1,38620,[2],410,410,83845,83845
3,328050,"[3, 2, 1]",1202,578,154510,166753
2,84180,"[3, 0]",800,532,138222,141246
3,122800,"[3, 2, 0]",1210,578,156110,166753
2,289430,"[3, 1]",792,530,135685,140185
1,65500,[0],520,520,134940,134940
2,104120,"[2, 0]",930,567,153082,160461
1,270750,[1],512,512,130816,130816
3,354930,"[3, 0, 1]",1312,612,176792,186966
2,309370,"[2, 1]",922,563,150400,158203
4,393550,"[3, 2, 0, 1]",1722,647,190701,208981
3,374870,"[2, 0, 1]",1442,640,188717,204480
2,336250,"[0, 1]",1032,605,174805,182710
