subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
10,1129928,"[5, 10, 7, 9, 2, 1, 3, 6, 4, 0]",3231,720,184191,258840
9,841928,"[5, 10, 7, 9, 2, 1, 3, 6, 4]",2813,662,157775,218791
9,1014171,"[5, 10, 7, 9, 2, 1, 6, 4, 0]",2896,717,182094,256686
3,111512,"[5, 10, 7]",876,543,100908,147153
8,876074,"[5, 10, 7, 9, 2, 8, 4, 0]",2534,691,171092,238395
9,827474,"[5, 10, 7, 9, 2, 1, 8, 6, 4]",2775,663,158015,219453
0,0,[],0,0,0,0
4,178012,"[5, 10, 7, 9]",1144,558,110179,155403
9,960528,"[5, 10, 7, 9, 2, 1, 3, 4, 0]",2925,708,179967,250278
8,844771,"[5, 10, 7, 9, 2, 1, 4, 0]",2590,705,177836,248160
7,556771,"[5, 10, 7, 9, 2, 1, 4]",2172,640,149204,204480
10,991081,"[5, 10, 7, 9, 2, 1, 8, 3, 6, 0]",3193,719,183628,258121
7,432378,"[5, 10, 7, 9, 2, 1, 3]",2172,639,148043,203841
8,587324,"[5, 10, 7, 9, 2, 1, 8, 6]",2440,658,154615,216153
5,246621,"[5, 10, 7, 9, 2]",1484,580,123657,167910
8,774021,"[5, 10, 7, 9, 2, 1, 6, 0]",2561,711,178218,252405
9,875324,"[5, 10, 7, 9, 2, 1, 8, 6, 0]",2858,716,181456,255970
9,703081,"[5, 10, 7, 9, 2, 1, 8, 3, 6]",2775,661,156987,218130
9,889778,"[5, 10, 7, 9, 2, 1, 3, 6, 0]",2896,715,180936,255255
9,946074,"[5, 10, 7, 9, 2, 1, 8, 4, 0]",2887,711,180608,252405
6,316621,"[5, 10, 7, 9, 2, 1]",1837,633,144698,200028
2,47700,"[5, 10]",573,416,70420,86320
7,588074,"[5, 10, 7, 9, 2, 8, 4]",2116,597,132220,177906
7,635924,"[5, 10, 7, 9, 2, 8, 0]",2199,686,167875,234955
8,705924,"[5, 10, 7, 9, 2, 1, 8, 0]",2552,706,177505,248865
8,944171,"[5, 10, 7, 9, 2, 6, 4, 0]",2543,700,174766,244650
10,1061831,"[5, 10, 7, 9, 2, 1, 8, 3, 4, 0]",3222,713,182327,253828
10,1115474,"[5, 10, 7, 9, 2, 1, 8, 6, 4, 0]",3193,721,184519,259560
10,943231,"[5, 10, 7, 9, 2, 1, 8, 3, 6, 4]",3110,665,159835,220780
7,417924,"[5, 10, 7, 9, 2, 1, 8]",2134,641,148591,205120
9,773831,"[5, 10, 7, 9, 2, 1, 8, 3, 4]",2804,649,154075,210276
7,604621,"[5, 10, 7, 9, 2, 1, 0]",2255,699,173890,243951
8,726171,"[5, 10, 7, 9, 2, 1, 6, 4]",2478,659,155529,216811
7,486021,"[5, 10, 7, 9, 2, 1, 6]",2143,652,151118,212226
8,672528,"[5, 10, 7, 9, 2, 1, 3, 4]",2507,644,151665,207046
7,463681,"[5, 10, 7, 9, 2, 8, 3]",2116,595,131195,176715
9,821681,"[5, 10, 7, 9, 2, 1, 8, 3, 0]",2887,709,179732,250986
8,533681,"[5, 10, 7, 9, 2, 1, 8, 3]",2469,645,151198,207690
1,17900,[5],316,316,49770,49770
8,601778,"[5, 10, 7, 9, 2, 1, 3, 6]",2478,657,154204,215496
8,720378,"[5, 10, 7, 9, 2, 1, 3, 0]",2590,703,176685,246753
8,658074,"[5, 10, 7, 9, 2, 1, 8, 4]",2469,646,152045,208335
6,347924,"[5, 10, 7, 9, 2, 8]",1781,591,128326,174345
6,362378,"[5, 10, 7, 9, 2, 3]",1819,586,127287,171405
6,416021,"[5, 10, 7, 9, 2, 6]",1790,617,136845,190036
7,602528,"[5, 10, 7, 9, 2, 3, 4]",2154,594,131751,176121
7,517324,"[5, 10, 7, 9, 2, 8, 6]",2087,625,140751,195000
7,531778,"[5, 10, 7, 9, 2, 3, 6]",2125,622,140026,193131
8,633081,"[5, 10, 7, 9, 2, 8, 3, 6]",2422,628,143218,196878
8,757474,"[5, 10, 7, 9, 2, 8, 6, 4]",2422,630,144315,198135
9,1045474,"[5, 10, 7, 9, 2, 8, 6, 4, 0]",2840,705,177371,248160
8,703831,"[5, 10, 7, 9, 2, 8, 3, 4]",2451,600,134502,179700
7,656171,"[5, 10, 7, 9, 2, 6, 4]",2125,625,141606,195000
8,751681,"[5, 10, 7, 9, 2, 8, 3, 0]",2534,689,170175,237016
9,873231,"[5, 10, 7, 9, 2, 8, 3, 6, 4]",2757,632,146228,199396
7,650378,"[5, 10, 7, 9, 2, 3, 0]",2237,682,166836,232221
9,921081,"[5, 10, 7, 9, 2, 8, 3, 6, 0]",2840,703,176427,246753
8,890528,"[5, 10, 7, 9, 2, 3, 4, 0]",2572,687,170331,235641
8,819778,"[5, 10, 7, 9, 2, 3, 6, 0]",2543,698,173537,243253
7,704021,"[5, 10, 7, 9, 2, 6, 0]",2208,694,170794,240471
8,771928,"[5, 10, 7, 9, 2, 3, 6, 4]",2460,628,143945,196878
8,805324,"[5, 10, 7, 9, 2, 8, 6, 0]",2505,700,174230,244650
9,991831,"[5, 10, 7, 9, 2, 8, 3, 4, 0]",2869,693,172883,239778
10,1161231,"[5, 10, 7, 9, 2, 8, 3, 6, 4, 0]",3175,707,179084,249571
5,248012,"[5, 10, 7, 9, 1]",1497,621,134429,192510
6,486771,"[5, 10, 7, 9, 2, 4]",1819,590,129015,173755
6,349315,"[5, 10, 7, 9, 1, 8]",1794,634,141945,200661
6,534621,"[5, 10, 7, 9, 2, 0]",1902,678,163968,229503
8,634472,"[5, 10, 7, 9, 1, 8, 3, 6]",2435,655,152031,214185
7,774771,"[5, 10, 7, 9, 2, 4, 0]",2237,684,168128,233586
9,1059928,"[5, 10, 7, 9, 2, 3, 6, 4, 0]",2878,703,176888,246753
7,465072,"[5, 10, 7, 9, 1, 8, 3]",2129,639,146024,203841
9,874622,"[5, 10, 7, 9, 1, 8, 3, 6, 4]",2770,661,156236,218130
10,1162622,"[5, 10, 7, 9, 1, 8, 3, 6, 4, 0]",3188,719,182938,258121
8,758865,"[5, 10, 7, 9, 1, 8, 6, 4]",2435,659,153763,216811
8,705222,"[5, 10, 7, 9, 1, 8, 3, 4]",2464,645,150288,207690
9,922472,"[5, 10, 7, 9, 1, 8, 3, 6, 0]",2853,714,179226,254541
8,753072,"[5, 10, 7, 9, 1, 8, 3, 0]",2547,704,175213,247456
7,518715,"[5, 10, 7, 9, 1, 8, 6]",2100,652,148426,212226
9,1046865,"[5, 10, 7, 9, 1, 8, 6, 4, 0]",2853,717,180626,256686
9,993222,"[5, 10, 7, 9, 1, 8, 3, 4, 0]",2882,709,178965,250986
8,806715,"[5, 10, 7, 9, 1, 8, 6, 0]",2518,711,175891,252405
5,279315,"[5, 10, 7, 9, 8]",1441,574,118726,164451
7,589465,"[5, 10, 7, 9, 1, 8, 4]",2129,642,147551,205761
6,395072,"[5, 10, 7, 9, 8, 3]",1776,580,123489,167910
7,533169,"[5, 10, 7, 9, 1, 3, 6]",2138,649,148408,210276
8,877465,"[5, 10, 7, 9, 1, 8, 4, 0]",2547,707,176575,249571
6,363769,"[5, 10, 7, 9, 1, 3]",1832,631,142020,198765
7,637315,"[5, 10, 7, 9, 1, 8, 0]",2212,700,171601,244650
7,603919,"[5, 10, 7, 9, 1, 3, 4]",2167,638,147255,203203
9,1061319,"[5, 10, 7, 9, 1, 3, 6, 4, 0]",2891,714,180307,254541
7,705412,"[5, 10, 7, 9, 1, 6, 0]",2221,702,169387,246051
