subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
0,0,[],0,0,0,0,0.0,0.0,0.0,0.0
1,3000,[9],142,142,10011,10011,0.05380826070481243,0.3034188034188034,0.09978072361208014,0.091610388184264
2,8000,"[9, 8]",297,206,17851,21115,0.1125426297840091,0.44017094017094016,0.17792285457988638,0.1932227895825326
4,28600,"[9, 8, 5, 12]",650,309,41181,47586,0.24630541871921183,0.6602564102564102,0.4104554968603608,0.43545818920551255
3,17000,"[9, 8, 5]",561,306,40857,46665,0.2125805229253505,0.6538461538461539,0.40722615369281373,0.4270301433042332
5,46725,"[9, 8, 5, 12, 11]",772,320,42860,51040,0.2925350511557408,0.6837606837606838,0.4271902721020632,0.46706564907849707
7,86725,"[9, 8, 5, 12, 11, 0, 10]",1220,401,70577,80200,0.4622963243652899,0.8568376068376068,0.703448619555467,0.7339080144219331
8,114325,"[9, 8, 5, 12, 11, 0, 10, 4]",1504,426,79348,90525,0.5699128457749147,0.9102564102564102,0.7908701285757002,0.8283918080491957
6,66725,"[9, 8, 5, 12, 11, 0]",1102,399,70216,79401,0.4175824175824176,0.8525641025641025,0.6998504933718728,0.726596387195959
11,409625,"[9, 8, 5, 12, 11, 0, 10, 4, 3, 6, 7]",2255,454,92969,102831,0.854490337248958,0.9700854700854701,0.9266321140237217,0.9410036786910448
9,144325,"[9, 8, 5, 12, 11, 0, 10, 4, 3]",1812,444,87865,98346,0.6866237211064797,0.9487179487179487,0.8757599920263132,0.8999615659144568
10,187325,"[9, 8, 5, 12, 11, 0, 10, 4, 3, 1]",2109,457,93898,104196,0.7991663508904888,0.9764957264957265,0.9358915578590651,0.9534947564926152
11,474325,"[9, 8, 5, 12, 11, 0, 10, 4, 3, 2, 7]",2303,462,96494,106491,0.8726790450928382,0.9871794871794872,0.9617661716336091,0.9744962389502004
9,157325,"[9, 8, 5, 12, 11, 0, 10, 4, 1]",1801,443,86859,97903,0.6824554755589238,0.9465811965811965,0.8657330808332503,0.8959076849869141
11,272625,"[9, 8, 5, 12, 11, 0, 10, 4, 3, 1, 6]",2350,458,95622,104653,0.8904888215233043,0.9786324786324786,0.953074852985149,0.9576767510386354
10,324325,"[9, 8, 5, 12, 11, 0, 10, 4, 3, 7]",2014,452,91059,101926,0.7631678666161424,0.9658119658119658,0.9075949367088607,0.93272204835374
11,337325,"[9, 8, 5, 12, 11, 0, 10, 4, 3, 1, 2]",2398,465,98819,107880,0.9086775293671845,0.9935897435897436,0.984939698993322,0.9872069400977324
9,294325,"[9, 8, 5, 12, 11, 0, 10, 4, 7]",1706,441,84063,97020,0.6464569912845775,0.9423076923076923,0.8378650453503439,0.8878273760500741
12,422625,"[9, 8, 5, 12, 11, 0, 10, 4, 3, 1, 6, 2]",2639,466,99941,108345,1.0,0.9957264957264957,0.9961227947772351,0.9914621424257398
10,229625,"[9, 8, 5, 12, 11, 0, 10, 4, 3, 6]",2053,447,90263,99681,0.7779461917392951,0.9551282051282052,0.8996611183095784,0.9121781145335749
