method,committee,k,alpha_PAIRS,alpha_CONS,alpha_EJR
MES,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]",12,0.9961227947772352,0.9914621424257398,1.0
AV,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]",12,0.9961227947772352,0.9914621424257398,1.0
greedy-AV/cost,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]",12,0.9961227947772352,0.9914621424257398,1.0
greedy-AV/cost^2,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]",12,0.9961227947772352,0.9914621424257398,1.0
greedy-CC,"[0, 1, 2, 3, 4, 5, 7, 8, 9]",9,1.0,1.0,1.0
greedy-PAV,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]",12,0.9961227947772352,0.9914621424257398,1.0
PAIRS-AV,"[0, 1, 2, 3, 4, 5, 7, 8, 9]",9,1.0,1.0,1.0
PAIRS-CC,"[0, 1, 2, 3, 4, 5, 7, 8, 9]",9,1.0,1.0,1.0
CONS-AV,"[0, 1, 2, 3, 4, 5, 7, 8, 9]",9,1.0,1.0,1.0
CONS-CC,"[0, 1, 2, 3, 4, 5, 7]",7,0.9989036180604008,1.0,1.0
