method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
MES,12,422625,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]",2639,466,99941,108345,1.0,0.9957264957264957,0.9961227947772351,0.9914621424257398
AV,12,422625,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]",2639,466,99941,108345,1.0,0.9957264957264957,0.9961227947772351,0.9914621424257398
greedy-AV/cost,12,422625,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]",2639,466,99941,108345,1.0,0.9957264957264957,0.9961227947772351,0.9914621424257398
greedy-AV/cost^2,12,422625,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]",2639,466,99941,108345,1.0,0.9957264957264957,0.9961227947772351,0.9914621424257398
greedy-CC,9,467600,"[0, 1, 2, 3, 4, 5, 7, 8, 9]",2271,468,100330,109278,0.8605532398635847,1.0,1.0,1.0
greedy-PAV,12,422625,"[0, 1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12]",2639,466,99941,108345,1.0,0.9957264957264957,0.9961227947772351,0.9914621424257398
PAIRS-AV,9,467600,"[0, 1, 2, 3, 4, 5, 7, 8, 9]",2271,468,100330,109278,0.8605532398635847,1.0,1.0,1.0
PAIRS-CC,9,467600,"[0, 1, 2, 3, 4, 5, 7, 8, 9]",2271,468,100330,109278,0.8605532398635847,1.0,1.0,1.0
CONS-AV,9,467600,"[0, 1, 2, 3, 4, 5, 7, 8, 9]",2271,468,100330,109278,0.8605532398635847,1.0,1.0,1.0
CONS-CC,7,459600,"[0, 1, 2, 3, 4, 5, 7]",1974,468,100220,109278,0.7480106100795756,1.0,0.9989036180604007,1.0
