subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,5000,[6],85,85,3570,3570
2,13500,"[6, 5]",176,142,7104,10011
3,25500,"[6, 5, 1]",356,224,19814,24976
4,39360,"[6, 5, 1, 4]",455,249,22204,30876
4,55500,"[6, 5, 1, 2]",519,251,25176,31375
5,89270,"[6, 5, 1, 4, 7]",511,262,23178,34191
4,87360,"[6, 5, 4, 0]",484,263,27038,34453
5,117360,"[6, 5, 4, 2, 0]",647,279,30818,38781
5,99360,"[6, 5, 1, 4, 0]",664,313,35520,48828
4,103500,"[6, 5, 2, 0]",548,267,29512,35511
4,75410,"[6, 5, 1, 7]",412,247,20924,30381
5,115500,"[6, 5, 1, 2, 0]",728,316,37467,49770
3,27360,"[6, 5, 4]",275,168,10167,14028
5,105410,"[6, 5, 1, 2, 7]",575,274,26274,37401
4,57360,"[6, 5, 4, 2]",438,203,16978,20503
4,85500,"[6, 5, 1, 0]",565,300,33965,44850
5,69360,"[6, 5, 1, 4, 2]",618,270,26958,36315
3,43500,"[6, 5, 2]",339,183,15135,16653
6,119270,"[6, 5, 1, 4, 2, 7]",674,283,27921,39903
5,120860,"[6, 1, 4, 2, 0]",736,321,37901,51360
2,17000,"[6, 1]",265,208,18084,21528
3,63410,"[6, 5, 7]",232,183,8547,16653
4,93410,"[6, 5, 2, 7]",395,223,16556,24753
4,77270,"[6, 5, 4, 7]",331,199,11474,19701
5,107270,"[6, 5, 4, 2, 7]",494,233,18264,27028
3,47000,"[6, 1, 2]",428,243,24166,29403
3,66910,"[6, 1, 7]",321,233,19213,27028
3,48860,"[6, 4, 2]",347,194,15893,18721
3,68770,"[6, 4, 7]",240,185,9275,17020
3,77000,"[6, 1, 0]",474,290,32799,41905
3,124000,"[6, 5, 3]",283,244,12765,29646
3,73500,"[6, 5, 0]",385,249,25354,30876
4,107000,"[6, 1, 2, 0]",637,310,36643,47895
4,123410,"[6, 5, 7, 0]",441,265,26472,34980
3,30860,"[6, 1, 4]",364,239,20879,28441
2,35000,"[6, 2]",248,173,13998,14878
4,98770,"[6, 4, 2, 7]",403,224,17181,24976
4,108860,"[6, 4, 2, 0]",556,273,29985,37128
3,78860,"[6, 4, 0]",393,256,25940,32640
2,115500,"[6, 3]",192,187,9231,17391
2,65000,"[6, 0]",294,237,23710,27966
3,84910,"[6, 2, 7]",304,213,15421,22578
4,60860,"[6, 1, 4, 2]",527,263,26000,34453
2,18860,"[6, 4]",184,153,7956,11628
2,54910,"[6, 7]",141,128,5032,8128
2,22360,"[5, 4]",190,137,7568,9316
3,95000,"[6, 2, 0]",457,261,28666,33930
4,80770,"[6, 1, 4, 7]",420,253,21865,31878
4,64360,"[5, 1, 4, 2]",533,268,26432,35778
4,96910,"[6, 1, 2, 7]",484,266,25266,35245
5,110770,"[6, 1, 4, 2, 7]",583,276,26965,37950
4,90860,"[6, 1, 4, 0]",573,306,34543,46665
2,58410,"[5, 7]",147,136,5580,9180
2,20500,"[5, 1]",271,206,18125,21115
2,38500,"[5, 2]",254,179,14523,15931
3,52360,"[5, 4, 2]",353,200,16396,19900
3,72270,"[5, 4, 7]",246,171,8910,14535
3,70410,"[5, 1, 7]",327,231,19260,26565
3,50500,"[5, 1, 2]",434,248,24620,30628
3,34360,"[5, 1, 4]",370,234,20653,27261
5,124360,"[5, 1, 4, 2, 0]",742,326,38290,52975
3,88410,"[5, 2, 7]",310,219,15948,23871
3,114910,"[6, 7, 0]",350,255,24847,32385
4,84270,"[5, 1, 4, 7]",426,249,21652,30876
4,94360,"[5, 1, 4, 0]",579,306,34510,46665
5,114270,"[5, 1, 4, 2, 7]",589,281,27399,39340
4,102270,"[5, 4, 2, 7]",409,230,17686,26335
3,80500,"[5, 1, 0]",480,291,32884,42195
4,100410,"[5, 1, 2, 7]",490,271,25722,36585
3,118410,"[5, 7, 0]",356,255,24911,32385
4,112360,"[5, 4, 2, 0]",562,278,30382,38503
1,8500,[5],91,91,4095,4095
4,110500,"[5, 1, 2, 0]",643,314,37015,49141
3,98500,"[5, 2, 0]",463,265,29046,34980
1,12000,[1],180,180,16110,16110
2,25860,"[1, 4]",279,217,19070,23436
3,82360,"[5, 4, 0]",399,252,25658,31626
2,68500,"[5, 0]",300,235,23751,27495
2,42000,"[1, 2]",343,234,23427,27261
3,55860,"[1, 4, 2]",442,255,25291,32385
3,121910,"[1, 7, 0]",445,295,32491,43365
4,105770,"[1, 4, 2, 7]",498,269,26268,36046
2,119000,"[5, 3]",198,193,9756,18528
2,72000,"[1, 0]",389,276,31518,37950
2,61910,"[1, 7]",236,208,17272,21528
1,13860,[4],99,99,4851,4851
3,75770,"[1, 4, 7]",335,234,20089,27261
4,115860,"[1, 4, 2, 0]",651,315,37315,49455
2,43860,"[4, 2]",262,185,15128,17020
2,63770,"[4, 7]",155,136,6220,9180
2,122500,"[1, 3]",287,247,21001,30381
3,93770,"[4, 2, 7]",318,216,16428,23220
2,124360,"[4, 3]",206,202,10516,20301
3,102000,"[1, 2, 0]",552,303,36027,45753
2,90000,"[2, 0]",372,254,28036,32131
3,91910,"[1, 2, 7]",399,258,24539,33153
3,85860,"[1, 4, 0]",488,294,33357,43071
1,49910,[7],56,56,1540,1540
1,30000,[2],163,163,13203,13203
1,110500,[3],107,107,5671,5671
1,60000,[0],209,209,21736,21736
2,109910,"[7, 0]",265,239,22951,28441
2,73860,"[4, 0]",308,239,24241,28441
2,79910,"[2, 7]",219,204,14638,20706
3,103860,"[4, 2, 0]",471,267,29385,35511
3,123770,"[4, 7, 0]",364,257,25306,32896
