subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,13400,[5],270,270,36315,36315
2,43400,"[5, 1]",646,449,87509,100576
3,83400,"[5, 1, 2]",1011,481,104771,115440
4,152400,"[5, 1, 2, 3]",1368,509,116147,129286
4,181400,"[5, 1, 2, 4]",1308,495,110359,122265
6,750400,"[5, 1, 2, 3, 4, 6]",1854,534,123363,142311
5,250400,"[5, 1, 2, 3, 4]",1665,516,119343,132870
3,112400,"[5, 1, 3]",1003,487,105989,118341
5,652400,"[5, 1, 2, 3, 6]",1557,528,120345,139128
5,409739,"[5, 1, 2, 3, 0]",1763,558,136178,155403
5,438739,"[5, 1, 2, 4, 0]",1703,545,130825,148240
5,681400,"[5, 1, 2, 4, 6]",1497,513,114683,131328
6,507739,"[5, 1, 2, 3, 4, 0]",2060,563,138483,158203
4,398739,"[5, 1, 4, 0]",1338,531,124497,140715
4,583400,"[5, 1, 2, 6]",1200,503,109393,126253
4,340739,"[5, 1, 2, 0]",1406,536,126906,143380
4,210400,"[5, 1, 3, 4]",1300,501,111397,125250
5,840739,"[5, 1, 2, 0, 6]",1595,554,130888,153181
2,53400,"[5, 2]",635,396,74304,78210
3,122400,"[5, 2, 3]",992,442,90909,97461
3,141400,"[5, 1, 4]",943,474,96755,112101
5,898739,"[5, 1, 4, 0, 6]",1527,548,128891,149878
4,800739,"[5, 1, 0, 6]",1230,543,124573,147153
4,612400,"[5, 1, 3, 6]",1192,512,111331,130816
3,300739,"[5, 1, 0]",1041,522,119781,135981
4,651400,"[5, 2, 4, 6]",1121,461,91641,106030
3,543400,"[5, 1, 6]",835,480,94162,114960
4,369739,"[5, 1, 3, 0]",1398,545,130367,148240
3,310739,"[5, 2, 0]",1030,466,101485,108345
4,379739,"[5, 2, 3, 0]",1387,502,114784,125751
3,151400,"[5, 2, 4]",932,427,83697,90951
2,82400,"[5, 3]",627,395,73065,77815
5,710400,"[5, 1, 3, 4, 6]",1489,521,116421,135460
4,622400,"[5, 2, 3, 6]",1181,476,98045,113050
5,869739,"[5, 1, 3, 0, 6]",1587,562,134449,157641
4,408739,"[5, 2, 4, 0]",1327,487,108253,118341
5,467739,"[5, 1, 3, 4, 0]",1695,550,133057,150975
4,641400,"[5, 1, 4, 6]",1132,497,102964,123256
3,553400,"[5, 2, 6]",824,438,82764,95703
4,220400,"[5, 2, 3, 4]",1289,456,96089,103740
5,720400,"[5, 2, 3, 4, 6]",1478,488,102934,118828
4,810739,"[5, 2, 0, 6]",1219,501,108221,125250
5,477739,"[5, 2, 3, 4, 0]",1684,512,118534,130816
5,879739,"[5, 2, 3, 0, 6]",1576,530,120528,140185
3,180400,"[5, 3, 4]",924,425,82118,90100
3,582400,"[5, 3, 6]",816,446,83094,99235
1,30000,[1],376,376,70500,70500
2,70000,"[1, 2]",741,473,101152,111628
2,111400,"[5, 4]",567,332,52776,54946
2,513400,"[5, 6]",459,387,51525,74691
2,270739,"[5, 0]",665,436,88024,94830
3,611400,"[5, 4, 6]",756,433,67210,93528
3,770739,"[5, 0, 6]",854,481,97870,115440
3,339739,"[5, 3, 0]",1022,482,106288,115921
3,368739,"[5, 4, 0]",962,464,97192,107416
4,680400,"[5, 3, 4, 6]",1113,469,91686,109746
3,139000,"[1, 2, 3]",1098,505,114178,127260
2,99000,"[1, 3]",733,479,101915,114481
4,437739,"[5, 3, 4, 0]",1319,494,111048,121771
4,839739,"[5, 3, 0, 6]",1211,515,113140,132355
3,168000,"[1, 2, 4]",1038,493,108961,121278
4,868739,"[5, 4, 0, 6]",1151,497,106308,123256
3,570000,"[1, 2, 6]",930,496,106097,122760
3,327339,"[1, 2, 0]",1136,532,125247,141246
4,237000,"[1, 2, 3, 4]",1395,514,118429,131841
3,197000,"[1, 3, 4]",1030,495,108742,122265
4,639000,"[1, 2, 3, 6]",1287,525,118611,137550
4,425339,"[1, 2, 4, 0]",1433,544,130199,147696
5,737000,"[1, 2, 3, 4, 6]",1584,532,122626,141246
4,668000,"[1, 2, 4, 6]",1227,511,113546,130305
4,827339,"[1, 2, 0, 6]",1325,550,129346,150975
4,454339,"[1, 3, 4, 0]",1425,548,132220,149878
4,396339,"[1, 2, 3, 0]",1493,556,135369,154290
4,697000,"[1, 3, 4, 6]",1219,518,114228,133903
5,494339,"[1, 2, 3, 4, 0]",1790,562,137998,157641
5,896339,"[1, 2, 3, 0, 6]",1682,571,139022,162735
3,356339,"[1, 3, 0]",1128,542,129192,146611
2,128000,"[1, 4]",673,459,91665,105111
3,599000,"[1, 3, 6]",922,508,107777,128778
1,40000,[2],365,365,66430,66430
4,885339,"[1, 4, 0, 6]",1257,546,128077,148785
2,530000,"[1, 6]",565,422,78113,88831
3,638000,"[2, 4, 6]",851,459,89448,105111
3,395339,"[2, 4, 0]",1057,484,107024,116886
3,385339,"[1, 4, 0]",1068,529,123247,139656
3,628000,"[1, 4, 6]",862,494,98717,121771
2,287339,"[1, 0]",771,515,115675,132355
3,609000,"[2, 3, 6]",911,472,94593,111156
2,109000,"[2, 3]",722,427,86611,90951
3,797339,"[2, 0, 6]",949,495,105638,122265
3,366339,"[2, 3, 0]",1117,499,113354,124251
3,787339,"[1, 0, 6]",960,538,121011,144453
4,856339,"[1, 3, 0, 6]",1317,559,133459,155961
4,707000,"[2, 3, 4, 6]",1208,486,101939,117855
2,138000,"[2, 4]",662,418,80740,87153
3,207000,"[2, 3, 4]",1019,453,94603,102378
2,297339,"[2, 0]",760,456,98189,103740
4,464339,"[2, 3, 4, 0]",1414,510,117776,129795
4,895339,"[2, 4, 0, 6]",1246,513,113628,131328
