subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,2900,[3],5,5,10,10
2,8725,"[3, 1]",19,15,95,105
3,24720,"[3, 1, 0]",35,24,194,276
1,15995,[0],16,16,120,120
2,18895,"[3, 0]",21,17,124,136
3,38895,"[3, 0, 2]",33,22,171,231
4,44720,"[3, 1, 0, 2]",47,27,228,351
2,22900,"[3, 2]",17,12,66,66
3,28725,"[3, 1, 2]",31,18,129,153
1,5825,[1],14,14,91,91
2,21820,"[1, 0]",30,23,190,253
2,25825,"[1, 2]",26,18,129,153
3,41820,"[1, 0, 2]",42,27,228,351
2,35995,"[0, 2]",28,22,171,231
1,20000,[2],12,12,66,66
