subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
2,10800,"[1, 5]",271,166,12921,13695
1,3600,[1],148,148,10878,10878
3,18320,"[1, 5, 2]",411,179,14858,15931
4,34702,"[1, 5, 2, 4]",539,181,15141,16290
5,65502,"[1, 5, 2, 4, 3]",673,191,16436,18145
4,49120,"[1, 5, 2, 3]",545,189,16158,17766
5,99702,"[1, 5, 2, 4, 0]",762,251,28706,31375
6,130502,"[1, 5, 2, 4, 3, 0]",896,258,29656,33153
3,27182,"[1, 5, 4]",399,170,13487,14365
4,83320,"[1, 5, 2, 0]",634,250,28560,31125
4,57982,"[1, 5, 4, 3]",533,181,14915,16290
5,114120,"[1, 5, 2, 3, 0]",768,257,29511,32896
5,122982,"[1, 5, 4, 3, 0]",756,255,29122,32385
4,92182,"[1, 5, 4, 0]",622,247,28050,30381
3,27502,"[1, 2, 4]",416,179,14882,15931
3,41600,"[1, 5, 3]",405,178,14499,15753
2,19982,"[1, 4]",276,168,13228,14028
3,50782,"[1, 4, 3]",410,180,14774,16110
4,106920,"[1, 2, 3, 0]",645,256,29364,32640
3,75800,"[1, 5, 0]",494,246,27862,30135
4,106600,"[1, 5, 3, 0]",628,254,28952,32131
2,14720,"[5, 2]",263,149,10792,11026
3,41920,"[1, 2, 3]",422,188,15996,17578
1,7200,[5],123,123,7503,7503
4,92502,"[1, 2, 4, 0]",639,249,28458,30876
2,11120,"[1, 2]",288,177,14503,15576
3,45520,"[5, 2, 3]",397,159,12107,12561
4,96102,"[5, 2, 4, 0]",614,240,27033,28680
4,115782,"[1, 4, 3, 0]",633,254,28992,32131
4,110520,"[5, 2, 3, 0]",620,246,27826,30135
5,126902,"[5, 2, 4, 3, 0]",748,247,27984,30381
2,68600,"[1, 0]",371,239,26985,28441
4,58302,"[1, 2, 4, 3]",550,190,16295,17955
5,123302,"[1, 2, 4, 3, 0]",773,257,29526,32896
3,31102,"[5, 2, 4]",391,152,11200,11476
2,34400,"[1, 3]",282,176,14224,15400
3,84982,"[1, 4, 0]",499,245,27802,29890
2,23582,"[5, 4]",251,131,8491,8515
4,61902,"[5, 2, 4, 3]",525,162,12500,13041
3,54382,"[5, 4, 3]",385,143,10024,10153
3,76120,"[1, 2, 0]",511,248,28260,30628
2,72200,"[5, 0]",346,234,26040,27261
3,99400,"[1, 3, 0]",505,253,28798,31878
3,103000,"[5, 3, 0]",480,242,27139,29161
3,79720,"[5, 2, 0]",486,239,26872,28441
3,88582,"[5, 4, 0]",474,236,26347,27730
2,38000,"[5, 3]",257,138,9393,9453
4,119382,"[5, 4, 3, 0]",608,244,27422,29646
1,7520,[2],140,140,9730,9730
2,23902,"[2, 4]",268,149,10837,11026
2,38320,"[2, 3]",274,156,11738,12090
3,54702,"[2, 4, 3]",402,160,12255,12720
1,16382,[4],128,128,8128,8128
2,72520,"[2, 0]",363,235,26355,27495
3,88902,"[2, 4, 0]",491,238,26781,28203
1,30800,[3],134,134,8911,8911
2,47182,"[4, 3]",262,141,9779,9870
3,103320,"[2, 3, 0]",497,244,27572,29646
4,119702,"[2, 4, 3, 0]",625,246,27850,30135
1,65000,[0],223,223,24753,24753
2,95800,"[3, 0]",357,240,26878,28680
3,112182,"[4, 3, 0]",485,243,27288,29403
2,81382,"[4, 0]",351,234,26095,27261
