subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,900,[3],106,106,5565,5565
2,6900,"[3, 1]",275,188,16020,17578
3,12900,"[3, 1, 2]",386,209,19016,21736
1,6000,[1],169,169,14196,14196
2,104587,"[3, 4]",181,138,7437,9453
2,103976,"[3, 0]",375,331,40665,54615
3,110587,"[3, 2, 4]",292,216,13126,23220
2,6900,"[3, 2]",217,191,11345,18145
2,12000,"[1, 2]",280,204,17451,20706
3,109976,"[3, 2, 0]",486,344,43673,58996
2,109687,"[1, 4]",244,209,16376,21736
3,115076,"[1, 2, 0]",549,349,46459,60726
2,109076,"[1, 0]",438,326,44026,52975
2,109076,"[2, 0]",380,305,39376,46360
1,6000,[2],111,111,6105,6105
2,109687,"[2, 4]",186,169,8744,14196
1,103076,[0],269,269,36046,36046
3,110587,"[3, 1, 4]",350,214,17703,22791
3,109976,"[3, 1, 0]",544,342,45724,58311
1,103687,[4],75,75,2775,2775
