subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,7805,[4],169,169,14196,14196
2,23005,"[4, 8]",299,198,17531,19503
4,67505,"[4, 8, 7, 3]",623,261,28145,33930
3,42005,"[4, 8, 7]",443,232,22202,26796
6,132668,"[4, 8, 7, 3, 9, 10]",819,279,30777,38781
5,99255,"[4, 8, 7, 3, 9]",745,276,30244,37950
8,208668,"[4, 8, 7, 3, 9, 10, 5, 2]",1232,314,43083,49141
7,167668,"[4, 8, 7, 3, 9, 10, 5]",987,292,34604,42486
9,254318,"[4, 8, 7, 3, 9, 10, 5, 2, 6]",1395,334,46475,55611
9,309318,"[4, 8, 7, 3, 9, 10, 2, 6, 1]",1473,343,50367,58653
8,213318,"[4, 8, 7, 3, 9, 10, 5, 6]",1150,314,38997,49141
9,298668,"[4, 8, 7, 3, 9, 10, 5, 2, 1]",1478,324,47837,52326
10,344318,"[4, 8, 7, 3, 9, 10, 5, 2, 6, 1]",1641,343,50782,58653
9,303318,"[4, 8, 7, 3, 9, 10, 5, 6, 1]",1396,330,46524,54285
9,608668,"[4, 8, 7, 3, 9, 10, 5, 2, 0]",1536,355,57919,62835
8,567668,"[4, 8, 7, 3, 9, 10, 5, 0]",1291,353,56089,62128
8,219318,"[4, 8, 7, 3, 9, 10, 2, 6]",1227,327,44442,53301
7,532668,"[4, 8, 7, 3, 9, 10, 0]",1123,352,55368,61776
8,257668,"[4, 8, 7, 3, 9, 10, 5, 1]",1233,311,43470,48205
7,173668,"[4, 8, 7, 3, 9, 10, 2]",1064,307,40844,46971
7,222668,"[4, 8, 7, 3, 9, 10, 1]",1065,311,42666,48205
9,613318,"[4, 8, 7, 3, 9, 10, 5, 6, 0]",1454,372,59217,69006
9,310905,"[4, 8, 7, 3, 9, 5, 2, 6, 1]",1567,342,50691,58311
7,178318,"[4, 8, 7, 3, 9, 10, 6]",982,304,35610,46056
8,573668,"[4, 8, 7, 3, 9, 10, 2, 0]",1368,355,57623,62835
6,134255,"[4, 8, 7, 3, 9, 5]",913,290,34201,41905
7,175255,"[4, 8, 7, 3, 9, 5, 2]",1158,313,42929,48828
9,619318,"[4, 8, 7, 3, 9, 10, 2, 6, 0]",1531,374,60601,69751
8,263668,"[4, 8, 7, 3, 9, 10, 2, 1]",1310,324,47382,52326
7,224255,"[4, 8, 7, 3, 9, 5, 1]",1159,309,43278,47586
8,575255,"[4, 8, 7, 3, 9, 5, 2, 0]",1462,354,57824,62481
8,622668,"[4, 8, 7, 3, 9, 10, 1, 0]",1369,356,57822,63190
8,268318,"[4, 8, 7, 3, 9, 10, 6, 1]",1228,330,45879,54285
8,578318,"[4, 8, 7, 3, 9, 10, 6, 0]",1286,371,58631,68635
8,269905,"[4, 8, 7, 3, 9, 5, 6, 1]",1322,328,46340,53628
6,140255,"[4, 8, 7, 3, 9, 2]",990,305,40627,46360
8,579905,"[4, 8, 7, 3, 9, 5, 6, 0]",1380,371,59101,68635
7,185905,"[4, 8, 7, 3, 9, 2, 6]",1153,326,44275,52975
9,620905,"[4, 8, 7, 3, 9, 5, 2, 6, 0]",1625,373,60783,69378
8,220905,"[4, 8, 7, 3, 9, 5, 2, 6]",1321,333,46342,55278
7,534255,"[4, 8, 7, 3, 9, 5, 0]",1217,352,55966,61776
8,624255,"[4, 8, 7, 3, 9, 5, 1, 0]",1463,355,57914,62835
7,179905,"[4, 8, 7, 3, 9, 5, 6]",1076,312,38629,48516
8,265255,"[4, 8, 7, 3, 9, 5, 2, 1]",1404,323,47742,52003
8,275905,"[4, 8, 7, 3, 9, 2, 6, 1]",1399,342,50272,58311
6,144905,"[4, 8, 7, 3, 9, 6]",908,302,35141,45451
7,230255,"[4, 8, 7, 3, 9, 2, 1]",1236,323,47273,52003
7,234905,"[4, 8, 7, 3, 9, 6, 1]",1154,328,45668,53628
