method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
MES,9,655980,"[0, 1, 2, 3, 4, 5, 6, 8, 10]",6352,1875,1263152,1756875,1.0,0.9899683210137276,1.0,0.980032030417182
AV,9,655980,"[0, 1, 2, 3, 4, 5, 6, 8, 10]",6352,1875,1263152,1756875,1.0,0.9899683210137276,1.0,0.980032030417182
greedy-AV/cost,9,655980,"[0, 1, 2, 3, 4, 5, 6, 8, 10]",6352,1875,1263152,1756875,1.0,0.9899683210137276,1.0,0.980032030417182
greedy-AV/cost^2,9,655980,"[0, 1, 2, 3, 4, 5, 6, 8, 10]",6352,1875,1263152,1756875,1.0,0.9899683210137276,1.0,0.980032030417182
greedy-CC,7,696100,"[0, 1, 3, 4, 6, 8, 9]",5039,1894,1246492,1792671,0.7932934508816121,1.0,0.9868107717836017,1.0
greedy-PAV,8,537980,"[0, 1, 4, 5, 6, 7, 8, 10]",5872,1852,1256817,1714026,0.924433249370277,0.9778247096092925,0.9949847682622519,0.9561297081282623
PAIRS-AV,9,655980,"[0, 1, 2, 3, 4, 5, 6, 8, 10]",6352,1875,1263152,1756875,1.0,0.9899683210137276,1.0,0.980032030417182
PAIRS-CC,9,655980,"[0, 1, 2, 3, 4, 5, 6, 8, 10]",6352,1875,1263152,1756875,1.0,0.9899683210137276,1.0,0.980032030417182
CONS-AV,7,696100,"[0, 1, 3, 4, 6, 8, 9]",5039,1894,1246492,1792671,0.7932934508816121,1.0,0.9868107717836017,1.0
CONS-CC,7,696100,"[0, 1, 3, 4, 6, 8, 9]",5039,1894,1246492,1792671,0.7932934508816121,1.0,0.9868107717836017,1.0
