subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,18500,[4],53,53,1378,1378
2,43500,"[4, 5]",78,54,1402,1431
3,101500,"[4, 5, 1]",389,356,49571,63190
1,25000,[5],25,25,300,300
2,54500,"[4, 2]",154,121,5900,7260
2,86860,"[4, 3]",129,124,4218,7626
3,79500,"[4, 5, 2]",179,122,5924,7381
3,112500,"[4, 2, 1]",465,417,54018,86736
2,77500,"[4, 0]",421,390,68441,75855
1,59000,[0],368,368,67528,67528
3,111860,"[4, 5, 3]",154,125,4242,7750
3,102500,"[4, 5, 0]",446,391,68465,76245
2,76500,"[4, 1]",364,355,49547,62835
2,83000,"[5, 1]",336,333,48502,55278
2,61000,"[5, 2]",126,122,5344,7381
3,113500,"[4, 2, 0]",522,435,72227,94395
1,36000,[2],101,101,5050,5050
1,58000,[1],311,311,48205,48205
2,117000,"[1, 0]",679,387,73247,74691
2,94000,"[2, 1]",412,400,53189,79800
1,68360,[3],76,76,2850,2850
2,95000,"[2, 0]",469,425,71632,90100
2,104360,"[2, 3]",177,141,7270,9870
2,93360,"[5, 3]",101,96,3140,4560
2,84000,"[5, 0]",393,383,67783,73153
