subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,28728,[3],284,284,40186,40186
4,746238,"[3, 0, 4, 2]",1202,531,111685,140715
2,176238,"[3, 0]",660,422,82483,88831
1,147510,[0],376,376,70500,70500
2,328728,"[3, 2]",615,416,75100,86320
2,528598,"[3, 1]",648,459,88486,105111
3,446238,"[3, 0, 4]",871,493,95249,121278
3,476238,"[3, 0, 2]",991,476,100198,113050
2,298728,"[3, 4]",495,386,56455,74305
4,946108,"[3, 0, 4, 1]",1235,571,124029,162735
3,717510,"[0, 4, 2]",918,508,103790,128778
3,798598,"[3, 4, 1]",859,533,102977,141778
3,676108,"[3, 0, 1]",1024,510,112078,129795
3,598728,"[3, 4, 2]",826,491,89452,120295
2,417510,"[0, 4]",587,458,84399,104653
4,976108,"[3, 0, 2, 1]",1355,541,124370,146070
1,270000,[4],211,211,22155,22155
2,647380,"[0, 1]",740,481,103155,115440
3,828598,"[3, 2, 1]",979,509,109009,129286
3,917380,"[0, 4, 1]",951,548,116004,149878
2,769870,"[4, 1]",575,497,85218,123256
2,447510,"[0, 2]",707,447,91445,99681
1,300000,[2],331,331,54615,54615
3,947380,"[0, 2, 1]",1071,517,117135,133386
2,570000,"[4, 2]",542,457,73200,104196
2,799870,"[2, 1]",695,478,97245,114003
1,499870,[1],364,364,66066,66066
