subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,1920,[1],255,255,32385,32385
2,15420,"[1, 4]",466,326,44810,52975
4,76420,"[1, 4, 3, 5]",849,410,61480,83845
5,147610,"[1, 4, 3, 5, 7]",921,429,62871,91806
3,45420,"[1, 4, 3]",687,355,53189,62835
4,87820,"[1, 4, 3, 2]",923,408,65827,83028
5,157820,"[1, 4, 3, 2, 6]",1059,412,68083,84666
4,93720,"[1, 4, 3, 0]",957,413,68503,85078
5,146420,"[1, 4, 3, 5, 6]",985,433,65135,93528
5,118820,"[1, 4, 3, 5, 2]",1085,453,73000,102378
5,136120,"[1, 4, 3, 2, 0]",1193,442,78825,97461
5,124720,"[1, 4, 3, 5, 0]",1119,468,76760,109278
5,159010,"[1, 4, 3, 2, 7]",995,423,67153,89253
4,116610,"[1, 4, 3, 7]",759,376,54606,70500
3,46420,"[1, 4, 5]",628,390,53833,75855
4,115420,"[1, 4, 3, 6]",823,379,56949,71631
4,129010,"[1, 4, 2, 7]",774,409,60974,83436
4,88820,"[1, 4, 5, 2]",864,440,67168,96580
4,94720,"[1, 4, 5, 0]",898,452,70535,101926
2,31920,"[1, 3]",476,321,44760,51360
3,86610,"[1, 4, 7]",538,351,46360,61425
4,116420,"[1, 4, 5, 6]",764,419,58139,87571
5,158820,"[1, 4, 5, 2, 6]",1000,445,69813,98790
3,62920,"[1, 3, 5]",638,389,53923,75466
5,137120,"[1, 4, 5, 2, 0]",1134,477,81378,113526
3,57820,"[1, 4, 2]",702,391,59522,76245
4,117610,"[1, 4, 5, 7]",700,412,55355,84666
3,74320,"[1, 3, 2]",712,395,60441,77815
5,160010,"[1, 4, 5, 2, 7]",936,457,68601,104196
4,134110,"[1, 3, 5, 7]",710,408,55360,83028
4,111220,"[1, 3, 5, 0]",908,450,69926,101025
4,132920,"[1, 3, 5, 6]",774,420,59178,87990
3,101920,"[1, 3, 6]",612,359,50241,64261
3,63720,"[1, 4, 0]",736,390,61615,75855
4,106120,"[1, 4, 2, 0]",972,428,73774,91378
4,127820,"[1, 4, 2, 6]",838,398,62273,79003
4,156610,"[1, 4, 6, 7]",674,381,50777,72390
3,85420,"[1, 4, 6]",602,357,49227,63546
5,153620,"[1, 3, 5, 2, 0]",1144,480,81773,114960
4,133720,"[1, 4, 0, 6]",872,402,65008,80601
4,145510,"[1, 3, 2, 7]",784,410,61799,83845
3,80220,"[1, 3, 0]",746,382,60797,72771
4,122620,"[1, 3, 2, 0]",982,431,74093,92665
4,144320,"[1, 3, 2, 6]",848,402,63794,80601
4,105320,"[1, 3, 5, 2]",874,444,68141,98346
4,134910,"[1, 4, 0, 7]",808,405,62790,81810
3,81220,"[1, 5, 0]",687,417,60567,86736
2,32920,"[1, 5]",417,340,42500,57630
3,104110,"[1, 5, 7]",489,363,44075,65703
3,102920,"[1, 5, 6]",553,400,49418,79800
4,145320,"[1, 5, 2, 6]",789,437,64426,95266
4,123620,"[1, 5, 2, 0]",923,468,75533,109278
4,152410,"[1, 5, 0, 7]",759,430,61767,92235
4,151410,"[1, 3, 0, 7]",818,395,61892,77815
4,150220,"[1, 3, 0, 6]",882,401,65204,80200
3,103110,"[1, 3, 7]",548,344,46230,58996
4,146510,"[1, 5, 2, 7]",725,436,61554,94830
4,151220,"[1, 5, 0, 6]",823,448,66296,100128
2,44320,"[1, 2]",491,361,51730,64980
3,75320,"[1, 5, 2]",653,419,60090,87571
1,13500,[4],211,211,22155,22155
2,50220,"[1, 0]",525,334,50555,55611
2,43500,"[4, 3]",432,305,38464,46360
2,73110,"[1, 7]",327,283,33995,39903
2,71920,"[1, 6]",391,327,39549,53301
3,85900,"[4, 3, 2]",668,366,52773,66795
3,115510,"[1, 2, 7]",563,379,53215,71631
3,120220,"[1, 0, 6]",661,377,56530,70876
3,74500,"[4, 3, 5]",594,371,47968,68635
3,121410,"[1, 0, 7]",597,352,51790,61776
3,143110,"[1, 6, 7]",463,354,41159,62481
4,134200,"[4, 3, 2, 0]",938,440,74879,96580
3,91800,"[4, 3, 0]",702,408,63570,83028
3,114320,"[1, 2, 6]",627,386,56262,74305
2,44500,"[4, 5]",373,310,33243,47895
3,113500,"[4, 3, 6]",568,338,42931,56953
3,92620,"[1, 2, 0]",761,410,67215,83845
4,145690,"[4, 3, 5, 7]",666,395,49824,77815
4,116900,"[4, 3, 5, 2]",830,419,60641,87571
4,158090,"[4, 5, 2, 7]",681,411,51885,84255
3,86900,"[4, 5, 2]",609,371,49684,68635
4,144500,"[4, 3, 5, 6]",730,397,52261,78606
4,122800,"[4, 3, 5, 0]",864,466,72461,108345
3,114690,"[4, 3, 7]",504,332,40352,54946
4,157090,"[4, 3, 2, 7]",740,387,54570,74691
4,155900,"[4, 3, 2, 6]",804,378,55696,71253
3,92800,"[4, 5, 0]",643,448,63519,100128
4,161800,"[4, 3, 0, 6]",838,415,66828,85905
3,115690,"[4, 5, 7]",445,355,35533,62835
3,114500,"[4, 5, 6]",509,350,38415,61075
4,135200,"[4, 5, 2, 0]",879,475,76010,112575
4,156900,"[4, 5, 2, 6]",745,386,53139,74305
1,30000,[3],221,221,24310,24310
2,55900,"[4, 2]",447,313,40974,48828
2,61800,"[4, 0]",481,382,53619,72771
2,83500,"[4, 6]",347,259,27507,33411
2,84690,"[4, 7]",283,261,24480,33930
3,125900,"[4, 2, 6]",583,335,44597,55945
3,154690,"[4, 6, 7]",419,308,29832,47278
3,104200,"[4, 2, 0]",717,425,68013,90100
3,131800,"[4, 0, 6]",617,396,57662,78210
2,61000,"[3, 5]",383,318,35271,50403
1,31000,[5],162,162,13041,13041
3,103400,"[3, 5, 2]",619,385,52225,73920
3,131000,"[3, 5, 6]",519,367,41910,67161
3,127090,"[4, 2, 7]",519,356,43201,63190
3,132990,"[4, 0, 7]",553,398,55077,79003
2,72400,"[3, 2]",457,326,43525,52975
2,100000,"[3, 6]",357,290,31279,41905
3,109300,"[3, 5, 0]",653,443,62710,97903
3,132190,"[3, 5, 7]",455,352,37320,61776
2,101190,"[3, 7]",293,262,26401,34191
2,78300,"[3, 0]",491,363,52497,65703
3,142400,"[3, 2, 6]",593,355,48114,62835
4,151700,"[3, 5, 2, 0]",889,475,76353,112575
2,73400,"[5, 2]",398,319,37690,50721
2,79300,"[5, 0]",432,379,47978,71631
3,143400,"[5, 2, 6]",534,361,43437,64980
3,143590,"[3, 2, 7]",529,357,45491,63546
3,149490,"[3, 0, 7]",563,379,53838,71631
3,120700,"[3, 2, 0]",727,426,68205,90525
3,148300,"[3, 0, 6]",627,393,58062,77028
3,144590,"[5, 2, 7]",470,369,40063,67896
3,121700,"[5, 2, 0]",668,463,67663,106953
3,149300,"[5, 0, 6]",568,437,55277,95266
2,101000,"[5, 6]",298,271,21870,36585
1,48300,[0],270,270,36315,36315
1,71190,[7],72,72,2556,2556
2,113590,"[2, 7]",308,290,30133,41905
2,90700,"[2, 0]",506,401,58585,80200
2,118300,"[0, 6]",406,350,43955,61075
3,161890,"[2, 0, 7]",578,416,60091,86320
1,42400,[2],236,236,27730,27730
2,102190,"[5, 7]",234,224,15552,24976
1,70000,[6],136,136,9180,9180
2,141190,"[6, 7]",208,207,11736,21321
3,150490,"[5, 0, 7]",504,399,49586,79401
2,112400,"[2, 6]",372,292,33750,42486
2,119490,"[0, 7]",342,299,37968,44551
3,160700,"[2, 0, 6]",642,419,63218,87571
