subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,6000,[0],500,500,124750,124750
2,21000,"[0, 1]",1002,581,162091,168490
3,36000,"[0, 1, 4]",1543,663,204380,219453
4,52000,"[0, 1, 4, 7]",2069,684,217185,233586
5,77000,"[0, 1, 4, 7, 5]",2592,718,236307,257403
6,113757,"[0, 1, 4, 7, 5, 6]",3124,787,272400,309291
5,88757,"[0, 1, 4, 7, 6]",2601,759,255742,287661
4,61000,"[0, 1, 4, 5]",2066,698,224423,243253
6,158950,"[0, 1, 4, 7, 5, 2]",3121,753,256211,283128
6,369500,"[0, 1, 4, 7, 5, 8]",2778,762,243934,289941
7,451450,"[0, 1, 4, 7, 5, 2, 8]",3307,791,263101,312445
7,195707,"[0, 1, 4, 7, 5, 6, 2]",3653,819,291010,334971
7,370757,"[0, 1, 4, 7, 5, 6, 3]",3707,870,323004,378015
7,415950,"[0, 1, 4, 7, 5, 2, 3]",3704,845,310391,356590
5,97757,"[0, 1, 4, 5, 6]",2598,772,262822,297606
5,133950,"[0, 1, 4, 7, 2]",2598,728,241272,264628
5,344500,"[0, 1, 4, 7, 8]",2255,733,225302,268278
5,309000,"[0, 1, 4, 7, 3]",2652,791,278447,312445
6,381257,"[0, 1, 4, 7, 6, 8]",2787,803,263373,322003
6,170707,"[0, 1, 4, 7, 6, 2]",3130,798,277810,318003
6,426450,"[0, 1, 4, 7, 2, 8]",2784,770,248556,296065
7,406257,"[0, 1, 4, 7, 5, 6, 8]",3310,828,279706,342378
6,179707,"[0, 1, 4, 5, 6, 2]",3127,805,282132,323610
8,488207,"[0, 1, 4, 7, 5, 6, 2, 8]",3839,854,297579,364231
8,452707,"[0, 1, 4, 7, 5, 6, 2, 3]",4236,901,340672,405450
6,345757,"[0, 1, 4, 7, 6, 3]",3184,851,310796,361675
6,390950,"[0, 1, 4, 7, 2, 3]",3181,829,299698,343206
7,427707,"[0, 1, 4, 7, 6, 2, 3]",3713,887,331003,392941
5,142950,"[0, 1, 4, 5, 2]",2595,734,245078,269011
7,463207,"[0, 1, 4, 7, 6, 2, 8]",3316,835,284608,348195
6,354757,"[0, 1, 4, 5, 6, 3]",3181,855,313961,365085
6,390257,"[0, 1, 4, 5, 6, 8]",2784,814,270357,330891
7,436707,"[0, 1, 4, 5, 6, 2, 3]",3710,887,332267,392941
6,334000,"[0, 1, 4, 7, 5, 3]",3175,812,291851,329266
7,472207,"[0, 1, 4, 5, 6, 2, 8]",3313,840,288780,352380
4,72757,"[0, 1, 4, 6]",2075,744,245728,276396
6,399950,"[0, 1, 4, 5, 2, 3]",3178,829,300716,343206
5,318000,"[0, 1, 4, 5, 3]",2649,795,281516,315615
6,435450,"[0, 1, 4, 5, 2, 8]",2781,773,252152,298378
5,353500,"[0, 1, 4, 5, 8]",2252,744,232388,276396
4,293000,"[0, 1, 4, 3]",2126,774,267638,299151
4,117950,"[0, 1, 4, 2]",2072,709,229721,250986
5,319000,"[0, 1, 7, 5, 3]",2634,804,282512,322806
5,354500,"[0, 1, 7, 5, 8]",2237,723,219824,261003
6,391257,"[0, 1, 7, 5, 6, 8]",2769,806,263349,324415
4,73757,"[0, 1, 7, 6]",2060,716,230257,255970
6,411707,"[0, 1, 4, 6, 2, 3]",3187,873,322368,380628
3,37000,"[0, 1, 7]",1528,615,180838,188805
4,62000,"[0, 1, 7, 5]",2051,676,211874,228150
3,46000,"[0, 1, 5]",1525,651,197216,211575
