subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
0,0,[],0,0,0,0,0.0,0.0,0.0,0.0
1,17170,[1],340,340,57630,57630,0.10167464114832536,0.7203389830508474,0.5632715295221526,0.5184605419410558
2,36520,"[1, 3]",654,391,72318,76245,0.19557416267942584,0.8283898305084746,0.7068309989932853,0.6859278851344057
3,63320,"[1, 3, 9]",909,398,74475,79003,0.27183014354066987,0.8432203389830508,0.7279133638931514,0.7107398610961172
4,93870,"[1, 3, 9, 11]",1169,417,79758,86736,0.34958133971291866,0.8834745762711864,0.7795490309149375,0.7803087552628738
5,133370,"[1, 3, 9, 11, 5]",1427,428,83226,91378,0.4267344497607656,0.9067796610169492,0.8134450167622883,0.8220698837669581
6,175370,"[1, 3, 9, 11, 5, 8]",1714,449,90170,100576,0.5125598086124402,0.951271186440678,0.8813151798891636,0.9048184533448487
7,226370,"[1, 3, 9, 11, 5, 8, 10]",1974,455,92549,103285,0.590311004784689,0.9639830508474576,0.9045673570318532,0.929189607398611
8,303370,"[1, 3, 9, 11, 5, 8, 10, 0]",2325,463,97600,106953,0.6952751196172249,0.9809322033898306,0.9539354725205985,0.9621882759365217
9,381870,"[1, 3, 9, 11, 5, 8, 10, 0, 2]",2325,463,97600,106953,0.6952751196172249,0.9809322033898306,0.9539354725205985,0.9621882759365217
10,461770,"[1, 3, 9, 11, 5, 8, 10, 0, 2, 7]",2622,468,99818,109278,0.7840909090909091,0.9915254237288136,0.97561404709079,0.9831048256504372
11,558770,"[1, 3, 9, 11, 5, 8, 10, 0, 2, 7, 6]",2918,469,100964,109746,0.8726076555023924,0.9936440677966102,0.9868149697496896,0.9873151246896253
12,677870,"[1, 3, 9, 11, 5, 8, 10, 0, 2, 7, 6, 12]",3072,471,101385,110685,0.9186602870813397,0.9978813559322034,0.990929793867837,0.9957627118644068
12,683770,"[1, 3, 9, 11, 5, 8, 10, 0, 2, 7, 6, 4]",3190,470,101896,110215,0.9539473684210527,0.9957627118644068,0.9959242715979396,0.9915344200942819
11,580870,"[1, 3, 9, 11, 5, 8, 10, 0, 2, 7, 12]",2776,470,100288,110215,0.8301435406698564,0.9957627118644068,0.980207793731002,0.9915344200942819
12,705870,"[1, 3, 9, 11, 5, 8, 10, 0, 2, 7, 12, 4]",3048,471,101326,110685,0.9114832535885168,0.9978813559322034,0.990353132055555,0.9957627118644068
11,586770,"[1, 3, 9, 11, 5, 8, 10, 0, 2, 7, 4]",2894,469,100863,109746,0.8654306220095693,0.9936440677966102,0.9858278029184953,0.9873151246896253
10,478870,"[1, 3, 9, 11, 5, 8, 10, 0, 2, 6]",2621,464,98809,107416,0.7837918660287081,0.9830508474576272,0.9657521527078671,0.9663535931483681
11,597970,"[1, 3, 9, 11, 5, 8, 10, 0, 2, 6, 12]",2775,466,99230,108345,0.8298444976076556,0.9872881355932204,0.9698669768260143,0.9747112166684659
12,722970,"[1, 3, 9, 11, 5, 8, 10, 0, 2, 6, 12, 4]",3047,468,100472,109278,0.9111842105263158,0.9915254237288136,0.9820061966709998,0.9831048256504372
11,603870,"[1, 3, 9, 11, 5, 8, 10, 0, 2, 6, 4]",2893,466,100055,108345,0.8651315789473685,0.9872881355932204,0.9779304682689395,0.9747112166684659
