subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,8720,[4],117,117,6786,6786
2,20720,"[4, 2]",317,236,23446,27730
1,12000,[2],200,200,19900,19900
4,142220,"[4, 2, 3, 1]",721,393,51928,77028
3,70320,"[4, 2, 0]",558,297,38856,43956
4,98820,"[4, 2, 3, 0]",727,322,43158,51681
2,37220,"[4, 3]",286,200,17327,19900
3,49220,"[4, 2, 3]",486,267,28449,35511
4,139220,"[4, 2, 3, 5]",528,284,29106,40186
3,110720,"[4, 2, 5]",359,253,24103,31878
2,58320,"[4, 0]",358,282,32856,39621
3,86820,"[4, 3, 0]",527,313,39315,48828
3,113720,"[4, 2, 1]",552,375,47431,70125
3,127220,"[4, 3, 5]",328,228,18105,25878
2,139600,"[0, 5]",283,261,29550,33930
2,121500,"[3, 1]",404,359,40701,64261
3,148320,"[4, 0, 5]",400,295,33423,43365
2,40500,"[2, 3]",369,236,25318,27730
2,105000,"[2, 1]",435,360,44620,64620
3,151320,"[4, 0, 1]",593,412,56602,84666
3,130220,"[4, 3, 1]",521,372,43175,69006
3,130500,"[2, 3, 5]",411,261,26043,33930
3,90100,"[2, 3, 0]",610,314,41499,49141
1,90000,[5],42,42,861,861
2,98720,"[4, 5]",159,146,7569,10585
2,101720,"[4, 1]",352,306,33246,46665
2,102000,"[2, 5]",242,225,20625,25200
3,133500,"[2, 3, 1]",604,380,49454,72010
2,78100,"[3, 0]",410,305,37656,46360
1,93000,[1],235,235,27495,27495
3,154600,"[2, 0, 1]",676,415,59745,85905
2,61600,"[2, 0]",441,286,36885,40755
1,28500,[3],169,169,14196,14196
1,49600,[0],241,241,28920,28920
2,118500,"[3, 5]",211,205,15042,20910
2,142600,"[0, 1]",476,400,53565,79800
3,151600,"[2, 0, 5]",483,300,37434,44850
