subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,4500,[0],106,106,5565,5565
2,9885,"[0, 6]",182,111,5930,6105
3,27885,"[0, 6, 7]",252,118,6399,6903
6,202235,"[0, 6, 7, 8, 3, 9]",466,147,8881,10731
7,282535,"[0, 6, 7, 8, 3, 9, 2]",566,159,10481,12561
8,364735,"[0, 6, 7, 8, 3, 9, 2, 10]",589,163,10590,13203
7,284435,"[0, 6, 7, 8, 3, 9, 10]",489,151,8990,11325
4,58235,"[0, 6, 7, 8]",319,123,6749,7503
5,127435,"[0, 6, 7, 8, 3]",407,142,8445,10011
7,312735,"[0, 6, 7, 8, 3, 9, 4]",554,155,9991,11935
7,299435,"[0, 6, 7, 8, 3, 9, 5]",543,162,10347,13041
7,352235,"[0, 6, 7, 8, 3, 9, 1]",571,208,13583,21528
7,352235,"[0, 6, 7, 8, 3, 9, 11]",477,149,8904,11026
6,207735,"[0, 6, 7, 8, 3, 2]",507,156,10215,12090
7,289935,"[0, 6, 7, 8, 3, 2, 10]",530,160,10324,12720
7,318235,"[0, 6, 7, 8, 3, 2, 4]",595,157,10416,12246
7,357735,"[0, 6, 7, 8, 3, 2, 1]",612,218,14928,23653
6,209635,"[0, 6, 7, 8, 3, 10]",430,146,8554,10585
7,357735,"[0, 6, 7, 8, 3, 2, 11]",518,157,10237,12246
7,304935,"[0, 6, 7, 8, 3, 2, 5]",584,168,11368,14028
7,306835,"[0, 6, 7, 8, 3, 10, 5]",507,164,10113,13366
7,320135,"[0, 6, 7, 8, 3, 10, 4]",518,156,9790,12090
7,359635,"[0, 6, 7, 8, 3, 10, 1]",535,210,13289,21945
7,359635,"[0, 6, 7, 8, 3, 10, 11]",441,148,8577,10878
7,335135,"[0, 6, 7, 8, 3, 5, 4]",572,166,10977,13695
6,237935,"[0, 6, 7, 8, 3, 4]",495,152,9681,11476
6,224635,"[0, 6, 7, 8, 3, 5]",484,161,10012,12880
6,277435,"[0, 6, 7, 8, 3, 1]",512,206,13180,21115
6,277435,"[0, 6, 7, 8, 3, 11]",418,144,8468,10296
5,133035,"[0, 6, 7, 8, 9]",378,134,7368,8911
7,310535,"[0, 6, 7, 8, 9, 2, 5]",555,168,11018,14028
6,213335,"[0, 6, 7, 8, 9, 2]",478,155,9658,11935
7,295535,"[0, 6, 7, 8, 9, 2, 10]",501,161,9784,12880
7,323835,"[0, 6, 7, 8, 9, 2, 4]",566,156,9900,12090
7,363335,"[0, 6, 7, 8, 9, 2, 11]",489,156,9686,12090
7,363335,"[0, 6, 7, 8, 9, 2, 1]",583,215,14364,23005
6,215235,"[0, 6, 7, 8, 9, 10]",401,140,7494,9730
7,312435,"[0, 6, 7, 8, 9, 10, 5]",478,164,9454,13366
7,325735,"[0, 6, 7, 8, 9, 10, 4]",489,157,9114,12246
6,230235,"[0, 6, 7, 8, 9, 5]",455,161,9343,12880
6,243535,"[0, 6, 7, 8, 9, 4]",466,151,8988,11325
7,340735,"[0, 6, 7, 8, 9, 5, 4]",543,166,10535,13695
7,365235,"[0, 6, 7, 8, 9, 10, 1]",506,202,12225,20301
6,283035,"[0, 6, 7, 8, 9, 11]",389,136,7397,9180
6,283035,"[0, 6, 7, 8, 9, 1]",483,196,12099,19110
5,138535,"[0, 6, 7, 8, 2]",419,151,9290,11325
6,220735,"[0, 6, 7, 8, 2, 10]",442,157,9417,12246
7,365235,"[0, 6, 7, 8, 9, 10, 11]",412,142,7523,10011
7,317935,"[0, 6, 7, 8, 2, 10, 5]",519,169,10841,14196
7,331235,"[0, 6, 7, 8, 2, 10, 4]",530,158,9670,12403
7,370735,"[0, 6, 7, 8, 2, 10, 1]",547,220,14156,24090
6,235735,"[0, 6, 7, 8, 2, 5]",496,166,10730,13695
6,249035,"[0, 6, 7, 8, 2, 4]",507,152,9543,11476
7,346235,"[0, 6, 7, 8, 2, 5, 4]",584,166,10914,13695
