subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
6,124254,"[6, 1, 8, 2, 7, 4]",1615,729,165537,265356
8,260324,"[6, 1, 8, 2, 7, 5, 4, 9]",1965,782,176558,305371
6,143154,"[6, 1, 8, 2, 7, 10]",1448,604,137819,182106
1,9324,[6],218,218,23653,23653
7,150324,"[6, 1, 8, 2, 7, 5, 4]",1836,751,171783,281625
5,79654,"[6, 1, 8, 2, 7]",1335,594,136384,176121
8,248917,"[6, 1, 8, 2, 7, 5, 4, 3]",2118,805,191363,323610
7,169224,"[6, 1, 8, 2, 7, 5, 10]",1669,628,144323,196878
9,312417,"[6, 1, 8, 2, 7, 5, 4, 10, 3]",2231,809,192514,326836
4,58654,"[6, 1, 8, 2]",1170,559,130933,155961
0,0,[],0,0,0,0
6,105724,"[6, 1, 8, 2, 7, 5]",1556,619,142999,191271
3,41054,"[6, 1, 8]",768,466,94257,108345
7,187754,"[6, 1, 8, 2, 7, 4, 10]",1728,734,166805,269011
9,323824,"[6, 1, 8, 2, 7, 5, 4, 10, 9]",2078,786,177709,308505
8,213824,"[6, 1, 8, 2, 7, 5, 4, 10]",1949,755,172940,284635
7,204317,"[6, 1, 8, 2, 7, 5, 3]",1838,679,162888,230181
2,24324,"[6, 1]",632,442,91189,97461
8,314317,"[6, 1, 8, 2, 7, 5, 3, 9]",1967,709,167578,250986
8,286347,"[6, 1, 8, 2, 7, 4, 10, 3]",2010,799,187216,318801
7,215724,"[6, 1, 8, 2, 7, 5, 9]",1685,651,147812,211575
7,234254,"[6, 1, 8, 2, 7, 4, 9]",1744,760,170331,288420
7,222847,"[6, 1, 8, 2, 7, 4, 3]",1897,794,185955,314821
7,253154,"[6, 1, 8, 2, 7, 10, 9]",1577,635,142636,201295
8,297754,"[6, 1, 8, 2, 7, 4, 10, 9]",1857,765,171593,292230
8,279224,"[6, 1, 8, 2, 7, 5, 10, 9]",1798,659,149119,216811
7,325724,"[6, 1, 8, 2, 7, 5, 0]",2272,881,318601,387640
8,332847,"[6, 1, 8, 2, 7, 4, 3, 9]",2026,824,190632,339076
