subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,25000,[3],523,523,136503,136503
1,91370,[2],560,560,156520,156520
1,42500,[4],490,490,119805,119805
1,123000,[1],1586,1586,1256905,1256905
1,485000,[0],1827,1827,1668051,1668051
2,67500,"[3, 4]",1013,572,159288,163306
2,133870,"[4, 2]",1050,607,178422,183921
2,116370,"[3, 2]",1083,607,179973,183921
2,165500,"[4, 1]",2076,1614,1270219,1301691
2,214370,"[2, 1]",2146,1637,1284139,1339066
2,148000,"[3, 1]",2109,1607,1267657,1290421
3,158870,"[3, 4, 2]",1573,636,194108,201930
3,256870,"[4, 2, 1]",2636,1651,1291356,1362075
3,239370,"[3, 2, 1]",2669,1644,1288332,1350546
3,190500,"[3, 4, 1]",2599,1624,1276186,1317876
4,281870,"[3, 4, 2, 1]",3159,1655,1294112,1368685
