subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
0,0,[],0,0,0,0,0.0,0.0,0.0,0.0
1,5390,[9],371,371,68635,68635,0.08633930649290203,0.5681470137825421,0.3430000699643182,0.3224147164103383
2,11390,"[9, 8]",755,410,82831,83845,0.17570397952059577,0.6278713629402757,0.4139438886168054,0.3938640911695901
3,42390,"[9, 8, 3]",1215,540,134287,145530,0.2827554107516872,0.8269525267993875,0.6710927427012223,0.6836309999154445
4,73390,"[9, 8, 3, 4]",1692,568,149260,161028,0.3937630905282755,0.8698315467075038,0.745919581013683,0.7564332622441022
5,119390,"[9, 8, 3, 4, 6]",2131,600,164325,179700,0.495927391203165,0.9188361408882083,0.8212061848457287,0.8441454729939214
6,174390,"[9, 8, 3, 4, 6, 10]",2470,608,167652,184528,0.5748196416104259,0.9310872894333844,0.8378327053202866,0.8668251298866018
7,230470,"[9, 8, 3, 4, 6, 10, 7]",2880,616,172239,189420,0.670235047707703,0.9433384379785605,0.8607560144326394,0.8898054284613722
8,322720,"[9, 8, 3, 4, 6, 10, 7, 2]",3381,632,184480,199396,0.7868280195485222,0.9678407350689127,0.9219298157939451,0.9366679506571839
9,430210,"[9, 8, 3, 4, 6, 10, 7, 2, 5]",3381,632,184480,199396,0.7868280195485222,0.9678407350689127,0.9219298157939451,0.9366679506571839
10,586775,"[9, 8, 3, 4, 6, 10, 7, 2, 5, 1]",3910,651,199171,211575,0.9099371654642774,0.996937212863706,0.9953473728398516,0.9938791232536947
11,836775,"[9, 8, 3, 4, 6, 10, 7, 2, 5, 1, 0]",4297,653,200102,212878,1.0,1.0,1.0,1.0
10,680210,"[9, 8, 3, 4, 6, 10, 7, 2, 5, 0]",3768,637,187003,202566,0.8768908540842448,0.9754977029096478,0.934538385423434,0.9515591089732147
9,479285,"[9, 8, 3, 4, 6, 10, 7, 2, 1]",3910,651,199171,211575,0.9099371654642774,0.996937212863706,0.9953473728398516,0.9938791232536947
10,729285,"[9, 8, 3, 4, 6, 10, 7, 2, 1, 0]",4297,653,200102,212878,1.0,1.0,1.0,1.0
9,572720,"[9, 8, 3, 4, 6, 10, 7, 2, 0]",3768,637,187003,202566,0.8768908540842448,0.9754977029096478,0.934538385423434,0.9515591089732147
8,337960,"[9, 8, 3, 4, 6, 10, 7, 5]",2880,616,172239,189420,0.670235047707703,0.9433384379785605,0.8607560144326394,0.8898054284613722
9,494525,"[9, 8, 3, 4, 6, 10, 7, 5, 1]",3409,641,191012,205120,0.7933441936234582,0.9816232771822359,0.9545731676844809,0.9635565910991272
10,744525,"[9, 8, 3, 4, 6, 10, 7, 5, 1, 0]",3796,644,192379,207046,0.8834070281591808,0.9862174578866769,0.9614046836113582,0.9726040267195295
9,587960,"[9, 8, 3, 4, 6, 10, 7, 5, 0]",3267,623,175854,193753,0.7602978822434256,0.9540581929555896,0.8788218008815504,0.910159809844136
8,387035,"[9, 8, 3, 4, 6, 10, 7, 1]",3409,641,191012,205120,0.7933441936234582,0.9816232771822359,0.9545731676844809,0.9635565910991272
