method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
MES,11,836775,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",4297,653,200102,212878,1.0,1.0,1.0,1.0
AV,11,836775,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",4297,653,200102,212878,1.0,1.0,1.0,1.0
greedy-AV/cost,11,836775,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",4297,653,200102,212878,1.0,1.0,1.0,1.0
greedy-AV/cost^2,11,836775,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",4297,653,200102,212878,1.0,1.0,1.0,1.0
greedy-CC,11,836775,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",4297,653,200102,212878,1.0,1.0,1.0,1.0
greedy-PAV,11,836775,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",4297,653,200102,212878,1.0,1.0,1.0,1.0
PAIRS-AV,11,836775,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",4297,653,200102,212878,1.0,1.0,1.0,1.0
PAIRS-CC,10,729285,"[0, 1, 2, 3, 4, 6, 7, 8, 9, 10]",4297,653,200102,212878,1.0,1.0,1.0,1.0
CONS-AV,11,836775,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",4297,653,200102,212878,1.0,1.0,1.0,1.0
CONS-CC,11,836775,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",4297,653,200102,212878,1.0,1.0,1.0,1.0
