subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
2,16320,"[7, 4]",713,498,105987,123753
1,7200,[7],309,309,47586,47586
3,27120,"[7, 4, 11]",940,515,110463,132355
4,43620,"[7, 4, 11, 0]",1483,683,196050,232903
5,70620,"[7, 4, 11, 0, 2]",1930,729,224178,265356
6,102620,"[7, 4, 11, 0, 2, 9]",2166,735,226378,269745
7,135620,"[7, 4, 11, 0, 2, 9, 1]",2624,753,245211,283128
8,173220,"[7, 4, 11, 0, 2, 9, 1, 12]",2802,754,245556,283881
8,184790,"[7, 4, 11, 0, 2, 9, 1, 8]",2928,799,258911,318801
9,222390,"[7, 4, 11, 0, 2, 9, 1, 12, 8]",3106,800,259232,319600
11,638060,"[7, 4, 11, 0, 2, 9, 1, 12, 8, 10, 6]",3669,820,267159,335790
9,291790,"[7, 4, 11, 0, 2, 9, 1, 8, 5]",3263,861,279038,370230
11,459060,"[7, 4, 11, 0, 2, 9, 1, 12, 8, 5, 10]",3671,870,281746,378015
10,329390,"[7, 4, 11, 0, 2, 9, 1, 12, 8, 5]",3441,862,279347,371091
10,508390,"[7, 4, 11, 0, 2, 9, 1, 12, 8, 6]",3439,812,264911,329266
10,421460,"[7, 4, 11, 0, 2, 9, 1, 8, 5, 10]",3493,869,281442,377146
9,280220,"[7, 4, 11, 0, 2, 9, 1, 12, 5]",3137,817,266073,333336
10,566220,"[7, 4, 11, 0, 2, 9, 1, 12, 5, 6]",3470,827,271242,341551
9,302890,"[7, 4, 11, 0, 2, 9, 1, 12, 10]",3032,767,248964,293761
10,577790,"[7, 4, 11, 0, 2, 9, 1, 8, 5, 6]",3596,870,283780,378015
10,352060,"[7, 4, 11, 0, 2, 9, 1, 12, 8, 10]",3336,810,262025,327645
10,409890,"[7, 4, 11, 0, 2, 9, 1, 12, 5, 10]",3367,827,268890,341551
10,588890,"[7, 4, 11, 0, 2, 9, 1, 12, 10, 6]",3365,778,254531,302253
9,470790,"[7, 4, 11, 0, 2, 9, 1, 8, 6]",3261,811,264603,328455
10,600460,"[7, 4, 11, 0, 2, 9, 1, 8, 10, 6]",3491,819,266854,334971
9,314460,"[7, 4, 11, 0, 2, 9, 1, 8, 10]",3158,809,261715,326836
9,459220,"[7, 4, 11, 0, 2, 9, 1, 12, 6]",3135,767,251825,293761
7,140220,"[7, 4, 11, 0, 2, 9, 12]",2344,736,226738,270480
11,615390,"[7, 4, 11, 0, 2, 9, 1, 12, 8, 5, 6]",3774,871,284082,378885
8,421620,"[7, 4, 11, 0, 2, 9, 1, 6]",2957,766,251503,292995
8,242620,"[7, 4, 11, 0, 2, 9, 1, 5]",2959,816,265742,332520
8,189390,"[7, 4, 11, 0, 2, 9, 12, 8]",2648,782,241068,305371
9,528620,"[7, 4, 11, 0, 2, 9, 1, 5, 6]",3292,826,270926,340725
9,372290,"[7, 4, 11, 0, 2, 9, 1, 5, 10]",3189,826,268573,340725
8,265290,"[7, 4, 11, 0, 2, 9, 1, 10]",2854,766,248640,292995
9,551290,"[7, 4, 11, 0, 2, 9, 1, 10, 6]",3187,777,254215,301476
9,296390,"[7, 4, 11, 0, 2, 9, 12, 8, 5]",2983,846,262270,357435
8,247220,"[7, 4, 11, 0, 2, 9, 12, 5]",2679,801,248675,320400
10,426060,"[7, 4, 11, 0, 2, 9, 12, 8, 5, 10]",3213,854,264902,364231
9,533220,"[7, 4, 11, 0, 2, 9, 12, 5, 6]",3012,814,255448,330891
8,281460,"[7, 4, 11, 0, 2, 9, 8, 10]",2700,792,244066,313236
9,555890,"[7, 4, 11, 0, 2, 9, 12, 10, 6]",2907,764,238260,291466
7,151790,"[7, 4, 11, 0, 2, 9, 8]",2470,781,240736,304590
8,269890,"[7, 4, 11, 0, 2, 9, 12, 10]",2574,750,230873,280875
8,258790,"[7, 4, 11, 0, 2, 9, 8, 5]",2805,845,261954,356590
8,426220,"[7, 4, 11, 0, 2, 9, 12, 6]",2677,753,235379,283128
6,103620,"[7, 4, 11, 0, 2, 1]",2388,748,243382,279378
9,475390,"[7, 4, 11, 0, 2, 9, 12, 8, 6]",2981,798,248704,318003
9,319060,"[7, 4, 11, 0, 2, 9, 12, 8, 10]",2878,793,244387,314028
7,209620,"[7, 4, 11, 0, 2, 9, 5]",2501,800,248333,319600
9,376890,"[7, 4, 11, 0, 2, 9, 12, 5, 10]",2909,811,251815,328455
7,388620,"[7, 4, 11, 0, 2, 9, 6]",2499,752,235053,282376
9,388460,"[7, 4, 11, 0, 2, 9, 8, 5, 10]",3035,853,264591,363378
9,544790,"[7, 4, 11, 0, 2, 9, 8, 5, 6]",3138,857,268104,366796
9,567460,"[7, 4, 11, 0, 2, 9, 8, 10, 6]",3033,805,250797,323610
7,232290,"[7, 4, 11, 0, 2, 9, 10]",2396,749,230534,280126
8,339290,"[7, 4, 11, 0, 2, 9, 5, 10]",2731,810,251487,327645
8,437790,"[7, 4, 11, 0, 2, 9, 8, 6]",2803,797,248394,317206
8,190390,"[7, 4, 11, 0, 2, 1, 12, 8]",2870,796,257647,316410
8,495620,"[7, 4, 11, 0, 2, 9, 5, 6]",2834,813,255128,330078
10,605060,"[7, 4, 11, 0, 2, 9, 12, 8, 10, 6]",3211,806,251104,324415
10,582390,"[7, 4, 11, 0, 2, 9, 12, 8, 5, 6]",3316,858,268408,367653
8,518290,"[7, 4, 11, 0, 2, 9, 10, 6]",2729,763,237940,290703
9,625290,"[7, 4, 11, 0, 2, 9, 5, 10, 6]",3064,823,257715,338253
7,141220,"[7, 4, 11, 0, 2, 1, 12]",2566,749,243763,280126
9,297390,"[7, 4, 11, 0, 2, 1, 12, 8, 5]",3205,858,277837,367653
10,427060,"[7, 4, 11, 0, 2, 1, 12, 8, 5, 10]",3435,866,280253,374545
10,583390,"[7, 4, 11, 0, 2, 1, 12, 8, 5, 6]",3538,868,282787,376278
9,320060,"[7, 4, 11, 0, 2, 1, 12, 8, 10]",3100,806,260513,324415
10,606060,"[7, 4, 11, 0, 2, 1, 12, 8, 10, 6]",3433,817,265850,333336
8,427220,"[7, 4, 11, 0, 2, 1, 12, 6]",2899,764,250459,291466
8,496620,"[7, 4, 11, 0, 2, 1, 5, 6]",3056,823,269585,338253
8,248220,"[7, 4, 11, 0, 2, 1, 12, 5]",2901,813,264473,330078
9,377890,"[7, 4, 11, 0, 2, 1, 12, 5, 10]",3131,823,267369,338253
9,534220,"[7, 4, 11, 0, 2, 1, 12, 5, 6]",3234,824,269923,339076
8,270890,"[7, 4, 11, 0, 2, 1, 12, 10]",2796,763,247342,290703
7,152790,"[7, 4, 11, 0, 2, 1, 8]",2692,795,257306,315615
9,476390,"[7, 4, 11, 0, 2, 1, 12, 8, 6]",3203,809,263601,326836
7,389620,"[7, 4, 11, 0, 2, 1, 6]",2721,763,250115,290703
7,210620,"[7, 4, 11, 0, 2, 1, 5]",2723,812,264108,329266
9,556890,"[7, 4, 11, 0, 2, 1, 12, 10, 6]",3129,775,253196,299925
8,282460,"[7, 4, 11, 0, 2, 1, 8, 10]",2922,805,260185,323610
7,233290,"[7, 4, 11, 0, 2, 1, 10]",2618,762,246984,289941
8,259790,"[7, 4, 11, 0, 2, 1, 8, 5]",3027,857,277510,366796
8,438790,"[7, 4, 11, 0, 2, 1, 8, 6]",3025,808,263282,326028
8,340290,"[7, 4, 11, 0, 2, 1, 5, 10]",2953,822,267019,337431
9,389460,"[7, 4, 11, 0, 2, 1, 8, 5, 10]",3257,865,279932,373680
6,108220,"[7, 4, 11, 0, 2, 12]",2108,730,224614,266085
8,501220,"[7, 4, 11, 0, 2, 12, 5, 6]",2776,811,254094,328455
7,237890,"[7, 4, 11, 0, 2, 12, 10]",2338,746,229099,277885
8,519290,"[7, 4, 11, 0, 2, 1, 10, 6]",2951,774,252858,299151
9,568460,"[7, 4, 11, 0, 2, 1, 8, 10, 6]",3255,816,265534,332520
9,545790,"[7, 4, 11, 0, 2, 1, 8, 5, 6]",3360,867,282474,375411
7,157390,"[7, 4, 11, 0, 2, 12, 8]",2412,778,239329,302253
8,264390,"[7, 4, 11, 0, 2, 12, 8, 5]",2747,842,260690,354061
9,394060,"[7, 4, 11, 0, 2, 12, 8, 5, 10]",2977,850,263376,360825
9,550390,"[7, 4, 11, 0, 2, 12, 8, 5, 6]",3080,855,267093,365085
8,443390,"[7, 4, 11, 0, 2, 12, 8, 6]",2745,795,247365,315615
7,215220,"[7, 4, 11, 0, 2, 12, 5]",2443,797,246929,317206
5,75620,"[7, 4, 11, 0, 9]",1719,692,199011,239086
6,108620,"[7, 4, 11, 0, 9, 1]",2177,718,222216,257403
9,630890,"[7, 4, 11, 0, 2, 12, 5, 10, 6]",3006,821,256692,336610
8,523890,"[7, 4, 11, 0, 2, 12, 10, 6]",2671,761,236890,289180
6,119790,"[7, 4, 11, 0, 2, 8]",2234,777,238951,301476
7,394220,"[7, 4, 11, 0, 2, 12, 6]",2441,750,233939,280875
7,226790,"[7, 4, 11, 0, 2, 8, 5]",2569,841,260337,353220
