subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,14300,[2],257,257,32896,32896
2,41560,"[2, 8]",376,272,34561,36856
3,97060,"[2, 8, 3]",627,335,49037,55945
4,189310,"[2, 8, 3, 1]",886,371,59057,68635
5,291310,"[2, 8, 3, 1, 6]",1096,385,62351,73920
6,414110,"[2, 8, 3, 1, 6, 7]",1277,393,64008,77028
6,482310,"[2, 8, 3, 1, 6, 4]",1346,406,68582,82215
7,605110,"[2, 8, 3, 1, 6, 7, 4]",1527,412,69955,84666
7,606610,"[2, 8, 3, 1, 6, 7, 5]",1500,441,73812,97020
7,755200,"[2, 8, 3, 1, 6, 7, 0]",1560,420,73416,87990
8,797610,"[2, 8, 3, 1, 6, 7, 4, 5]",1750,458,79481,104653
6,483810,"[2, 8, 3, 1, 6, 5]",1319,433,72173,93528
6,632400,"[2, 8, 3, 1, 6, 0]",1379,416,72460,86320
8,946200,"[2, 8, 3, 1, 6, 7, 4, 0]",1810,432,77311,93096
5,312110,"[2, 8, 3, 1, 7]",1067,380,60936,72010
8,947700,"[2, 8, 3, 1, 6, 7, 5, 0]",1783,465,82753,107880
6,721400,"[2, 8, 3, 1, 4, 0]",1419,424,75261,89676
6,572810,"[2, 8, 3, 1, 4, 5]",1359,446,76531,99235
6,503110,"[2, 8, 3, 1, 7, 4]",1317,407,68475,82621
5,380310,"[2, 8, 3, 1, 4]",1136,400,66951,79800
7,824900,"[2, 8, 3, 1, 6, 5, 0]",1602,461,81813,106030
6,504610,"[2, 8, 3, 1, 7, 5]",1290,428,70770,91378
7,674810,"[2, 8, 3, 1, 6, 4, 5]",1569,452,78125,101926
8,1015900,"[2, 8, 3, 1, 6, 4, 5, 0]",1852,473,85695,111628
7,695610,"[2, 8, 3, 1, 7, 4, 5]",1540,453,78028,102378
6,653200,"[2, 8, 3, 1, 7, 0]",1350,414,71707,85491
7,823400,"[2, 8, 3, 1, 6, 4, 0]",1629,428,76379,91378
6,722900,"[2, 8, 3, 1, 5, 0]",1392,455,80065,103285
5,530400,"[2, 8, 3, 1, 0]",1169,410,70693,83845
7,844200,"[2, 8, 3, 1, 7, 4, 0]",1600,428,76224,91378
7,845700,"[2, 8, 3, 1, 7, 5, 0]",1573,459,81053,105111
8,1036700,"[2, 8, 3, 1, 7, 4, 5, 0]",1823,473,85531,111628
7,913900,"[2, 8, 3, 1, 4, 5, 0]",1642,469,84594,109746
5,381810,"[2, 8, 3, 1, 5]",1109,419,68927,87571
5,412360,"[2, 8, 3, 7, 5]",1031,403,62738,81003
4,199060,"[2, 8, 3, 6]",837,356,53927,63190
6,514360,"[2, 8, 3, 6, 7, 5]",1241,420,66872,87990
6,662950,"[2, 8, 3, 6, 7, 0]",1301,404,68214,81406
5,321860,"[2, 8, 3, 6, 7]",1018,368,56373,67528
6,582560,"[2, 8, 3, 6, 4, 5]",1310,434,72068,93961
5,391560,"[2, 8, 3, 6, 5]",1060,409,64650,83436
6,603360,"[2, 8, 3, 7, 4, 5]",1281,437,72191,95266
6,512860,"[2, 8, 3, 6, 7, 4]",1268,394,63886,77421
5,390060,"[2, 8, 3, 6, 4]",1087,384,61756,73536
4,219860,"[2, 8, 3, 7]",808,351,52074,61425
7,855450,"[2, 8, 3, 6, 7, 5, 0]",1524,452,78106,101926
4,288060,"[2, 8, 3, 4]",877,376,59599,70500
4,289560,"[2, 8, 3, 5]",850,390,60118,75855
7,705360,"[2, 8, 3, 6, 7, 4, 5]",1491,443,73987,97903
5,540150,"[2, 8, 3, 6, 0]",1120,398,66866,79003
7,853950,"[2, 8, 3, 6, 7, 4, 0]",1551,419,72841,87571
5,410860,"[2, 8, 3, 7, 4]",1058,388,62029,75078
5,560950,"[2, 8, 3, 7, 0]",1091,397,65988,78606
5,630650,"[2, 8, 3, 5, 0]",1133,440,74668,96580
5,480560,"[2, 8, 3, 4, 5]",1100,427,70085,90951
5,629150,"[2, 8, 3, 4, 0]",1160,407,70003,82621
8,1046450,"[2, 8, 3, 6, 7, 4, 5, 0]",1774,466,82579,108345
6,753450,"[2, 8, 3, 7, 5, 0]",1314,445,75979,98790
6,732650,"[2, 8, 3, 6, 5, 0]",1343,447,76903,99681
6,751950,"[2, 8, 3, 7, 4, 0]",1341,414,71477,85491
6,731150,"[2, 8, 3, 6, 4, 0]",1370,413,71519,85078
4,438150,"[2, 8, 3, 0]",910,390,64428,75855
6,821650,"[2, 8, 3, 4, 5, 0]",1383,456,80024,103740
7,944450,"[2, 8, 3, 7, 4, 5, 0]",1564,461,81253,106030
3,133810,"[2, 8, 1]",635,328,48197,53628
4,235810,"[2, 8, 1, 6]",845,348,52534,60378
5,358610,"[2, 8, 1, 6, 7]",1026,358,54516,63903
5,665900,"[2, 8, 1, 4, 0]",1168,392,66550,76636
7,923650,"[2, 8, 3, 6, 4, 5, 0]",1593,461,81402,106030
4,256610,"[2, 8, 1, 7]",816,341,50620,57970
5,426810,"[2, 8, 1, 6, 4]",1095,372,59425,69006
6,549610,"[2, 8, 1, 6, 7, 4]",1276,380,61097,72010
5,428310,"[2, 8, 1, 6, 5]",1068,397,62677,78606
6,551110,"[2, 8, 1, 6, 7, 5]",1249,407,64641,82621
6,767900,"[2, 8, 1, 6, 4, 0]",1378,397,67927,78606
6,619310,"[2, 8, 1, 6, 4, 5]",1318,419,69288,87571
5,576900,"[2, 8, 1, 6, 0]",1128,384,63655,73536
6,699700,"[2, 8, 1, 6, 7, 0]",1309,390,64914,75855
5,447610,"[2, 8, 1, 7, 4]",1066,373,59226,69378
5,667400,"[2, 8, 1, 5, 0]",1141,420,70837,87990
4,324810,"[2, 8, 1, 4]",885,364,57371,66066
5,597700,"[2, 8, 1, 7, 0]",1099,381,62597,72390
4,474900,"[2, 8, 1, 0]",918,374,61156,69751
7,890700,"[2, 8, 1, 6, 7, 4, 0]",1559,403,69149,81003
6,769400,"[2, 8, 1, 6, 5, 0]",1351,430,73309,92235
5,449110,"[2, 8, 1, 7, 5]",1039,391,60887,76245
4,326310,"[2, 8, 1, 5]",858,378,58500,71253
6,640110,"[2, 8, 1, 7, 4, 5]",1289,421,69203,88410
7,892200,"[2, 8, 1, 6, 7, 5, 0]",1532,436,74552,94830
3,143560,"[2, 8, 6]",586,308,41710,47278
7,960400,"[2, 8, 1, 6, 4, 5, 0]",1601,443,77544,97903
6,790200,"[2, 8, 1, 7, 5, 0]",1322,427,72252,90951
5,457360,"[2, 8, 6, 7, 4]",1017,355,53286,62835
5,517310,"[2, 8, 1, 4, 5]",1108,412,67375,84666
6,788700,"[2, 8, 1, 7, 4, 0]",1349,398,67821,79003
8,1083200,"[2, 8, 1, 6, 7, 4, 5, 0]",1782,449,78750,100576
7,981200,"[2, 8, 1, 7, 4, 5, 0]",1572,444,77436,98346
6,858400,"[2, 8, 1, 4, 5, 0]",1391,438,76191,95703
4,266360,"[2, 8, 6, 7]",767,323,44621,52003
7,742110,"[2, 8, 1, 6, 7, 4, 5]",1499,427,70943,90951
6,649860,"[2, 8, 6, 7, 4, 5]",1240,406,63954,82215
3,164360,"[2, 8, 7]",557,294,38375,43071
2,69800,"[2, 3]",508,327,47981,53301
4,484650,"[2, 8, 6, 0]",869,360,56527,64620
3,232560,"[2, 8, 4]",626,330,47766,54285
5,527060,"[2, 8, 6, 4, 5]",1059,394,61609,77421
4,336060,"[2, 8, 6, 5]",809,363,53012,65703
3,234060,"[2, 8, 5]",599,331,46428,54615
4,334560,"[2, 8, 6, 4]",836,342,50730,58311
4,356860,"[2, 8, 7, 5]",780,350,49825,61075
5,547860,"[2, 8, 7, 4, 5]",1030,397,61519,78606
4,575150,"[2, 8, 5, 0]",882,395,63460,77815
4,355360,"[2, 8, 7, 4]",807,345,50670,59340
6,799950,"[2, 8, 6, 7, 5, 0]",1273,419,68753,87571
5,458860,"[2, 8, 6, 7, 5]",990,377,55699,70876
4,505450,"[2, 8, 7, 0]",840,355,54883,62835
3,382650,"[2, 8, 0]",659,343,52663,58653
4,425060,"[2, 8, 4, 5]",849,384,58939,73536
5,607450,"[2, 8, 6, 7, 0]",1050,369,58318,67896
6,798450,"[2, 8, 6, 7, 4, 0]",1300,387,63632,74691
3,162050,"[2, 3, 1]",767,367,58441,67161
4,573650,"[2, 8, 4, 0]",909,370,59897,68265
5,696450,"[2, 8, 7, 4, 0]",1090,380,61822,72010
5,766150,"[2, 8, 4, 5, 0]",1132,421,70470,88410
6,888950,"[2, 8, 7, 4, 5, 0]",1313,429,72150,91806
5,697950,"[2, 8, 7, 5, 0]",1063,405,65431,81810
5,675650,"[2, 8, 6, 4, 0]",1119,378,61893,71253
5,677150,"[2, 8, 6, 5, 0]",1092,411,67107,84255
4,264050,"[2, 3, 1, 6]",977,381,61758,72390
6,868150,"[2, 8, 6, 4, 5, 0]",1342,428,72319,91378
7,990950,"[2, 8, 6, 7, 4, 5, 0]",1523,436,73913,94830
5,386850,"[2, 3, 1, 6, 7]",1158,389,63424,75466
5,605140,"[2, 3, 1, 6, 0]",1260,413,71987,85078
6,796140,"[2, 3, 1, 6, 4, 0]",1510,425,75906,90100
5,455050,"[2, 3, 1, 6, 4]",1227,402,68000,80601
4,284850,"[2, 3, 1, 7]",948,376,60329,70500
6,577850,"[2, 3, 1, 6, 7, 4]",1408,408,69382,83028
7,770350,"[2, 3, 1, 6, 7, 4, 5]",1631,454,78956,102831
4,353050,"[2, 3, 1, 4]",1017,396,66369,78210
5,475850,"[2, 3, 1, 7, 4]",1198,403,67902,81003
5,456550,"[2, 3, 1, 6, 5]",1200,429,71636,91806
6,647550,"[2, 3, 1, 6, 4, 5]",1450,448,77599,100128
6,579350,"[2, 3, 1, 6, 7, 5]",1381,437,73276,95266
5,477350,"[2, 3, 1, 7, 5]",1171,424,70219,89676
7,918940,"[2, 3, 1, 6, 7, 4, 0]",1691,429,76838,91806
3,171800,"[2, 3, 6]",718,350,53063,61075
6,727940,"[2, 3, 1, 6, 7, 0]",1441,417,72943,86736
5,625940,"[2, 3, 1, 7, 0]",1231,411,71223,84255
5,545550,"[2, 3, 1, 4, 5]",1240,442,76005,97461
5,694140,"[2, 3, 1, 4, 0]",1300,421,74788,88410
6,797640,"[2, 3, 1, 6, 5, 0]",1483,458,81388,104653
5,695640,"[2, 3, 1, 5, 0]",1273,452,79637,101926
6,668350,"[2, 3, 1, 7, 4, 5]",1421,449,77503,100576
6,816940,"[2, 3, 1, 7, 4, 0]",1481,425,75751,90100
6,818440,"[2, 3, 1, 7, 5, 0]",1454,456,80625,103740
7,920440,"[2, 3, 1, 6, 7, 5, 0]",1664,462,82328,106491
7,988640,"[2, 3, 1, 6, 4, 5, 0]",1733,470,85270,110215
6,886640,"[2, 3, 1, 4, 5, 0]",1523,466,84169,108345
4,294600,"[2, 3, 6, 7]",899,363,55582,65703
8,1111440,"[2, 3, 1, 6, 7, 4, 5, 0]",1914,474,86186,112101
7,1009440,"[2, 3, 1, 7, 4, 5, 0]",1704,470,85106,110215
4,503140,"[2, 3, 1, 0]",1050,407,70209,82621
4,354550,"[2, 3, 1, 5]",990,415,68375,85905
4,383600,"[2, 3, 7, 4]",939,384,61322,73536
5,635690,"[2, 3, 6, 7, 0]",1182,401,67663,80200
4,385100,"[2, 3, 7, 5]",912,397,61943,78606
5,703890,"[2, 3, 6, 4, 0]",1251,410,70984,83845
6,678100,"[2, 3, 6, 7, 4, 5]",1372,439,73424,96141
6,917190,"[2, 3, 7, 4, 5, 0]",1445,458,80814,104653
6,896390,"[2, 3, 6, 4, 5, 0]",1474,458,80964,104653
5,485600,"[2, 3, 6, 7, 4]",1149,390,63209,75855
7,1019190,"[2, 3, 6, 7, 4, 5, 0]",1655,463,82141,106953
5,487100,"[2, 3, 6, 7, 5]",1122,415,66204,85905
4,362800,"[2, 3, 6, 4]",968,379,61006,71631
3,192600,"[2, 3, 7]",689,344,51091,58996
6,826690,"[2, 3, 6, 7, 4, 0]",1432,416,72312,86320
4,364300,"[2, 3, 6, 5]",941,404,63962,81406
5,555300,"[2, 3, 6, 4, 5]",1191,430,71485,92235
6,828190,"[2, 3, 6, 7, 5, 0]",1405,449,77655,100576
4,512890,"[2, 3, 6, 0]",1001,395,66309,77815
5,576100,"[2, 3, 7, 4, 5]",1162,433,71613,93528
5,705390,"[2, 3, 6, 5, 0]",1224,444,76452,98346
4,533690,"[2, 3, 7, 0]",972,393,65341,77028
5,726190,"[2, 3, 7, 5, 0]",1195,442,75497,97461
5,724690,"[2, 3, 7, 4, 0]",1222,411,70932,84255
3,260800,"[2, 3, 4]",758,371,58819,68635
2,106550,"[2, 1]",516,320,47197,51040
3,262300,"[2, 3, 5]",731,384,59303,73536
3,208550,"[2, 1, 6]",726,340,51567,57630
4,453300,"[2, 3, 4, 5]",981,423,69487,89253
4,603390,"[2, 3, 5, 0]",1014,437,74186,95266
3,410890,"[2, 3, 0]",791,386,63775,74305
5,523850,"[2, 1, 6, 7, 5]",1130,401,63868,80200
4,601890,"[2, 3, 4, 0]",1041,404,69452,81406
4,331350,"[2, 1, 6, 7]",907,350,53558,61075
5,794390,"[2, 3, 4, 5, 0]",1264,453,79585,102378
4,399550,"[2, 1, 6, 4]",976,364,58469,66066
4,401050,"[2, 1, 6, 5]",949,391,61903,76245
5,522350,"[2, 1, 6, 7, 4]",1157,372,60150,69006
5,672440,"[2, 1, 6, 7, 0]",1190,383,64067,73153
6,714850,"[2, 1, 6, 7, 4, 5]",1380,421,70181,88410
3,229350,"[2, 1, 7]",697,333,49629,55278
6,933140,"[2, 1, 6, 4, 5, 0]",1482,438,76882,95703
5,592050,"[2, 1, 6, 4, 5]",1199,413,68525,85078
6,863440,"[2, 1, 6, 7, 4, 0]",1440,396,68302,78210
4,420350,"[2, 1, 7, 4]",947,365,58279,66430
6,864940,"[2, 1, 6, 7, 5, 0]",1413,431,73890,92665
4,549640,"[2, 1, 6, 0]",1009,377,62808,70876
5,740640,"[2, 1, 6, 4, 0]",1259,390,67080,75855
5,742140,"[2, 1, 6, 5, 0]",1232,425,72647,90100
7,1055940,"[2, 1, 6, 7, 4, 5, 0]",1663,444,78088,98346
4,421850,"[2, 1, 7, 5]",920,385,60089,73920
5,612850,"[2, 1, 7, 4, 5]",1170,415,68441,85905
3,297550,"[2, 1, 4]",766,356,56415,63190
5,761440,"[2, 1, 7, 4, 0]",1230,391,66974,76245
5,762940,"[2, 1, 7, 5, 0]",1203,422,71587,88831
4,570440,"[2, 1, 7, 0]",980,374,61739,69751
6,953940,"[2, 1, 7, 4, 5, 0]",1453,439,76774,96141
4,430100,"[2, 6, 7, 4]",898,345,52081,59340
3,307300,"[2, 6, 4]",717,331,49452,54615
2,116300,"[2, 6]",467,296,40306,43660
3,299050,"[2, 1, 5]",739,372,57701,69006
3,447640,"[2, 1, 0]",799,367,60298,67161
3,239100,"[2, 6, 7]",648,312,43290,48516
5,772690,"[2, 6, 7, 5, 0]",1154,414,68018,85491
4,640140,"[2, 1, 5, 0]",1022,415,70172,85905
4,490050,"[2, 1, 4, 5]",989,406,66612,82215
4,638640,"[2, 1, 4, 0]",1049,385,65703,73920
3,308800,"[2, 6, 5]",690,356,52026,63190
4,580190,"[2, 6, 7, 0]",931,360,57241,64620
5,771190,"[2, 6, 7, 4, 0]",1181,378,62578,71253
3,457390,"[2, 6, 0]",750,351,55444,61425
3,328100,"[2, 7, 4]",688,335,49420,55945
4,431600,"[2, 6, 7, 5]",871,370,54733,68265
5,622600,"[2, 6, 7, 4, 5]",1121,400,63105,79800
4,648390,"[2, 6, 4, 0]",1000,369,60833,67896
5,831140,"[2, 1, 4, 5, 0]",1272,433,75529,93528
4,499800,"[2, 6, 4, 5]",940,388,60740,75078
6,963690,"[2, 6, 7, 4, 5, 0]",1404,431,73192,92665
5,840890,"[2, 6, 4, 5, 0]",1223,423,71598,89253
4,649890,"[2, 6, 5, 0]",973,406,66372,82215
2,137100,"[2, 7]",438,280,36783,39060
4,670690,"[2, 7, 5, 0]",944,400,64659,79800
3,329600,"[2, 7, 5]",661,341,48663,57970
2,205300,"[2, 4]",507,319,46443,50721
4,669190,"[2, 7, 4, 0]",971,371,60751,68635
3,478190,"[2, 7, 0]",721,345,53704,59340
4,520600,"[2, 7, 4, 5]",911,391,60640,76245
5,861690,"[2, 7, 4, 5, 0]",1194,424,71427,89676
1,27260,[8],119,119,7021,7021
2,355390,"[2, 0]",540,333,51478,55278
3,397800,"[2, 4, 5]",730,378,58040,71253
6,809100,"[8, 3, 1, 6, 4, 0]",1372,416,72275,86320
2,206800,"[2, 5]",480,322,45246,51681
2,82760,"[8, 3]",370,279,34301,38781
6,740900,"[8, 3, 1, 6, 7, 0]",1303,404,68421,81406
3,547890,"[2, 5, 0]",763,390,62688,75855
6,592310,"[8, 3, 1, 6, 7, 5]",1243,421,67480,88410
3,175010,"[8, 3, 1]",629,337,49856,56616
3,546390,"[2, 4, 0]",790,361,58820,64980
6,660510,"[8, 3, 1, 6, 4, 5]",1312,438,73278,95703
4,738890,"[2, 4, 5, 0]",1013,416,69747,86320
5,469510,"[8, 3, 1, 6, 5]",1062,410,65295,83845
4,277010,"[8, 3, 1, 6]",839,355,54165,62835
4,297810,"[8, 3, 1, 7]",810,351,52729,61425
5,399810,"[8, 3, 1, 6, 7]",1020,367,56535,67161
7,783310,"[8, 3, 1, 6, 7, 4, 5]",1493,445,74890,98790
6,590810,"[8, 3, 1, 6, 7, 4]",1270,395,64525,77815
5,618100,"[8, 3, 1, 6, 0]",1122,400,67357,79800
7,933400,"[8, 3, 1, 6, 7, 5, 0]",1526,453,78534,102378
5,468010,"[8, 3, 1, 6, 4]",1089,388,62831,75078
5,488810,"[8, 3, 1, 7, 4]",1060,390,62881,75855
7,1001600,"[8, 3, 1, 6, 4, 5, 0]",1595,464,82278,107416
6,810600,"[8, 3, 1, 6, 5, 0]",1345,449,77534,100576
4,366010,"[8, 3, 1, 4]",879,381,60909,72390
5,707100,"[8, 3, 1, 4, 0]",1162,411,70954,84255
6,681310,"[8, 3, 1, 7, 4, 5]",1283,440,73310,96580
7,931900,"[8, 3, 1, 6, 7, 4, 0]",1553,420,73295,87990
5,558510,"[8, 3, 1, 4, 5]",1102,432,71526,93096
7,1022400,"[8, 3, 1, 7, 4, 5, 0]",1566,464,82110,107416
5,490310,"[8, 3, 1, 7, 5]",1033,405,63762,81810
6,899600,"[8, 3, 1, 4, 5, 0]",1385,460,81099,105570
5,638900,"[8, 3, 1, 7, 0]",1093,397,66386,78606
5,648650,"[8, 3, 6, 7, 0]",1044,385,62359,73920
6,829900,"[8, 3, 1, 7, 4, 0]",1343,416,72131,86320
6,831400,"[8, 3, 1, 7, 5, 0]",1316,446,76556,99235
3,184760,"[8, 3, 6]",580,316,42964,49770
5,708600,"[8, 3, 1, 5, 0]",1135,442,75455,97461
4,516100,"[8, 3, 1, 0]",912,392,65115,76636
3,205560,"[8, 3, 7]",551,308,40597,47278
4,367510,"[8, 3, 1, 5]",852,393,61255,77028
5,498560,"[8, 3, 6, 7, 4]",1011,371,56905,68635
4,307560,"[8, 3, 6, 7]",761,334,46855,55611
4,377260,"[8, 3, 6, 5]",803,379,55627,71631
4,375760,"[8, 3, 6, 4]",830,359,54038,64261
5,568260,"[8, 3, 6, 4, 5]",1053,414,65615,85491
4,525850,"[8, 3, 6, 0]",863,379,60786,71631
5,500060,"[8, 3, 6, 7, 5]",984,394,58857,77421
4,398060,"[8, 3, 7, 5]",774,369,53071,67896
4,396560,"[8, 3, 7, 4]",801,363,54509,65703
6,930150,"[8, 3, 7, 4, 5, 0]",1307,449,77086,100576
3,273760,"[8, 3, 4]",620,348,51089,60378
5,716850,"[8, 3, 6, 4, 0]",1113,398,66536,79003
4,546650,"[8, 3, 7, 0]",834,376,59484,70500
6,839650,"[8, 3, 6, 7, 4, 0]",1294,404,68057,81406
5,718350,"[8, 3, 6, 5, 0]",1086,432,71784,93096
5,589060,"[8, 3, 7, 4, 5]",1024,418,65889,87153
6,691060,"[8, 3, 6, 7, 4, 5]",1234,425,68071,90100
5,807350,"[8, 3, 4, 5, 0]",1126,444,75726,98346
5,737650,"[8, 3, 7, 4, 0]",1084,399,66567,79401
4,466260,"[8, 3, 4, 5]",843,406,63134,82215
5,739150,"[8, 3, 7, 5, 0]",1057,428,70433,91378
6,841150,"[8, 3, 6, 7, 5, 0]",1267,437,73098,95266
