subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,16400,[4],130,130,8385,8385
2,38200,"[4, 3]",263,153,11168,11628
3,71200,"[4, 3, 5]",356,192,14120,18336
4,149900,"[4, 3, 5, 2]",490,198,15376,19503
5,243900,"[4, 3, 5, 2, 0]",648,288,25639,41328
5,297450,"[4, 3, 5, 2, 1]",626,200,15877,19900
6,428900,"[4, 3, 5, 2, 0, 6]",737,300,26852,44850
5,334900,"[4, 3, 5, 2, 6]",579,213,16779,22578
6,482450,"[4, 3, 5, 2, 1, 6]",715,215,17257,23005
5,312750,"[4, 3, 5, 0, 1]",650,285,25418,40470
4,165200,"[4, 3, 5, 0]",514,282,24402,39621
6,497750,"[4, 3, 5, 0, 1, 6]",739,297,26621,43956
5,350200,"[4, 3, 5, 0, 6]",603,295,25685,43365
4,218750,"[4, 3, 5, 1]",492,195,15153,18915
3,116900,"[4, 3, 2]",397,164,12639,13366
6,391450,"[4, 3, 5, 2, 0, 1]",784,290,26131,41905
4,256200,"[4, 3, 5, 6]",445,208,15597,21528
7,576450,"[4, 3, 5, 2, 0, 1, 6]",873,302,27326,45451
5,403750,"[4, 3, 5, 1, 6]",581,210,16542,21945
5,358450,"[4, 3, 2, 0, 1]",691,270,24248,36315
3,132200,"[4, 3, 0]",421,259,22323,33411
4,210900,"[4, 3, 2, 0]",555,268,23705,35778
5,395900,"[4, 3, 2, 0, 6]",644,287,25489,41041
3,223200,"[4, 3, 6]",352,190,13836,17955
2,49400,"[4, 5]",223,184,11922,16836
6,543450,"[4, 3, 2, 0, 1, 6]",780,289,25982,41616
3,128100,"[4, 5, 2]",357,192,13788,18336
4,222100,"[4, 5, 2, 0]",515,284,24156,40186
4,301900,"[4, 3, 2, 6]",486,196,15087,19110
4,313100,"[4, 5, 2, 6]",446,208,15266,21528
5,521650,"[4, 2, 0, 1, 6]",647,287,24953,41041
4,275650,"[4, 5, 2, 1]",493,195,14714,18915
3,234400,"[4, 5, 6]",312,201,13480,20100
3,196950,"[4, 5, 1]",359,189,13640,17766
2,95100,"[4, 2]",264,148,10626,10878
5,369650,"[4, 5, 2, 0, 1]",651,287,25067,41041
4,317200,"[4, 3, 0, 6]",510,282,24292,39621
5,407100,"[4, 5, 2, 0, 6]",604,297,25436,43956
4,290950,"[4, 5, 0, 1]",517,281,24006,39340
4,264450,"[4, 3, 2, 1]",533,168,13301,14028
4,381950,"[4, 5, 1, 6]",448,205,15100,20910
6,554650,"[4, 5, 2, 0, 1, 6]",740,300,26324,44850
5,460650,"[4, 5, 2, 1, 6]",582,211,16161,22155
3,185750,"[4, 3, 1]",399,163,12553,13203
4,370750,"[4, 3, 1, 6]",488,194,14918,18721
4,279750,"[4, 3, 0, 1]",557,265,23514,34980
5,449450,"[4, 3, 2, 1, 6]",622,199,15651,19701
3,189100,"[4, 2, 0]",422,262,22103,34191
4,328400,"[4, 5, 0, 6]",470,290,23669,41905
4,336650,"[4, 2, 0, 1]",558,266,23105,35245
4,374100,"[4, 2, 0, 6]",511,284,24043,40186
2,163950,"[4, 1]",266,148,10662,10878
5,475950,"[4, 5, 0, 1, 6]",606,294,25274,43071
5,464750,"[4, 3, 0, 1, 6]",646,284,25261,40186
2,110400,"[4, 0]",288,249,20047,30876
3,280100,"[4, 2, 6]",353,191,13514,18145
3,143400,"[4, 5, 0]",381,276,22315,37950
3,242650,"[4, 2, 1]",400,157,11859,12246
4,427650,"[4, 2, 1, 6]",489,195,14511,18915
4,442950,"[4, 0, 1, 6]",513,279,23820,38781
3,295400,"[4, 0, 6]",377,275,22178,37675
3,348950,"[4, 1, 6]",355,187,13364,17391
3,257950,"[4, 0, 1]",424,258,21955,33153
1,21800,[3],133,133,8778,8778
2,201400,"[4, 6]",219,180,11560,16110
2,54800,"[3, 5]",226,179,11975,15931
3,239800,"[3, 5, 6]",315,198,13572,19503
3,133500,"[3, 5, 2]",360,191,14137,18145
5,375050,"[3, 5, 2, 0, 1]",654,285,25297,40470
5,466050,"[3, 5, 2, 1, 6]",585,210,16416,21945
4,281050,"[3, 5, 2, 1]",496,195,15035,18915
2,100500,"[3, 2]",267,153,11248,11628
4,318500,"[3, 5, 2, 6]",449,206,15546,21115
2,115800,"[3, 0]",291,245,20146,29890
3,148800,"[3, 5, 0]",384,272,22374,36856
3,285500,"[3, 2, 6]",356,186,13734,17205
4,387350,"[3, 5, 1, 6]",451,202,15358,20301
