subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
0,0,[],0,0,0,0,0.0,0.0,0.0,0.0
1,6000,[10],740,740,273430,273430,0.07774742592981719,0.43864848844101956,0.23126936372378945,0.19226644896673395
2,14471,"[10, 9]",1546,851,356680,361675,0.16242908173986131,0.5044457617071725,0.30168290477636406,0.2543172582746718
3,29471,"[10, 9, 11]",2093,884,374912,390286,0.21989913847446943,0.5240071132187315,0.31710368171895315,0.2744355165908303
4,45010,"[10, 9, 11, 1]",3152,1230,687826,755835,0.3311620088253835,0.7291049199762892,0.5817689403967349,0.53147683668497
5,65010,"[10, 9, 11, 1, 5]",3955,1310,756958,857395,0.41552847236814455,0.7765263781861292,0.6402413598567539,0.602890290062659
6,85010,"[10, 9, 11, 1, 5, 8]",4742,1338,784634,894453,0.4982139104853961,0.7931238885595732,0.6636499503933432,0.628948184462722
7,117010,"[10, 9, 11, 1, 5, 8, 2]",5750,1354,821600,915981,0.6041185122924985,0.8026081802015412,0.694916100045589,0.6440859239695642
8,151279,"[10, 9, 11, 1, 5, 8, 2, 3]",6543,1357,824775,920046,0.687434334944316,0.8043864848844102,0.6976015414010476,0.6469442903340809
9,197829,"[10, 9, 11, 1, 5, 8, 2, 3, 6]",7406,1505,945566,1131760,0.7781046438327379,0.8921161825726142,0.7997675718789039,0.7958141984514897
10,270901,"[10, 9, 11, 1, 5, 8, 2, 3, 6, 0]",8642,1671,1149474,1395285,0.9079638579533515,0.990515708358032,0.9722346509053109,0.9811157965349427
11,418901,"[10, 9, 11, 1, 5, 8, 2, 3, 6, 0, 7]",9518,1687,1182301,1422141,1.0,1.0,1.0,1.0
12,598901,"[10, 9, 11, 1, 5, 8, 2, 3, 6, 0, 7, 4]",9518,1687,1182301,1422141,1.0,1.0,1.0,1.0
11,450901,"[10, 9, 11, 1, 5, 8, 2, 3, 6, 0, 4]",8642,1671,1149474,1395285,0.9079638579533515,0.990515708358032,0.9722346509053109,0.9811157965349427
10,345829,"[10, 9, 11, 1, 5, 8, 2, 3, 6, 7]",8282,1521,978741,1155960,0.8701407858793865,0.9016004742145821,0.8278272622623173,0.812830795258698
11,525829,"[10, 9, 11, 1, 5, 8, 2, 3, 6, 7, 4]",8282,1521,978741,1155960,0.8701407858793865,0.9016004742145821,0.8278272622623173,0.812830795258698
10,377829,"[10, 9, 11, 1, 5, 8, 2, 3, 6, 4]",7406,1505,945566,1131760,0.7781046438327379,0.8921161825726142,0.7997675718789039,0.7958141984514897
9,224351,"[10, 9, 11, 1, 5, 8, 2, 3, 0]",7779,1523,1028840,1159003,0.8172935490649296,0.9027860106698281,0.8702014123307009,0.8149705268324309
10,372351,"[10, 9, 11, 1, 5, 8, 2, 3, 0, 7]",8655,1643,1131803,1348903,0.909329691111578,0.973918197984588,0.9572883724195446,0.9485015902080033
11,552351,"[10, 9, 11, 1, 5, 8, 2, 3, 0, 7, 4]",8655,1643,1131803,1348903,0.909329691111578,0.973918197984588,0.9572883724195446,0.9485015902080033
10,404351,"[10, 9, 11, 1, 5, 8, 2, 3, 0, 4]",7779,1523,1028840,1159003,0.8172935490649296,0.9027860106698281,0.8702014123307009,0.8149705268324309
9,299279,"[10, 9, 11, 1, 5, 8, 2, 3, 7]",7419,1477,928168,1090026,0.7794704769909645,0.8755186721991701,0.785052199059292,0.7664683037757859
10,479279,"[10, 9, 11, 1, 5, 8, 2, 3, 7, 4]",7419,1477,928168,1090026,0.7794704769909645,0.8755186721991701,0.785052199059292,0.7664683037757859
9,331279,"[10, 9, 11, 1, 5, 8, 2, 3, 4]",6543,1357,824775,920046,0.687434334944316,0.8043864848844102,0.6976015414010476,0.6469442903340809
8,163560,"[10, 9, 11, 1, 5, 8, 2, 6]",6613,1502,942406,1127251,0.6947888211809203,0.890337877889745,0.7970948176479593,0.7926436267571219
9,236632,"[10, 9, 11, 1, 5, 8, 2, 6, 0]",7849,1669,1147398,1391946,0.824648035301534,0.989330171902786,0.9704787528725765,0.9787679280746424
10,384632,"[10, 9, 11, 1, 5, 8, 2, 6, 0, 7]",8725,1685,1180225,1418770,0.9166841773481824,0.998814463544754,0.9982441019672655,0.9976296302546653
11,564632,"[10, 9, 11, 1, 5, 8, 2, 6, 0, 7, 4]",8725,1685,1180225,1418770,0.9166841773481824,0.998814463544754,0.9982441019672655,0.9976296302546653
