method,committee,k,alpha_PAIRS,alpha_CONS,alpha_EJR
MES,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,1.0,1.0,1.0
AV,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,1.0,1.0,1.0
greedy-AV/cost,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,1.0,1.0,1.0
greedy-AV/cost^2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,1.0,1.0,1.0
greedy-CC,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,1.0,1.0,1.0
greedy-PAV,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]",12,1.0,1.0,1.0
PAIRS-AV,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11]",11,1.0,1.0,1.0
PAIRS-CC,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11]",11,1.0,1.0,1.0
CONS-AV,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11]",11,1.0,1.0,1.0
CONS-CC,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11]",11,1.0,1.0,1.0
