subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,6000,[10],816,816,332520,332520
2,14471,"[10, 9]",1632,895,393824,400065
3,29471,"[10, 9, 11]",2198,929,413103,431056
4,45010,"[10, 9, 11, 1]",3426,1440,916430,1036080
5,65010,"[10, 9, 11, 1, 5]",4398,1673,1124561,1398628
6,85010,"[10, 9, 11, 1, 5, 8]",5231,1707,1162614,1456071
7,117010,"[10, 9, 11, 1, 5, 8, 2]",6336,1751,1243911,1532125
9,197829,"[10, 9, 11, 1, 5, 8, 2, 3, 6]",8284,1813,1327837,1642578
10,372351,"[10, 9, 11, 1, 5, 8, 2, 3, 0, 7]",9496,1784,1318537,1590436
11,418901,"[10, 9, 11, 1, 5, 8, 2, 3, 6, 0, 7]",10407,1826,1363596,1666225
8,151279,"[10, 9, 11, 1, 5, 8, 2, 3]",7373,1764,1268752,1554966
11,552351,"[10, 9, 11, 1, 5, 8, 2, 3, 0, 7, 4]",10473,1825,1363577,1664400
10,404351,"[10, 9, 11, 1, 5, 8, 2, 3, 0, 4]",9587,1808,1333100,1633528
10,270901,"[10, 9, 11, 1, 5, 8, 2, 3, 6, 0]",9521,1815,1346106,1646205
9,299279,"[10, 9, 11, 1, 5, 8, 2, 3, 7]",8259,1782,1300298,1586871
9,338082,"[10, 9, 11, 1, 5, 8, 2, 0, 7]",8459,1772,1300905,1569106
8,163560,"[10, 9, 11, 1, 5, 8, 2, 6]",7247,1800,1303081,1619100
10,491560,"[10, 9, 11, 1, 5, 8, 2, 6, 7, 4]",9110,1855,1369597,1719585
11,564632,"[10, 9, 11, 1, 5, 8, 2, 6, 0, 7, 4]",10347,1856,1392493,1721440
12,598901,"[10, 9, 11, 1, 5, 8, 2, 3, 6, 0, 7, 4]",11384,1866,1408015,1740045
9,224351,"[10, 9, 11, 1, 5, 8, 2, 3, 0]",8610,1766,1287040,1558495
10,345829,"[10, 9, 11, 1, 5, 8, 2, 3, 6, 7]",9170,1824,1345376,1662576
10,479279,"[10, 9, 11, 1, 5, 8, 2, 3, 7, 4]",9236,1824,1346453,1662576
9,236632,"[10, 9, 11, 1, 5, 8, 2, 6, 0]",8484,1803,1328472,1624503
9,311560,"[10, 9, 11, 1, 5, 8, 2, 6, 7]",8133,1811,1320904,1638955
9,331279,"[10, 9, 11, 1, 5, 8, 2, 3, 4]",8350,1807,1315927,1631721
11,450901,"[10, 9, 11, 1, 5, 8, 2, 3, 6, 0, 4]",10498,1856,1391291,1721440
10,377829,"[10, 9, 11, 1, 5, 8, 2, 3, 6, 4]",9261,1855,1374136,1719585
10,416632,"[10, 9, 11, 1, 5, 8, 2, 6, 0, 4]",9461,1846,1375733,1702935
9,370082,"[10, 9, 11, 1, 5, 8, 2, 0, 4]",8550,1798,1317474,1615503
10,384632,"[10, 9, 11, 1, 5, 8, 2, 6, 0, 7]",9370,1814,1345998,1644391
10,518082,"[10, 9, 11, 1, 5, 8, 2, 0, 7, 4]",9436,1815,1348034,1646205
9,343560,"[10, 9, 11, 1, 5, 8, 2, 6, 4]",8224,1845,1352540,1701090
8,190082,"[10, 9, 11, 1, 5, 8, 2, 0]",7573,1754,1269325,1537381
11,525829,"[10, 9, 11, 1, 5, 8, 2, 3, 6, 7, 4]",10147,1865,1390909,1738180
8,265010,"[10, 9, 11, 1, 5, 8, 2, 7]",7222,1769,1275788,1563796
7,119279,"[10, 9, 11, 1, 5, 8, 3]",6268,1727,1206968,1490401
7,131560,"[10, 9, 11, 1, 5, 8, 6]",6142,1759,1224376,1546161
7,233010,"[10, 9, 11, 1, 5, 8, 7]",6117,1726,1196480,1488675
7,158082,"[10, 9, 11, 1, 5, 8, 0]",6468,1713,1203337,1466328
8,297010,"[10, 9, 11, 1, 5, 8, 2, 4]",7313,1797,1294261,1613706
9,445010,"[10, 9, 11, 1, 5, 8, 2, 7, 4]",8199,1814,1325118,1644391
8,204632,"[10, 9, 11, 1, 5, 8, 6, 0]",7379,1765,1265057,1556730
8,192351,"[10, 9, 11, 1, 5, 8, 3, 0]",7505,1730,1230504,1495585
8,165829,"[10, 9, 11, 1, 5, 8, 3, 6]",7179,1778,1268000,1579753
8,267279,"[10, 9, 11, 1, 5, 8, 3, 7]",7154,1746,1240223,1523385
8,306082,"[10, 9, 11, 1, 5, 8, 0, 7]",7354,1732,1236694,1499046
8,311560,"[10, 9, 11, 1, 5, 8, 6, 4]",7119,1818,1300380,1651653
8,279560,"[10, 9, 11, 1, 5, 8, 6, 7]",7028,1770,1243284,1565565
8,299279,"[10, 9, 11, 1, 5, 8, 3, 4]",7245,1779,1269007,1581531
9,372351,"[10, 9, 11, 1, 5, 8, 3, 0, 4]",8482,1780,1289464,1583310
8,338082,"[10, 9, 11, 1, 5, 8, 0, 4]",7445,1770,1270286,1565565
9,447279,"[10, 9, 11, 1, 5, 8, 3, 7, 4]",8131,1797,1300682,1613706
9,486082,"[10, 9, 11, 1, 5, 8, 0, 7, 4]",8331,1788,1302078,1597578
9,345829,"[10, 9, 11, 1, 5, 8, 3, 6, 4]",8156,1828,1328380,1669878
9,238901,"[10, 9, 11, 1, 5, 8, 3, 6, 0]",8416,1781,1291504,1585090
9,313829,"[10, 9, 11, 1, 5, 8, 3, 6, 7]",8065,1789,1286416,1599366
10,386901,"[10, 9, 11, 1, 5, 8, 3, 6, 0, 7]",9302,1792,1309775,1604736
9,340351,"[10, 9, 11, 1, 5, 8, 3, 0, 7]",8391,1749,1263608,1528626
9,384632,"[10, 9, 11, 1, 5, 8, 6, 0, 4]",8356,1819,1329890,1653471
9,352632,"[10, 9, 11, 1, 5, 8, 6, 0, 7]",8265,1776,1283462,1576200
9,459560,"[10, 9, 11, 1, 5, 8, 6, 7, 4]",8005,1828,1318002,1669878
10,418901,"[10, 9, 11, 1, 5, 8, 3, 6, 0, 4]",9393,1829,1348806,1671706
10,532632,"[10, 9, 11, 1, 5, 8, 6, 0, 7, 4]",9242,1829,1347174,1671706
10,493829,"[10, 9, 11, 1, 5, 8, 3, 6, 7, 4]",9042,1838,1345660,1688203
10,520351,"[10, 9, 11, 1, 5, 8, 3, 0, 7, 4]",9368,1798,1321054,1615503
11,566901,"[10, 9, 11, 1, 5, 8, 3, 6, 0, 7, 4]",10279,1839,1366007,1690041
6,97010,"[10, 9, 11, 1, 5, 2]",5503,1730,1218601,1495585
7,131279,"[10, 9, 11, 1, 5, 2, 3]",6540,1744,1244151,1519896
7,265010,"[10, 9, 11, 1, 5, 8, 4]",6208,1769,1240737,1563796
8,413010,"[10, 9, 11, 1, 5, 8, 7, 4]",7094,1787,1272873,1595791
8,177829,"[10, 9, 11, 1, 5, 2, 3, 6]",7451,1795,1306865,1610115
7,143560,"[10, 9, 11, 1, 5, 2, 6]",6414,1782,1281886,1586871
9,250901,"[10, 9, 11, 1, 5, 2, 3, 6, 0]",8688,1797,1325259,1613706
8,311279,"[10, 9, 11, 1, 5, 2, 3, 4]",7517,1790,1293929,1601155
8,204351,"[10, 9, 11, 1, 5, 2, 3, 0]",7777,1746,1262813,1523385
7,170082,"[10, 9, 11, 1, 5, 2, 0]",6740,1733,1244444,1500778
8,216632,"[10, 9, 11, 1, 5, 2, 6, 0]",7651,1785,1307456,1592220
