subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
2,18300,"[2, 3]",2083,1197,691638,715806
6,347220,"[2, 3, 4, 1, 7, 5]",5386,1484,990684,1100386
6,358220,"[2, 3, 4, 1, 8, 5]",5168,1497,988501,1119756
3,67470,"[2, 3, 4]",3042,1354,835904,915981
1,7100,[2],1045,1045,545490,545490
4,117120,"[2, 3, 4, 1]",4124,1434,945789,1027461
5,201120,"[2, 3, 4, 1, 7]",4737,1456,963207,1059240
4,151470,"[2, 3, 4, 7]",3655,1386,860122,959805
5,252870,"[2, 3, 4, 7, 6]",4277,1412,883681,996166
5,212120,"[2, 3, 4, 1, 8]",4519,1466,959603,1073845
6,296120,"[2, 3, 4, 1, 7, 8]",5132,1486,976596,1103355
6,302520,"[2, 3, 4, 1, 7, 6]",5359,1469,977983,1078246
5,218520,"[2, 3, 4, 1, 6]",4746,1454,962720,1056331
5,263220,"[2, 3, 4, 1, 5]",4773,1469,975145,1078246
6,461120,"[2, 3, 4, 1, 7, 0]",6186,1621,1239542,1313010
5,377120,"[2, 3, 4, 1, 0]",5573,1609,1230768,1293636
6,313520,"[2, 3, 4, 1, 8, 6]",5141,1484,976130,1100386
7,397520,"[2, 3, 4, 1, 7, 8, 6]",5754,1497,990995,1119756
7,442220,"[2, 3, 4, 1, 7, 8, 5]",5781,1511,1003656,1140805
6,478520,"[2, 3, 4, 1, 6, 0]",6195,1618,1238048,1308153
7,556120,"[2, 3, 4, 1, 7, 8, 0]",6581,1643,1249019,1348903
7,448620,"[2, 3, 4, 1, 7, 6, 5]",6008,1489,1000281,1107816
7,562520,"[2, 3, 4, 1, 7, 6, 0]",6808,1629,1246151,1326006
6,364620,"[2, 3, 4, 1, 6, 5]",5395,1475,986507,1087075
6,523220,"[2, 3, 4, 1, 5, 0]",6222,1629,1245288,1326006
7,459620,"[2, 3, 4, 1, 8, 6, 5]",5790,1502,999502,1127251
6,472120,"[2, 3, 4, 1, 8, 0]",5968,1632,1240471,1330896
6,392570,"[2, 3, 4, 7, 8, 5]",4699,1463,919336,1069453
8,543620,"[2, 3, 4, 1, 7, 8, 6, 5]",6403,1515,1012919,1146855
7,573520,"[2, 3, 4, 1, 8, 6, 0]",6590,1640,1247525,1343980
6,506470,"[2, 3, 4, 7, 8, 0]",5499,1626,1223389,1321125
5,246470,"[2, 3, 4, 7, 8]",4050,1425,877894,1014600
6,398970,"[2, 3, 4, 7, 6, 5]",4926,1441,919670,1037520
6,347870,"[2, 3, 4, 7, 8, 6]",4672,1448,900565,1047628
6,512870,"[2, 3, 4, 7, 6, 0]",5726,1613,1221823,1300078
5,263870,"[2, 3, 4, 8, 6]",4059,1428,879940,1018878
4,162470,"[2, 3, 4, 8]",3437,1398,854560,976503
7,493970,"[2, 3, 4, 7, 8, 6, 5]",5321,1473,935600,1084128
5,297570,"[2, 3, 4, 7, 5]",4304,1429,902562,1020306
5,411470,"[2, 3, 4, 7, 0]",5104,1602,1212777,1282401
4,168870,"[2, 3, 4, 6]",3664,1390,862328,965355
3,67950,"[2, 3, 1]",3165,1350,853579,910575
5,308570,"[2, 3, 4, 8, 5]",4086,1443,898503,1040403
6,557570,"[2, 3, 4, 7, 5, 0]",5753,1622,1228699,1314631
4,213570,"[2, 3, 4, 5]",3691,1405,880886,986310
5,422470,"[2, 3, 4, 8, 0]",4886,1615,1214208,1303305
4,151950,"[2, 3, 1, 7]",3778,1378,874880,948753
4,327470,"[2, 3, 4, 0]",4491,1590,1203228,1263255
6,409970,"[2, 3, 4, 8, 6, 5]",4708,1454,917086,1056331
5,314970,"[2, 3, 4, 6, 5]",4313,1421,900469,1008910
6,523870,"[2, 3, 4, 8, 6, 0]",5508,1626,1223661,1321125
5,246950,"[2, 3, 1, 7, 8]",4173,1418,891680,1004653
5,428870,"[2, 3, 4, 6, 0]",5113,1602,1213099,1282401
5,473570,"[2, 3, 4, 5, 0]",5140,1611,1219734,1296855
6,568570,"[2, 3, 4, 8, 5, 0]",5535,1635,1230340,1335795
6,574970,"[2, 3, 4, 6, 5, 0]",5762,1616,1226708,1304920
5,253350,"[2, 3, 1, 7, 6]",4400,1398,894029,976503
6,348350,"[2, 3, 1, 7, 8, 6]",4795,1435,910295,1028895
6,393050,"[2, 3, 1, 7, 8, 5]",4822,1453,926903,1054878
6,399450,"[2, 3, 1, 7, 6, 5]",5049,1423,923975,1011753
6,506950,"[2, 3, 1, 7, 8, 0]",5622,1608,1209913,1292028
7,494450,"[2, 3, 1, 7, 8, 6, 5]",5444,1458,939687,1062153
5,298050,"[2, 3, 1, 7, 5]",4427,1416,910700,1001820
