subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
0,0,[],0,0,0,0,0.0,0.0,0.0,0.0
1,6300,[9],2199,2199,2416701,2416701,0.08676267508384297,0.5264543931050993,0.3025758689865935,0.27709452970426446
2,17500,"[9, 5]",4553,2680,3433054,3589860,0.1796409548234366,0.6416088101508259,0.4298253268931079,0.4116068013395744
3,28794,"[9, 5, 7]",6938,2998,4162484,4492503,0.2737423554941803,0.7177400047881255,0.5211514429972064,0.5151022017121676
4,41144,"[9, 5, 7, 6]",9318,3195,4660855,5102415,0.3676464785953837,0.7649030404596601,0.5835485034538858,0.5850335994320293
5,65144,"[9, 5, 7, 6, 4]",11872,3416,5260734,5832820,0.46841586111659106,0.8178118266698587,0.6586545714829091,0.6687805048078467
6,95144,"[9, 5, 7, 6, 4, 2]",14910,3812,6554751,7263766,0.5882817123693036,0.9126167105578166,0.820668125604178,0.8328501637777392
7,139144,"[9, 5, 7, 6, 4, 2, 10]",14910,3812,6554751,7263766,0.5882817123693036,0.9126167105578166,0.820668125604178,0.8328501637777392
8,186144,"[9, 5, 7, 6, 4, 2, 10, 0]",18237,4085,7670115,8341570,0.719550207141448,0.9779746229351209,0.9603139616163131,0.9564292049968951
9,235844,"[9, 5, 7, 6, 4, 2, 10, 0, 1]",20306,4096,7699165,8386560,0.8011836654172421,0.9806080919320086,0.9639510805623724,0.9615876763557412
10,285844,"[9, 5, 7, 6, 4, 2, 10, 0, 1, 3]",22996,4165,7944602,8671530,0.9073189978299467,0.9971271247306679,0.9946802909845399,0.9942618169009821
11,367110,"[9, 5, 7, 6, 4, 2, 10, 0, 1, 3, 8]",25345,4177,7987091,8721576,1.0,1.0,1.0,1.0
10,317110,"[9, 5, 7, 6, 4, 2, 10, 0, 1, 8]",22655,4114,7757004,8460441,0.8938646675872953,0.9849174048360066,0.9711926407248898,0.970058737090636
9,236144,"[9, 5, 7, 6, 4, 2, 10, 0, 3]",20927,4159,7926928,8646561,0.8256855395541527,0.995690687096002,0.992467470321798,0.9913989168930019
10,317410,"[9, 5, 7, 6, 4, 2, 10, 0, 3, 8]",23276,4171,7969926,8696535,0.918366541724206,0.998563562365334,0.9978509071700823,0.9971288446033149
9,267410,"[9, 5, 7, 6, 4, 2, 10, 0, 8]",20586,4103,7728753,8415253,0.8122312093115013,0.982283935839119,0.9676555582001006,0.964877563412851
8,188844,"[9, 5, 7, 6, 4, 2, 10, 1]",16979,3834,6609888,7347861,0.6699151706450976,0.9178836485515921,0.8275713898840016,0.8424923431269762
9,238844,"[9, 5, 7, 6, 4, 2, 10, 1, 3]",19669,3948,6999478,7791378,0.7760505030578023,0.9451759636102466,0.8763488484105164,0.8933451935751061
10,320110,"[9, 5, 7, 6, 4, 2, 10, 1, 3, 8]",22018,3971,7080605,7882435,0.8687315052278556,0.9506823078764663,0.8865061134272791,0.9037856231488437
9,270110,"[9, 5, 7, 6, 4, 2, 10, 1, 8]",19328,3866,6718158,7471045,0.7625961728151509,0.9255446492698108,0.8411270135772837,0.8566163959357804
8,189144,"[9, 5, 7, 6, 4, 2, 10, 3]",17600,3935,6964209,7740145,0.6944170447820083,0.9420636820684702,0.8719330980453334,0.8874709112206326
9,270410,"[9, 5, 7, 6, 4, 2, 10, 3, 8]",19949,3960,7050402,7838820,0.7870980469520615,0.9480488388795787,0.8827246365416395,0.8987848067826274
8,220410,"[9, 5, 7, 6, 4, 2, 10, 8]",17259,3847,6670477,7397781,0.6809627145393569,0.9209959300933684,0.8351572556266105,0.8482160792957603
7,142144,"[9, 5, 7, 6, 4, 2, 0]",18237,4085,7670115,8341570,0.719550207141448,0.9779746229351209,0.9603139616163131,0.9564292049968951
8,191844,"[9, 5, 7, 6, 4, 2, 0, 1]",20306,4096,7699165,8386560,0.8011836654172421,0.9806080919320086,0.9639510805623724,0.9615876763557412
9,241844,"[9, 5, 7, 6, 4, 2, 0, 1, 3]",22996,4165,7944602,8671530,0.9073189978299467,0.9971271247306679,0.9946802909845399,0.9942618169009821
10,323110,"[9, 5, 7, 6, 4, 2, 0, 1, 3, 8]",25345,4177,7987091,8721576,1.0,1.0,1.0,1.0
9,273110,"[9, 5, 7, 6, 4, 2, 0, 1, 8]",22655,4114,7757004,8460441,0.8938646675872953,0.9849174048360066,0.9711926407248898,0.970058737090636
8,192144,"[9, 5, 7, 6, 4, 2, 0, 3]",20927,4159,7926928,8646561,0.8256855395541527,0.995690687096002,0.992467470321798,0.9913989168930019
9,273410,"[9, 5, 7, 6, 4, 2, 0, 3, 8]",23276,4171,7969926,8696535,0.918366541724206,0.998563562365334,0.9978509071700823,0.9971288446033149
8,223410,"[9, 5, 7, 6, 4, 2, 0, 8]",20586,4103,7728753,8415253,0.8122312093115013,0.982283935839119,0.9676555582001006,0.964877563412851
7,144844,"[9, 5, 7, 6, 4, 2, 1]",16979,3834,6609888,7347861,0.6699151706450976,0.9178836485515921,0.8275713898840016,0.8424923431269762
8,194844,"[9, 5, 7, 6, 4, 2, 1, 3]",19669,3948,6999478,7791378,0.7760505030578023,0.9451759636102466,0.8763488484105164,0.8933451935751061
9,276110,"[9, 5, 7, 6, 4, 2, 1, 3, 8]",22018,3971,7080605,7882435,0.8687315052278556,0.9506823078764663,0.8865061134272791,0.9037856231488437
8,226110,"[9, 5, 7, 6, 4, 2, 1, 8]",19328,3866,6718158,7471045,0.7625961728151509,0.9255446492698108,0.8411270135772837,0.8566163959357804
7,145144,"[9, 5, 7, 6, 4, 2, 3]",17600,3935,6964209,7740145,0.6944170447820083,0.9420636820684702,0.8719330980453334,0.8874709112206326
8,226410,"[9, 5, 7, 6, 4, 2, 3, 8]",19949,3960,7050402,7838820,0.7870980469520615,0.9480488388795787,0.8827246365416395,0.8987848067826274
7,176410,"[9, 5, 7, 6, 4, 2, 8]",17259,3847,6670477,7397781,0.6809627145393569,0.9209959300933684,0.8351572556266105,0.8482160792957603
6,109144,"[9, 5, 7, 6, 4, 10]",11872,3416,5260734,5832820,0.46841586111659106,0.8178118266698587,0.6586545714829091,0.6687805048078467
7,156144,"[9, 5, 7, 6, 4, 10, 0]",15199,3880,6927859,7525260,0.5996843558887355,0.9288963370840316,0.8673820042866671,0.8628325889724517
8,205844,"[9, 5, 7, 6, 4, 10, 0, 1]",17268,3899,6975201,7599151,0.6813178141645295,0.933445056260474,0.8733093187494672,0.8713047962891111
9,255844,"[9, 5, 7, 6, 4, 10, 0, 1, 3]",19958,3999,7300944,7994001,0.7874531465772342,0.9573856835049078,0.9140930033224862,0.9165775772635588
10,337110,"[9, 5, 7, 6, 4, 10, 0, 1, 3, 8]",22307,4020,7368286,8078190,0.8801341487472875,0.9624132152262389,0.9225243583677712,0.9262305344813827
9,287110,"[9, 5, 7, 6, 4, 10, 0, 1, 8]",19617,3927,7060843,7708701,0.7739988163345828,0.9401484318889155,0.8840318709277257,0.8838655995200867
8,206144,"[9, 5, 7, 6, 4, 10, 0, 3]",17889,3986,7267561,7942105,0.7058196883014402,0.9542734019631315,0.9099133839842316,0.9106272765380936
