subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,6300,[9],2199,2199,2416701,2416701
2,17500,"[9, 5]",4553,2680,3433054,3589860
3,28794,"[9, 5, 7]",6938,2998,4162484,4492503
4,41144,"[9, 5, 7, 6]",9318,3195,4660855,5102415
5,65144,"[9, 5, 7, 6, 4]",11872,3416,5260734,5832820
6,95144,"[9, 5, 7, 6, 4, 2]",14910,3812,6554751,7263766
7,139144,"[9, 5, 7, 6, 4, 2, 10]",14910,3812,6554751,7263766
8,186144,"[9, 5, 7, 6, 4, 2, 10, 0]",18237,4085,7670115,8341570
9,235844,"[9, 5, 7, 6, 4, 2, 10, 0, 1]",20306,4096,7699165,8386560
10,285844,"[9, 5, 7, 6, 4, 2, 10, 0, 1, 3]",22996,4165,7944602,8671530
11,367110,"[9, 5, 7, 6, 4, 2, 10, 0, 1, 3, 8]",25345,4177,7987091,8721576
10,317110,"[9, 5, 7, 6, 4, 2, 10, 0, 1, 8]",22655,4114,7757004,8460441
9,236144,"[9, 5, 7, 6, 4, 2, 10, 0, 3]",20927,4159,7926928,8646561
10,317410,"[9, 5, 7, 6, 4, 2, 10, 0, 3, 8]",23276,4171,7969926,8696535
9,267410,"[9, 5, 7, 6, 4, 2, 10, 0, 8]",20586,4103,7728753,8415253
8,188844,"[9, 5, 7, 6, 4, 2, 10, 1]",16979,3834,6609888,7347861
9,238844,"[9, 5, 7, 6, 4, 2, 10, 1, 3]",19669,3948,6999478,7791378
10,320110,"[9, 5, 7, 6, 4, 2, 10, 1, 3, 8]",22018,3971,7080605,7882435
9,270110,"[9, 5, 7, 6, 4, 2, 10, 1, 8]",19328,3866,6718158,7471045
8,189144,"[9, 5, 7, 6, 4, 2, 10, 3]",17600,3935,6964209,7740145
9,270410,"[9, 5, 7, 6, 4, 2, 10, 3, 8]",19949,3960,7050402,7838820
8,220410,"[9, 5, 7, 6, 4, 2, 10, 8]",17259,3847,6670477,7397781
7,142144,"[9, 5, 7, 6, 4, 2, 0]",18237,4085,7670115,8341570
8,191844,"[9, 5, 7, 6, 4, 2, 0, 1]",20306,4096,7699165,8386560
9,241844,"[9, 5, 7, 6, 4, 2, 0, 1, 3]",22996,4165,7944602,8671530
10,323110,"[9, 5, 7, 6, 4, 2, 0, 1, 3, 8]",25345,4177,7987091,8721576
9,273110,"[9, 5, 7, 6, 4, 2, 0, 1, 8]",22655,4114,7757004,8460441
8,192144,"[9, 5, 7, 6, 4, 2, 0, 3]",20927,4159,7926928,8646561
9,273410,"[9, 5, 7, 6, 4, 2, 0, 3, 8]",23276,4171,7969926,8696535
8,223410,"[9, 5, 7, 6, 4, 2, 0, 8]",20586,4103,7728753,8415253
7,144844,"[9, 5, 7, 6, 4, 2, 1]",16979,3834,6609888,7347861
8,194844,"[9, 5, 7, 6, 4, 2, 1, 3]",19669,3948,6999478,7791378
