method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
MES,11,367110,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",25345,4177,7987091,8721576,1.0,1.0,1.0,1.0
AV,11,367110,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",25345,4177,7987091,8721576,1.0,1.0,1.0,1.0
greedy-AV/cost,11,367110,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",25345,4177,7987091,8721576,1.0,1.0,1.0,1.0
greedy-AV/cost^2,11,367110,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",25345,4177,7987091,8721576,1.0,1.0,1.0,1.0
greedy-CC,11,367110,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",25345,4177,7987091,8721576,1.0,1.0,1.0,1.0
greedy-PAV,11,367110,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",25345,4177,7987091,8721576,1.0,1.0,1.0,1.0
PAIRS-AV,11,367110,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]",25345,4177,7987091,8721576,1.0,1.0,1.0,1.0
PAIRS-CC,10,323110,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",25345,4177,7987091,8721576,1.0,1.0,1.0,1.0
CONS-AV,10,323110,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",25345,4177,7987091,8721576,1.0,1.0,1.0,1.0
CONS-CC,10,323110,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",25345,4177,7987091,8721576,1.0,1.0,1.0,1.0
