subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
3,104794,"[1, 4, 0]",787,641,111325,205120
4,112179,"[1, 4, 5, 3]",621,414,57088,85491
2,17200,"[1, 4]",433,366,51755,66795
3,81349,"[1, 4, 2]",620,541,69083,146070
3,64179,"[1, 4, 5]",478,380,52305,72010
2,52179,"[1, 5]",347,321,46116,51360
3,65200,"[1, 4, 3]",576,400,56542,79800
4,128328,"[1, 4, 5, 2]",665,555,69633,153735
1,5200,[1],302,302,45451,45451
4,151773,"[1, 4, 5, 0]",832,648,111711,209628
4,129349,"[1, 4, 3, 2]",763,575,73869,165025
3,139773,"[1, 5, 0]",701,605,106526,182710
1,12000,[4],131,131,8515,8515
3,116328,"[1, 5, 2]",534,499,63471,124251
4,152794,"[1, 4, 3, 0]",930,661,115227,218130
2,58979,"[4, 5]",176,150,9180,11175
3,100179,"[1, 5, 3]",490,403,54651,81003
2,53200,"[1, 3]",445,388,54008,75078
2,92794,"[1, 0]",656,594,106041,176121
2,60000,"[4, 3]",274,175,13817,15225
2,69349,"[1, 2]",489,480,62806,114960
2,111128,"[5, 2]",232,231,18381,26565
3,117349,"[1, 3, 2]",632,565,71355,159330
3,106979,"[4, 5, 3]",319,193,14475,18528
3,123128,"[4, 5, 2]",363,326,26516,52975
1,48000,[3],143,143,10153,10153
3,140794,"[1, 3, 0]",799,653,113167,212878
2,151743,"[2, 0]",541,376,66342,70500
1,46979,[5],45,45,990,990
2,94979,"[5, 3]",188,180,11115,16110
1,87594,[0],354,354,62481,62481
3,124149,"[4, 3, 2]",461,350,31145,61075
2,76149,"[4, 2]",318,307,25851,46971
1,64149,[2],187,187,17391,17391
3,146573,"[4, 5, 0]",530,425,69100,90100
2,134573,"[5, 0]",399,372,63120,69006
2,99594,"[4, 0]",485,416,68650,86320
3,147594,"[4, 3, 0]",628,442,72917,97461
2,135594,"[3, 0]",497,430,70423,92235
2,112149,"[3, 2]",330,321,27508,51360
