subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,50000,[1],394,394,77421,77421
3,224760,"[1, 3, 5]",1051,497,109780,123256
2,124760,"[1, 3]",735,461,97990,106030
4,361520,"[1, 3, 5, 4]",1392,526,120708,138075
3,261520,"[1, 3, 4]",1076,497,110796,123256
3,374510,"[1, 3, 2]",1120,526,122551,138075
4,474510,"[1, 3, 5, 2]",1436,548,130408,149878
4,836940,"[1, 3, 5, 0]",1447,565,136492,159330
5,611270,"[1, 3, 5, 4, 2]",1777,567,138486,160461
5,973700,"[1, 3, 5, 4, 0]",1788,584,144643,170236
5,1086690,"[1, 3, 5, 2, 0]",1832,591,148387,174345
4,511270,"[1, 3, 4, 2]",1461,548,131584,149878
6,1223450,"[1, 3, 5, 4, 2, 0]",2173,606,155248,183315
2,150000,"[1, 5]",710,454,94551,102831
5,1123450,"[1, 3, 4, 2, 0]",1857,590,149170,173755
4,873700,"[1, 3, 4, 0]",1472,566,137684,159895
2,186760,"[1, 4]",735,453,95770,102378
3,736940,"[1, 3, 0]",1131,543,128301,147153
3,286760,"[1, 5, 4]",1051,496,109007,122760
4,986690,"[1, 3, 2, 0]",1516,572,141360,163306
3,399750,"[1, 5, 2]",1095,524,121104,137026
2,662180,"[1, 0]",790,522,119853,135981
3,762180,"[1, 5, 0]",1106,548,129214,149878
4,536510,"[1, 5, 4, 2]",1436,551,131420,151525
2,299750,"[1, 2]",779,500,112560,124750
4,898940,"[1, 5, 4, 0]",1447,571,138753,162735
3,798940,"[1, 4, 0]",1131,551,131107,151525
3,436510,"[1, 4, 2]",1120,531,124091,140715
4,1011930,"[1, 5, 2, 0]",1491,576,142144,165600
3,311520,"[3, 5, 4]",998,479,99455,114481
5,1148690,"[1, 5, 4, 2, 0]",1832,595,150304,176715
4,1048690,"[1, 4, 2, 0]",1516,579,144077,167331
2,174760,"[3, 5]",657,422,80245,88831
1,74760,[3],341,341,57970,57970
1,100000,[5],316,316,49770,49770
2,211520,"[3, 4]",682,429,84062,91806
3,424510,"[3, 5, 2]",1042,494,107241,121771
3,936690,"[3, 2, 0]",1122,500,114066,124750
2,324510,"[3, 2]",726,447,93109,99681
2,686940,"[3, 0]",737,450,95139,101025
3,786940,"[3, 5, 0]",1053,504,111150,126756
2,236760,"[5, 4]",657,419,79537,87571
5,1173450,"[3, 5, 4, 2, 0]",1779,572,138909,163306
4,923700,"[3, 5, 4, 0]",1394,542,125530,146611
3,461270,"[3, 4, 2]",1067,502,111248,125751
4,1036690,"[3, 5, 2, 0]",1438,543,127109,147153
1,612180,[0],396,396,78210,78210
1,136760,[4],341,341,57970,57970
3,911930,"[1, 2, 0]",1175,556,134724,154290
3,848940,"[5, 4, 0]",1053,521,116692,135460
1,249750,[2],385,385,73920,73920
3,823700,"[3, 4, 0]",1078,511,114805,130305
4,1098690,"[5, 4, 2, 0]",1438,556,131898,154290
2,712180,"[5, 0]",712,466,97845,108345
2,349750,"[5, 2]",701,444,90794,98346
2,748940,"[4, 0]",737,485,104554,117370
4,561270,"[3, 5, 4, 2]",1383,531,121176,140715
4,1073450,"[3, 4, 2, 0]",1463,547,130054,149331
3,486510,"[5, 4, 2]",1042,502,109986,125751
3,961930,"[5, 2, 0]",1097,513,116432,131328
3,998690,"[4, 2, 0]",1122,529,122413,139656
2,386510,"[4, 2]",726,468,98737,109278
2,861930,"[2, 0]",781,463,101727,106953
