subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,18000,[4],304,304,46056,46056
2,134280,"[4, 2]",737,496,110664,122760
2,75340,"[4, 1]",772,509,120881,129286
4,386620,"[4, 1, 2, 3]",1626,729,204849,265356
3,329280,"[4, 2, 3]",1158,596,148825,177310
3,191620,"[4, 1, 2]",1205,652,172896,212226
3,270340,"[4, 1, 3]",1193,654,171733,213531
1,57340,[1],468,468,109278,109278
3,416540,"[4, 1, 0]",1396,709,228146,250986
4,532820,"[4, 1, 2, 0]",1829,785,260451,307720
2,359200,"[4, 0]",928,675,208554,227475
3,635571,"[4, 1, 5]",987,693,143421,239778
2,213000,"[4, 3]",725,505,110376,127260
2,578231,"[4, 5]",519,499,68871,124251
4,751851,"[4, 1, 2, 5]",1420,823,195007,338253
1,116280,[2],433,433,93528,93528
2,173620,"[1, 2]",901,619,163185,191271
4,670480,"[4, 2, 3, 0]",1782,826,270646,340725
4,611540,"[4, 1, 3, 0]",1817,793,260409,314028
2,311280,"[2, 3]",854,544,134043,147696
3,694511,"[4, 2, 5]",952,669,132852,223446
3,514820,"[1, 2, 0]",1525,759,252675,287661
2,252340,"[1, 3]",889,620,161642,191890
2,398540,"[1, 0]",1092,683,220218,232903
5,727820,"[4, 1, 2, 3, 0]",2250,844,285054,355746
3,593540,"[1, 3, 0]",1513,767,252488,293761
2,617571,"[1, 5]",683,652,131818,212226
3,475480,"[4, 2, 0]",1361,765,245367,292230
3,554200,"[4, 3, 0]",1349,765,242460,292230
3,368620,"[1, 2, 3]",1322,698,195620,243253
4,709820,"[1, 2, 3, 0]",1946,818,277280,334153
3,733851,"[1, 2, 5]",1116,790,185296,311655
3,652480,"[2, 3, 0]",1478,794,260868,314821
2,755231,"[3, 5]",636,584,110089,170236
2,536200,"[3, 0]",1045,715,228501,255255
1,560231,[5],215,215,23005,23005
1,195000,[3],421,421,88410,88410
1,341200,[0],624,624,194376,194376
2,457480,"[2, 0]",1057,733,235578,268278
2,676511,"[2, 5]",648,608,115753,184528
