subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,14000,[2],211,211,22155,22155
2,28680,"[2, 9]",352,254,27272,32131
4,58680,"[2, 9, 4, 7]",752,336,45331,56280
3,43680,"[2, 9, 4]",562,315,39511,49455
5,78680,"[2, 9, 4, 7, 3]",963,355,50818,62835
8,164167,"[2, 9, 4, 7, 3, 6, 8, 5]",1537,369,56582,67896
6,102663,"[2, 9, 4, 7, 3, 6]",1160,359,52995,64261
7,129167,"[2, 9, 4, 7, 3, 6, 8]",1335,363,54538,65703
7,367663,"[2, 9, 4, 7, 3, 6, 0]",1400,412,67205,84666
8,337663,"[2, 9, 4, 7, 3, 6, 5, 1]",1576,437,69024,95266
8,362080,"[2, 9, 4, 7, 3, 5, 10, 1]",1506,439,68677,96141
8,329167,"[2, 9, 4, 7, 3, 6, 8, 1]",1549,436,68487,94830
8,394167,"[2, 9, 4, 7, 3, 6, 8, 0]",1575,415,68398,85905
9,212567,"[2, 9, 4, 7, 3, 6, 8, 5, 10]",1664,376,57930,70500
8,177567,"[2, 9, 4, 7, 3, 6, 8, 10]",1462,372,56071,69006
7,302663,"[2, 9, 4, 7, 3, 6, 1]",1374,433,67112,93528
9,377567,"[2, 9, 4, 7, 3, 6, 8, 10, 1]",1676,441,69706,97020
6,105184,"[2, 9, 4, 7, 3, 8]",1138,359,52639,64261
8,186063,"[2, 9, 4, 7, 3, 6, 5, 10]",1489,373,56528,69378
9,364167,"[2, 9, 4, 7, 3, 6, 8, 5, 1]",1751,440,70347,96580
7,137663,"[2, 9, 4, 7, 3, 6, 5]",1362,365,55097,66430
7,140184,"[2, 9, 4, 7, 3, 8, 5]",1340,365,54942,66430
7,151063,"[2, 9, 4, 7, 3, 6, 10]",1287,369,54619,67896
8,351063,"[2, 9, 4, 7, 3, 6, 10, 1]",1501,438,68377,95703
9,386063,"[2, 9, 4, 7, 3, 6, 5, 10, 1]",1703,442,70187,97461
7,153584,"[2, 9, 4, 7, 3, 8, 10]",1265,369,54429,67896
8,188584,"[2, 9, 4, 7, 3, 8, 5, 10]",1467,373,56508,69378
7,370184,"[2, 9, 4, 7, 3, 8, 0]",1378,412,66966,84666
8,353584,"[2, 9, 4, 7, 3, 8, 10, 1]",1479,438,68146,95703
9,388584,"[2, 9, 4, 7, 3, 8, 5, 10, 1]",1681,442,70132,97461
7,162080,"[2, 9, 4, 7, 3, 5, 10]",1292,370,54913,68265
6,113680,"[2, 9, 4, 7, 3, 5]",1165,361,53235,64980
7,305184,"[2, 9, 4, 7, 3, 8, 1]",1352,433,66730,93528
8,340184,"[2, 9, 4, 7, 3, 8, 5, 1]",1554,437,68849,95266
6,127080,"[2, 9, 4, 7, 3, 10]",1090,366,52740,66795
7,378680,"[2, 9, 4, 7, 3, 5, 0]",1405,412,67042,84666
6,343680,"[2, 9, 4, 7, 3, 0]",1203,409,65554,83436
7,392080,"[2, 9, 4, 7, 3, 10, 0]",1330,420,67304,87990
7,313680,"[2, 9, 4, 7, 3, 5, 1]",1379,434,67336,93961
6,278680,"[2, 9, 4, 7, 3, 1]",1177,430,65109,92235
7,327080,"[2, 9, 4, 7, 3, 10, 1]",1304,435,66603,94395
5,82663,"[2, 9, 4, 7, 6]",949,347,48714,60031
7,144167,"[2, 9, 4, 7, 6, 8, 5]",1326,361,53830,64980
5,85184,"[2, 9, 4, 7, 8]",927,342,47824,58311
6,109167,"[2, 9, 4, 7, 6, 8]",1124,352,50684,61776
7,309167,"[2, 9, 4, 7, 6, 8, 1]",1338,427,64838,90951
7,157567,"[2, 9, 4, 7, 6, 8, 10]",1251,361,52537,64980
6,282663,"[2, 9, 4, 7, 6, 1]",1163,423,63066,89253
9,392567,"[2, 9, 4, 7, 6, 8, 5, 10, 1]",1667,438,69057,95703
8,357567,"[2, 9, 4, 7, 6, 8, 10, 1]",1465,432,66375,93096
8,366063,"[2, 9, 4, 7, 6, 5, 10, 1]",1492,435,67579,94395
7,166063,"[2, 9, 4, 7, 6, 5, 10]",1278,365,53774,66430
6,131063,"[2, 9, 4, 7, 6, 10]",1076,358,50731,63903
8,344167,"[2, 9, 4, 7, 6, 8, 5, 1]",1540,433,67724,93528
7,317663,"[2, 9, 4, 7, 6, 5, 1]",1365,430,66168,92235
8,192567,"[2, 9, 4, 7, 6, 8, 5, 10]",1453,368,55388,67528
6,117663,"[2, 9, 4, 7, 6, 5]",1151,357,52091,63546
6,347663,"[2, 9, 4, 7, 6, 0]",1189,410,65043,83845
7,374167,"[2, 9, 4, 7, 6, 8, 0]",1364,413,66468,85078
7,382663,"[2, 9, 4, 7, 6, 5, 0]",1391,414,67063,85491
7,331063,"[2, 9, 4, 7, 6, 10, 1]",1290,429,64720,91806
7,396063,"[2, 9, 4, 7, 6, 10, 0]",1316,420,66674,87990
7,168584,"[2, 9, 4, 7, 8, 5, 10]",1256,363,53447,65703
6,120184,"[2, 9, 4, 7, 8, 5]",1129,354,51571,62481
7,320184,"[2, 9, 4, 7, 8, 5, 1]",1343,427,65614,90951
7,385184,"[2, 9, 4, 7, 8, 5, 0]",1369,414,66734,85491
8,368584,"[2, 9, 4, 7, 8, 5, 10, 1]",1470,433,67199,93528
6,285184,"[2, 9, 4, 7, 8, 1]",1141,418,62127,87153
7,333584,"[2, 9, 4, 7, 8, 10, 1]",1268,427,64063,90951
7,398584,"[2, 9, 4, 7, 8, 10, 0]",1294,420,66451,87990
5,93680,"[2, 9, 4, 7, 5]",954,349,49409,60726
6,133584,"[2, 9, 4, 7, 8, 10]",1054,356,50142,63190
6,293680,"[2, 9, 4, 7, 5, 1]",1168,424,63717,89676
5,107080,"[2, 9, 4, 7, 10]",879,353,47906,62128
7,342080,"[2, 9, 4, 7, 5, 10, 1]",1295,430,65421,92235
6,350184,"[2, 9, 4, 7, 8, 0]",1167,410,64578,83845
5,87663,"[2, 9, 4, 3, 6]",970,346,49008,59685
6,372080,"[2, 9, 4, 7, 10, 0]",1119,418,64837,87153
5,258680,"[2, 9, 4, 7, 1]",966,414,59914,85491
4,63680,"[2, 9, 4, 3]",773,338,46124,56953
6,142080,"[2, 9, 4, 7, 5, 10]",1081,360,51491,64620
5,323680,"[2, 9, 4, 7, 0]",992,406,62748,82215
6,307080,"[2, 9, 4, 7, 10, 1]",1093,424,62020,89676
6,358680,"[2, 9, 4, 7, 5, 0]",1194,410,65171,83845
6,114167,"[2, 9, 4, 3, 6, 8]",1145,351,50835,61425
7,314167,"[2, 9, 4, 3, 6, 8, 1]",1359,424,64911,89676
7,149167,"[2, 9, 4, 3, 6, 8, 5]",1347,359,53442,64261
7,162567,"[2, 9, 4, 3, 6, 8, 10]",1272,360,52578,64620
8,371063,"[2, 9, 4, 3, 6, 5, 10, 1]",1513,432,67098,93096
7,379167,"[2, 9, 4, 3, 6, 8, 0]",1385,411,66128,84255
6,136063,"[2, 9, 4, 3, 6, 10]",1097,356,50851,63190
8,197567,"[2, 9, 4, 3, 6, 8, 5, 10]",1474,366,54924,66795
6,287663,"[2, 9, 4, 3, 6, 1]",1184,421,63300,88410
6,352663,"[2, 9, 4, 3, 6, 0]",1210,407,64747,82621
7,387663,"[2, 9, 4, 3, 6, 5, 0]",1412,410,66271,83845
6,122663,"[2, 9, 4, 3, 6, 5]",1172,354,51695,62481
9,397567,"[2, 9, 4, 3, 6, 8, 5, 10, 1]",1688,435,68590,94395
7,336063,"[2, 9, 4, 3, 6, 10, 1]",1311,426,64781,90525
8,362567,"[2, 9, 4, 3, 6, 8, 10, 1]",1486,429,66337,91806
8,349167,"[2, 9, 4, 3, 6, 8, 5, 1]",1561,430,67334,92235
5,90184,"[2, 9, 4, 3, 8]",948,344,48361,58996
7,171063,"[2, 9, 4, 3, 6, 5, 10]",1299,362,53267,65341
7,322663,"[2, 9, 4, 3, 6, 5, 1]",1386,427,65797,90951
7,173584,"[2, 9, 4, 3, 8, 5, 10]",1277,363,53228,65703
6,125184,"[2, 9, 4, 3, 8, 5]",1150,354,51446,62481
8,373584,"[2, 9, 4, 3, 8, 5, 10, 1]",1491,432,67010,93096
7,325184,"[2, 9, 4, 3, 8, 5, 1]",1364,426,65520,90525
6,355184,"[2, 9, 4, 3, 8, 0]",1188,408,64316,83028
7,347080,"[2, 9, 4, 3, 5, 10, 1]",1316,429,65297,91806
7,390184,"[2, 9, 4, 3, 8, 5, 0]",1390,411,66016,84255
6,290184,"[2, 9, 4, 3, 8, 1]",1162,418,62619,87153
6,138584,"[2, 9, 4, 3, 8, 10]",1075,356,50480,63190
6,377080,"[2, 9, 4, 3, 10, 0]",1140,415,64595,85905
5,98680,"[2, 9, 4, 3, 5]",975,349,49409,60726
6,363680,"[2, 9, 4, 3, 5, 0]",1215,407,64486,82621
5,112080,"[2, 9, 4, 3, 10]",900,352,48416,61776
4,67663,"[2, 9, 4, 6]",759,330,43776,54285
6,312080,"[2, 9, 4, 3, 10, 1]",1114,422,62494,88831
7,338584,"[2, 9, 4, 3, 8, 10, 1]",1289,425,64355,90100
6,298680,"[2, 9, 4, 3, 5, 1]",1189,423,63734,89253
6,147080,"[2, 9, 4, 3, 5, 10]",1102,359,51318,64261
5,94167,"[2, 9, 4, 6, 8]",934,337,46170,56616
5,263680,"[2, 9, 4, 3, 1]",987,414,60639,85491
5,328680,"[2, 9, 4, 3, 0]",1013,403,62606,81003
6,129167,"[2, 9, 4, 6, 8, 5]",1136,349,50249,60726
6,142567,"[2, 9, 4, 6, 8, 10]",1061,347,48458,60031
8,377567,"[2, 9, 4, 6, 8, 5, 10, 1]",1477,427,65868,90951
5,102663,"[2, 9, 4, 6, 5]",961,344,48164,58996
6,359167,"[2, 9, 4, 6, 8, 0]",1174,409,63918,83436
6,294167,"[2, 9, 4, 6, 8, 1]",1148,412,60456,84666
7,342567,"[2, 9, 4, 6, 8, 10, 1]",1275,418,62420,87153
7,329167,"[2, 9, 4, 6, 8, 5, 1]",1350,421,64270,88410
6,151063,"[2, 9, 4, 6, 5, 10]",1088,353,50149,62128
6,367663,"[2, 9, 4, 6, 5, 0]",1201,409,64649,83436
6,316063,"[2, 9, 4, 6, 10, 1]",1100,414,60425,85491
7,394167,"[2, 9, 4, 6, 8, 5, 0]",1376,413,66108,85078
7,177567,"[2, 9, 4, 6, 8, 5, 10]",1263,357,52075,63546
6,305184,"[2, 9, 4, 8, 5, 1]",1153,414,61761,85491
4,70184,"[2, 9, 4, 8]",737,324,42615,52326
6,302663,"[2, 9, 4, 6, 5, 1]",1175,418,62416,87153
5,267663,"[2, 9, 4, 6, 1]",973,407,58308,82621
5,105184,"[2, 9, 4, 8, 5]",939,341,47551,57970
5,116063,"[2, 9, 4, 6, 10]",886,342,46264,58311
7,351063,"[2, 9, 4, 6, 5, 10, 1]",1302,424,64126,89676
5,332663,"[2, 9, 4, 6, 0]",999,405,62236,81810
4,78680,"[2, 9, 4, 5]",764,335,44975,55945
7,353584,"[2, 9, 4, 8, 5, 10, 1]",1280,422,63713,88831
6,381063,"[2, 9, 4, 6, 10, 0]",1126,415,64108,85905
6,153584,"[2, 9, 4, 8, 5, 10]",1066,352,49803,61776
5,118584,"[2, 9, 4, 8, 10]",864,341,45513,57970
4,92080,"[2, 9, 4, 10]",689,336,42734,56280
5,335184,"[2, 9, 4, 8, 0]",977,406,61615,82215
4,243680,"[2, 9, 4, 1]",776,394,54323,77421
6,327080,"[2, 9, 4, 5, 10, 1]",1105,419,61620,87571
6,370184,"[2, 9, 4, 8, 5, 0]",1179,410,64247,83845
6,392080,"[2, 9, 4, 5, 10, 0]",1131,415,64380,85905
5,270184,"[2, 9, 4, 8, 1]",951,400,57090,79800
5,278680,"[2, 9, 4, 5, 1]",978,411,59507,84255
5,357080,"[2, 9, 4, 10, 0]",929,413,61848,85078
5,127080,"[2, 9, 4, 5, 10]",891,348,47475,60378
6,383584,"[2, 9, 4, 8, 10, 0]",1104,416,63819,86320
6,318584,"[2, 9, 4, 8, 10, 1]",1078,412,59592,84666
4,308680,"[2, 9, 4, 0]",802,400,59363,79800
5,343680,"[2, 9, 4, 5, 0]",1004,405,62426,81810
3,43680,"[2, 9, 7]",542,296,35609,43660
5,292080,"[2, 9, 4, 10, 1]",903,408,57063,83028
4,63680,"[2, 9, 7, 3]",753,320,42374,51040
5,87663,"[2, 9, 7, 3, 6]",950,333,46475,55278
6,114167,"[2, 9, 7, 3, 6, 8]",1125,341,48642,57970
5,90184,"[2, 9, 7, 3, 8]",928,330,45270,54285
7,162567,"[2, 9, 7, 3, 6, 8, 10]",1252,353,50544,62128
