subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
4,341777,"[2, 4, 3, 7]",2168,1360,555783,924120
2,96777,"[2, 4]",1315,987,379077,486591
3,162777,"[2, 4, 3]",1973,1341,550774,898470
5,1133624,"[2, 4, 6, 5, 1]",2794,1368,688495,935028
1,37687,[2],690,690,237705,237705
4,402777,"[2, 4, 3, 6]",2241,1385,563032,958420
3,275777,"[2, 4, 7]",1510,1015,385216,514605
5,581777,"[2, 4, 3, 7, 6]",2436,1403,567565,983503
4,515777,"[2, 4, 7, 6]",1778,1062,397718,563391
4,512777,"[2, 4, 3, 5]",2281,1378,563165,948753
5,752777,"[2, 4, 3, 6, 5]",2549,1420,575073,1007490
5,788624,"[2, 4, 3, 7, 1]",3071,1471,803548,1081185
5,691777,"[2, 4, 3, 7, 5]",2476,1392,567628,968136
5,1151287,"[2, 4, 3, 7, 0]",3200,1506,862801,1133265
4,625777,"[2, 4, 7, 5]",1818,1055,399051,555985
6,1028624,"[2, 4, 3, 7, 6, 1]",3339,1513,815151,1143828
4,972287,"[2, 4, 3, 0]",3005,1489,858192,1107816
4,609624,"[2, 4, 3, 1]",2876,1455,798869,1057785
4,1085287,"[2, 4, 7, 0]",2542,1346,741835,905185
4,686777,"[2, 4, 6, 5]",1891,1080,406226,582660
5,959624,"[2, 4, 3, 5, 1]",3184,1487,810273,1104841
6,931777,"[2, 4, 3, 7, 6, 5]",2744,1433,579076,1026028
6,1138624,"[2, 4, 3, 7, 5, 1]",3379,1499,814500,1122751
4,722624,"[2, 4, 7, 1]",2413,1305,668400,850860
5,1212287,"[2, 4, 3, 6, 0]",3273,1529,869912,1168156
5,849624,"[2, 4, 3, 6, 1]",3144,1498,810946,1121253
5,865777,"[2, 4, 7, 6, 5]",2086,1099,411139,603351
5,1322287,"[2, 4, 3, 5, 0]",3313,1514,869088,1145341
5,962624,"[2, 4, 7, 6, 1]",2681,1350,680641,910575
5,1072624,"[2, 4, 7, 5, 1]",2721,1339,681039,895791
6,1199624,"[2, 4, 3, 6, 5, 1]",3452,1529,822137,1168156
6,1312624,"[2, 4, 7, 6, 5, 1]",2989,1383,693071,955653
3,446777,"[2, 4, 5]",1623,1033,393583,533028
4,783624,"[2, 4, 6, 1]",2486,1330,675575,883785
