subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,5940,[1],131,131,8515,8515
2,15940,"[1, 4]",197,144,9282,10296
3,35940,"[1, 4, 0]",336,180,13912,16110
2,25940,"[1, 0]",270,171,13255,14535
3,125940,"[1, 4, 2]",326,210,15761,21945
3,134940,"[1, 0, 3]",395,251,20092,31375
3,124940,"[1, 4, 3]",322,226,16269,25425
3,135940,"[1, 0, 2]",399,215,18357,23005
1,10000,[4],66,66,2145,2145
2,114940,"[1, 3]",256,218,15562,23653
2,115940,"[1, 2]",260,201,15060,20100
2,119000,"[4, 3]",191,176,9790,15400
2,120000,"[4, 2]",195,176,10230,15400
1,20000,[0],139,139,9591,9591
2,30000,"[4, 0]",205,175,11301,15225
1,110000,[2],129,129,8256,8256
2,130000,"[0, 2]",268,199,15501,19701
1,109000,[3],125,125,7750,7750
2,129000,"[0, 3]",264,230,16780,26335
