subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
2,24225,"[4, 1]",191,131,7495,8515
3,42260,"[4, 1, 3]",277,136,8230,9180
1,10500,[4],80,80,3160,3160
4,71085,"[4, 1, 3, 6]",341,139,8609,9591
5,111085,"[4, 1, 3, 6, 5]",417,158,10024,12403
4,82260,"[4, 1, 3, 5]",353,156,9687,12090
5,127260,"[4, 1, 3, 5, 0]",474,192,13961,18336
5,116085,"[4, 1, 3, 6, 0]",462,186,13456,17205
3,69225,"[4, 1, 0]",312,182,12508,16471
3,53050,"[4, 1, 6]",255,135,7921,9045
4,107260,"[4, 1, 3, 2]",375,162,10585,13041
4,93050,"[4, 1, 6, 5]",331,156,9439,12090
4,87260,"[4, 1, 3, 0]",398,184,13134,16836
4,98050,"[4, 1, 6, 0]",376,184,12871,16836
4,118050,"[4, 1, 6, 2]",353,162,10429,13041
3,68535,"[4, 3, 5]",242,151,7680,11325
3,73535,"[4, 3, 0]",287,183,11442,16653
4,97360,"[4, 3, 6, 5]",306,155,8432,11935
4,129225,"[4, 1, 5, 2]",365,180,11554,16110
3,89225,"[4, 1, 2]",289,158,10003,12403
4,134225,"[4, 1, 0, 2]",410,194,14607,18721
2,28535,"[4, 3]",166,125,5995,7750
3,64225,"[4, 1, 5]",267,154,9058,11781
3,104325,"[4, 6, 2]",242,159,8619,12561
3,84325,"[4, 6, 0]",265,183,10552,16653
4,109225,"[4, 1, 5, 0]",388,191,13388,18145
2,50500,"[4, 5]",156,110,4975,5995
4,122360,"[4, 3, 6, 2]",328,164,10135,13366
1,13725,[1],111,111,6105,6105
3,120500,"[4, 0, 2]",299,193,12613,18528
3,95500,"[4, 5, 0]",277,153,9752,11628
2,75500,"[4, 2]",178,147,7448,10731
3,115500,"[4, 5, 2]",254,175,9246,15225
4,113535,"[4, 3, 5, 0]",363,192,12369,18336
4,102360,"[4, 3, 6, 0]",351,185,12141,17020
3,57360,"[4, 3, 6]",230,135,6814,9045
3,79325,"[4, 6, 5]",220,152,6816,11476
2,31760,"[1, 3]",197,124,7132,7626
3,60585,"[1, 3, 6]",261,131,7561,8515
3,71760,"[1, 3, 5]",273,150,8907,11175
3,93535,"[4, 3, 2]",264,154,9390,11781
3,123725,"[1, 0, 2]",330,192,14056,18336
4,125585,"[1, 3, 6, 2]",359,160,10072,12720
4,105585,"[1, 3, 6, 0]",382,183,12950,16653
2,42550,"[1, 6]",175,119,6581,7021
3,76760,"[1, 3, 0]",318,181,12608,16290
2,39325,"[4, 6]",144,129,5071,8256
3,96760,"[1, 3, 2]",295,153,9643,11628
1,18035,[3],86,86,3655,3655
3,82550,"[1, 6, 5]",251,149,8588,11026
4,127550,"[1, 6, 5, 0]",372,190,13312,17955
4,133535,"[4, 3, 5, 2]",340,178,11058,15753
3,107550,"[1, 6, 2]",273,152,9254,11476
2,53725,"[1, 5]",187,147,8175,10731
2,58725,"[1, 0]",232,176,11825,15400
2,55500,"[4, 0]",201,143,8767,10153
2,46860,"[3, 6]",150,102,4543,5151
3,87550,"[1, 6, 0]",296,178,12208,15753
2,78725,"[1, 2]",209,144,8778,10296
3,86860,"[3, 6, 5]",226,133,6713,8778
3,118725,"[1, 5, 2]",285,176,10818,15400
4,124325,"[4, 6, 5, 0]",341,193,11516,18528
3,103035,"[3, 5, 0]",283,187,11574,17391
3,111860,"[3, 6, 2]",248,155,8318,11935
3,123035,"[3, 5, 2]",260,175,9718,15225
3,98725,"[1, 5, 0]",308,188,12947,17578
2,63035,"[3, 0]",207,172,10320,14706
4,131860,"[3, 6, 5, 0]",347,191,12282,18145
3,128035,"[3, 0, 2]",305,193,13575,18528
2,58035,"[3, 5]",162,127,5910,8001
3,91860,"[3, 6, 0]",271,176,11058,15400
4,100585,"[1, 3, 6, 5]",337,152,9276,11476
4,116760,"[1, 3, 5, 0]",394,189,13570,17766
2,68825,"[6, 5]",140,126,4775,7875
1,40000,[5],76,76,2850,2850
3,113825,"[6, 5, 0]",261,187,10593,17391
2,73825,"[6, 0]",185,166,9105,13695
2,93825,"[6, 2]",162,123,6028,7503
1,28825,[6],64,64,2016,2016
2,85000,"[5, 0]",197,145,8784,10440
1,65000,[2],98,98,4753,4753
2,105000,"[5, 2]",174,164,7558,13366
2,110000,"[0, 2]",219,184,11418,16836
2,83035,"[3, 2]",184,141,7505,9870
3,133825,"[6, 5, 2]",238,175,8742,15225
1,45000,[0],121,121,7260,7260
