subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,1500,[1],327,327,53301,53301
3,9500,"[1, 3, 2]",898,394,72634,77421
2,4500,"[1, 3]",602,367,63481,67161
4,16856,"[1, 3, 2, 5]",1129,409,76304,83436
5,25356,"[1, 3, 2, 5, 10]",1294,417,77651,86736
8,234556,"[1, 3, 2, 5, 10, 7, 8, 4]",1880,447,85893,99681
9,351276,"[1, 3, 2, 5, 10, 7, 8, 0, 4]",2248,544,119256,147696
6,40356,"[1, 3, 2, 5, 10, 7]",1473,421,78734,88410
9,385906,"[1, 3, 2, 5, 10, 7, 8, 0, 9]",2185,534,116800,142311
9,384076,"[1, 3, 2, 5, 10, 7, 8, 0, 11]",2154,561,118849,157080
7,67356,"[1, 3, 2, 5, 10, 7, 8]",1646,423,79672,89253
9,434356,"[1, 3, 2, 5, 10, 7, 8, 4, 6]",2089,469,91421,109746
8,184076,"[1, 3, 2, 5, 10, 7, 8, 0]",2014,523,113925,136503
7,157076,"[1, 3, 2, 5, 10, 7, 0]",1841,522,113363,135981
9,383876,"[1, 3, 2, 5, 10, 7, 8, 0, 6]",2223,545,119155,148240
9,436386,"[1, 3, 2, 5, 10, 7, 8, 4, 9]",2051,464,89869,107416
9,434556,"[1, 3, 2, 5, 10, 7, 8, 4, 11]",2020,488,91043,118828
9,468986,"[1, 3, 2, 5, 10, 7, 8, 6, 9]",2026,459,88900,105111
8,267156,"[1, 3, 2, 5, 10, 7, 8, 6]",1855,446,85329,99235
8,267356,"[1, 3, 2, 5, 10, 7, 8, 11]",1786,465,84909,107880
9,467156,"[1, 3, 2, 5, 10, 7, 8, 6, 11]",1995,486,90519,117855
8,269186,"[1, 3, 2, 5, 10, 7, 8, 9]",1817,442,83803,97461
9,469186,"[1, 3, 2, 5, 10, 7, 8, 11, 9]",1957,481,88953,115440
9,526106,"[1, 3, 2, 5, 10, 7, 0, 4, 9]",2246,553,121559,152628
8,324276,"[1, 3, 2, 5, 10, 7, 0, 4]",2075,543,118756,147153
8,409386,"[1, 3, 2, 5, 10, 7, 4, 9]",1878,462,89169,106491
7,242186,"[1, 3, 2, 5, 10, 7, 9]",1644,440,82899,96580
6,52356,"[1, 3, 2, 5, 10, 8]",1467,420,78684,87990
7,240156,"[1, 3, 2, 5, 10, 7, 6]",1682,445,84532,98790
7,240356,"[1, 3, 2, 5, 10, 7, 11]",1613,463,83971,106953
8,441986,"[1, 3, 2, 5, 10, 7, 6, 9]",1853,458,88137,104653
8,407556,"[1, 3, 2, 5, 10, 7, 4, 11]",1847,486,90337,117855
8,440156,"[1, 3, 2, 5, 10, 7, 6, 11]",1822,485,89722,117370
7,169076,"[1, 3, 2, 5, 10, 8, 0]",1835,520,113051,134940
8,368876,"[1, 3, 2, 5, 10, 8, 0, 6]",2044,542,118421,146611
8,442186,"[1, 3, 2, 5, 10, 7, 11, 9]",1784,479,88049,114481
8,407356,"[1, 3, 2, 5, 10, 7, 4, 6]",1916,468,90814,109278
8,357076,"[1, 3, 2, 5, 10, 7, 0, 11]",1981,560,118287,156520
8,356876,"[1, 3, 2, 5, 10, 7, 0, 6]",2050,545,118687,148240
9,524076,"[1, 3, 2, 5, 10, 7, 0, 4, 6]",2284,565,123984,159330
9,524276,"[1, 3, 2, 5, 10, 7, 0, 4, 11]",2215,581,123633,168490
8,358906,"[1, 3, 2, 5, 10, 7, 0, 9]",2012,533,116244,141778
8,336276,"[1, 3, 2, 5, 10, 8, 0, 4]",2069,542,118486,146611
8,419356,"[1, 3, 2, 5, 10, 8, 4, 6]",1910,467,90743,108811
8,419556,"[1, 3, 2, 5, 10, 8, 4, 11]",1841,486,90257,117855
7,219556,"[1, 3, 2, 5, 10, 8, 4]",1701,445,85076,98790
8,369076,"[1, 3, 2, 5, 10, 8, 0, 11]",1975,559,118028,155961
8,370906,"[1, 3, 2, 5, 10, 8, 0, 9]",2006,533,116084,141778
7,252356,"[1, 3, 2, 5, 10, 8, 11]",1607,463,83974,106953
7,207556,"[1, 3, 2, 5, 10, 7, 4]",1707,445,85187,98790
8,509076,"[1, 3, 2, 5, 10, 0, 4, 6]",2105,563,123338,158203
8,453986,"[1, 3, 2, 5, 10, 8, 6, 9]",1847,458,88224,104653
7,252156,"[1, 3, 2, 5, 10, 8, 6]",1676,443,84508,97903
8,421386,"[1, 3, 2, 5, 10, 8, 4, 9]",1872,464,89210,107416
8,511106,"[1, 3, 2, 5, 10, 0, 4, 9]",2067,553,120910,152628
6,142076,"[1, 3, 2, 5, 10, 0]",1662,519,112432,134421
7,341876,"[1, 3, 2, 5, 10, 0, 6]",1871,542,117932,146611
8,454186,"[1, 3, 2, 5, 10, 8, 11, 9]",1778,481,88176,115440
7,254186,"[1, 3, 2, 5, 10, 8, 9]",1638,441,82973,97020
8,452156,"[1, 3, 2, 5, 10, 8, 6, 11]",1816,484,89751,116886
8,509276,"[1, 3, 2, 5, 10, 0, 4, 11]",2036,579,122858,167331
7,309276,"[1, 3, 2, 5, 10, 0, 4]",1896,541,117949,146070
6,225156,"[1, 3, 2, 5, 10, 6]",1503,442,83661,97461
7,392556,"[1, 3, 2, 5, 10, 4, 11]",1668,484,89486,116886
7,392356,"[1, 3, 2, 5, 10, 4, 6]",1737,466,90102,108345
7,427186,"[1, 3, 2, 5, 10, 11, 9]",1605,478,87178,114003
7,175576,"[1, 3, 2, 5, 7, 8, 0]",1849,522,113485,135981
6,192556,"[1, 3, 2, 5, 10, 4]",1528,443,84304,97903
5,31856,"[1, 3, 2, 5, 7]",1308,419,78136,87571
6,58856,"[1, 3, 2, 5, 7, 8]",1481,421,79089,88410
