subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,8000,[3],166,166,13695,13695
2,24500,"[3, 1]",358,201,19785,20100
3,61700,"[3, 1, 5]",479,205,20273,20910
4,108340,"[3, 1, 5, 2]",671,220,23220,24090
4,141700,"[3, 1, 5, 0]",754,341,48560,57970
4,151140,"[3, 1, 2, 0]",825,350,50668,61075
3,104500,"[3, 1, 0]",633,341,48523,57970
3,71140,"[3, 1, 2]",550,218,22956,23653
2,45200,"[3, 5]",287,184,15702,16836
4,245450,"[3, 1, 5, 4]",618,289,28389,41616
3,208250,"[3, 1, 4]",497,285,27901,40470
3,91840,"[3, 5, 2]",479,212,21158,22366
5,188340,"[3, 1, 5, 2, 0]",946,350,50703,61075
4,254890,"[3, 1, 2, 4]",689,298,30863,44253
3,100340,"[1, 5, 2]",505,214,22232,22791
2,54640,"[3, 2]",358,203,20096,20503
3,237450,"[1, 5, 4]",452,282,27086,39621
1,37200,[5],121,121,7260,7260
3,228950,"[3, 5, 4]",426,275,24294,37675
2,126640,"[2, 0]",467,337,47626,56616
1,16500,[1],192,192,18336,18336
1,46640,[2],192,192,18336,18336
2,83840,"[5, 2]",313,203,19601,20503
2,200250,"[1, 4]",331,277,26496,38226
3,134640,"[3, 2, 0]",633,342,48705,58311
2,88000,"[3, 0]",441,324,44584,52326
2,220950,"[5, 4]",260,255,16841,32385
2,96500,"[1, 0]",467,338,47755,56953
1,80000,[0],275,275,37675,37675
2,191750,"[3, 4]",305,260,22296,33670
3,238390,"[3, 2, 4]",497,286,28180,40755
3,125200,"[3, 5, 0]",562,329,45213,53956
2,230390,"[2, 4]",331,278,26549,38503
3,133700,"[1, 5, 0]",588,338,47795,56953
4,171840,"[3, 5, 2, 0]",754,347,49325,60031
2,63140,"[1, 2]",384,212,21966,22366
2,53700,"[1, 5]",313,197,18926,19306
3,246890,"[1, 2, 4]",523,292,29876,42486
1,183750,[4],139,139,9591,9591
3,143140,"[1, 2, 0]",659,348,50140,60378
2,117200,"[5, 0]",396,283,38607,39903
2,263750,"[0, 4]",414,348,45121,60378
4,180340,"[1, 5, 2, 0]",780,348,50177,60378
3,163840,"[5, 2, 0]",588,344,48449,58996
