subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,10000,[5],124,124,7626,7626
2,33000,"[5, 2]",291,175,14817,15225
3,73000,"[5, 2, 3]",441,196,17820,19110
5,183000,"[5, 2, 3, 1, 4]",770,209,20506,21736
6,288000,"[5, 2, 3, 1, 4, 6]",882,209,20524,21736
4,123000,"[5, 2, 3, 1]",623,208,20303,21528
5,228000,"[5, 2, 3, 1, 6]",735,208,20321,21528
6,354000,"[5, 2, 3, 1, 4, 0]",955,242,26288,29161
5,294000,"[5, 2, 3, 1, 0]",808,242,26209,29161
4,133000,"[5, 2, 3, 4]",588,200,18507,19900
6,399000,"[5, 2, 3, 1, 6, 0]",920,242,26218,29161
7,459000,"[5, 2, 3, 1, 4, 6, 0]",1067,242,26297,29161
5,238000,"[5, 2, 3, 4, 6]",700,200,18525,19900
4,178000,"[5, 2, 3, 6]",553,196,17844,19110
6,409000,"[5, 2, 3, 4, 6, 0]",885,237,24956,27966
5,349000,"[5, 2, 3, 6, 0]",738,234,24433,27261
4,244000,"[5, 2, 3, 0]",626,234,24421,27261
5,304000,"[5, 2, 3, 4, 0]",773,237,24947,27966
4,143000,"[5, 2, 1, 4]",620,192,18091,18336
3,93000,"[5, 2, 4]",438,180,15677,16110
5,248000,"[5, 2, 1, 4, 6]",732,195,18421,18915
6,419000,"[5, 2, 1, 4, 6, 0]",917,235,25158,27495
3,83000,"[5, 2, 1]",473,191,17863,18145
2,50000,"[5, 3]",274,166,13023,13695
4,254000,"[5, 2, 1, 0]",658,235,25034,27495
4,188000,"[5, 2, 1, 6]",585,194,18193,18721
5,331000,"[5, 3, 1, 4, 0]",788,238,25583,28203
3,204000,"[5, 2, 0]",476,227,23179,25651
3,100000,"[5, 3, 1]",456,204,19543,20706
4,309000,"[5, 2, 6, 0]",588,227,23211,25651
3,155000,"[5, 3, 6]",386,170,13487,14365
3,138000,"[5, 2, 6]",403,179,15255,15931
5,359000,"[5, 2, 1, 6, 0]",770,235,25058,27495
3,110000,"[5, 3, 4]",421,181,15270,16290
5,265000,"[5, 3, 1, 4, 6]",715,205,19811,20910
4,205000,"[5, 3, 1, 6]",568,204,19561,20706
4,264000,"[5, 2, 4, 0]",623,230,23737,26335
5,369000,"[5, 2, 4, 6, 0]",735,230,23761,26335
4,215000,"[5, 3, 4, 6]",533,181,15292,16290
4,271000,"[5, 3, 1, 0]",641,238,25470,28203
2,60000,"[5, 1]",306,185,16837,17020
5,314000,"[5, 2, 1, 4, 0]",805,235,25134,27495
4,281000,"[5, 3, 4, 0]",606,221,22156,24310
6,436000,"[5, 3, 1, 4, 6, 0]",900,238,25592,28203
4,198000,"[5, 2, 4, 6]",550,183,16008,16653
4,326000,"[5, 3, 6, 0]",571,215,21029,23005
3,120000,"[5, 1, 4]",453,188,17362,17578
5,376000,"[5, 3, 1, 6, 0]",753,238,25479,28203
3,165000,"[5, 1, 6]",418,188,17167,17578
5,386000,"[5, 3, 4, 6, 0]",718,221,22168,24310
4,225000,"[5, 1, 4, 6]",565,191,17692,18145
2,70000,"[5, 4]",271,157,11916,12246
4,291000,"[5, 1, 4, 0]",638,231,24419,26565
3,231000,"[5, 1, 0]",491,230,24158,26335
1,23000,[2],167,167,13861,13861
3,175000,"[5, 4, 6]",383,160,12260,12720
4,160000,"[5, 3, 1, 4]",603,205,19793,20910
2,115000,"[5, 6]",236,141,9377,9870
5,396000,"[5, 1, 4, 6, 0]",750,231,24443,26565
4,336000,"[5, 1, 6, 0]",603,230,24182,26335
3,241000,"[5, 4, 0]",456,212,20677,22366
2,63000,"[2, 3]",317,192,17286,18336
2,181000,"[5, 0]",309,200,18760,19900
3,221000,"[5, 3, 0]",459,212,20692,22366
4,346000,"[5, 4, 6, 0]",568,212,20705,22366
3,286000,"[5, 6, 0]",421,204,19250,20706
3,168000,"[2, 3, 6]",429,192,17310,18336
3,113000,"[2, 3, 1]",499,207,20162,21321
4,284000,"[2, 3, 1, 0]",684,241,26071,28920
3,123000,"[2, 3, 4]",464,198,18219,19503
2,73000,"[2, 1]",349,189,17612,17766
4,228000,"[2, 3, 4, 6]",576,198,18237,19503
4,173000,"[2, 3, 1, 4]",646,209,20487,21736
5,278000,"[2, 3, 1, 4, 6]",758,209,20505,21736
4,218000,"[2, 3, 1, 6]",611,207,20180,21321
1,40000,[3],150,150,11175,11175
5,389000,"[2, 3, 1, 6, 0]",796,241,26080,28920
4,294000,"[2, 3, 4, 0]",649,237,24882,27966
5,344000,"[2, 3, 1, 4, 0]",831,242,26271,29161
4,339000,"[2, 3, 6, 0]",614,233,24230,27028
3,234000,"[2, 3, 0]",502,233,24218,27028
3,133000,"[2, 1, 4]",496,192,18068,18336
5,399000,"[2, 3, 4, 6, 0]",761,237,24891,27966
2,83000,"[2, 4]",314,177,15276,15576
6,449000,"[2, 3, 1, 4, 6, 0]",943,242,26280,29161
2,128000,"[2, 6]",279,171,14299,14535
3,188000,"[2, 4, 6]",426,180,15607,16110
3,178000,"[2, 1, 6]",461,192,17942,18336
4,238000,"[2, 1, 4, 6]",608,195,18398,18915
3,254000,"[2, 4, 0]",499,229,23563,26106
2,194000,"[2, 0]",352,224,22753,24976
4,304000,"[2, 1, 4, 0]",681,235,25113,27495
3,244000,"[2, 1, 0]",534,233,24788,27028
3,299000,"[2, 6, 0]",464,224,22785,24976
4,349000,"[2, 1, 6, 0]",646,233,24812,27028
2,90000,"[3, 1]",332,203,19390,20503
4,359000,"[2, 4, 6, 0]",611,229,23587,26106
5,409000,"[2, 1, 4, 6, 0]",793,235,25137,27495
3,150000,"[3, 1, 4]",479,205,19769,20910
3,205000,"[3, 4, 6]",409,174,14427,15051
4,321000,"[3, 1, 4, 0]",664,238,25563,28203
2,100000,"[3, 4]",297,174,14403,15051
4,366000,"[3, 1, 6, 0]",629,237,25334,27966
1,50000,[1],182,182,16471,16471
3,195000,"[3, 1, 6]",444,203,19408,20503
2,231000,"[4, 0]",332,208,20125,21528
2,145000,"[3, 6]",262,156,11826,12090
1,60000,[4],147,147,10731,10731
2,211000,"[3, 0]",335,204,19680,20706
1,105000,[6],112,112,6216,6216
3,271000,"[3, 4, 0]",482,218,21723,23653
4,255000,"[3, 1, 4, 6]",591,205,19787,20910
2,110000,"[1, 4]",329,188,17332,17578
3,261000,"[3, 1, 0]",517,237,25325,27966
2,165000,"[4, 6]",259,151,11169,11325
2,155000,"[1, 6]",294,185,16801,17020
3,316000,"[3, 6, 0]",447,207,20025,21321
4,376000,"[3, 4, 6, 0]",594,218,21735,23653
3,281000,"[1, 4, 0]",514,231,24395,26565
2,221000,"[1, 0]",367,228,23900,25878
1,171000,[0],185,185,17020,17020
2,276000,"[6, 0]",297,193,17880,18528
5,426000,"[3, 1, 4, 6, 0]",776,238,25572,28203
4,386000,"[1, 4, 6, 0]",626,231,24419,26565
3,215000,"[1, 4, 6]",441,191,17662,18145
3,336000,"[4, 6, 0]",444,208,20157,21528
3,326000,"[1, 6, 0]",479,228,23924,25878
