subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,3600,[4],49,49,1176,1176
2,7350,"[4, 1]",114,77,2590,2926
3,47350,"[4, 1, 3]",165,92,3291,4186
4,91450,"[4, 1, 3, 6]",203,100,3573,4950
5,176750,"[4, 1, 3, 6, 2]",259,115,4516,6555
5,191250,"[4, 1, 3, 6, 0]",281,130,5771,8385
5,191450,"[4, 1, 3, 6, 5]",248,120,4291,7140
4,132650,"[4, 1, 3, 2]",221,107,4234,5671
3,107150,"[4, 1, 0]",192,119,5002,7021
4,147150,"[4, 1, 3, 0]",243,130,5653,8385
4,147350,"[4, 1, 3, 5]",210,112,4009,6216
3,87700,"[4, 3, 6]",138,88,2553,3828
4,136750,"[4, 1, 6, 2]",208,111,3989,6105
4,151250,"[4, 1, 6, 0]",230,119,5176,7021
4,151450,"[4, 1, 6, 5]",197,110,3707,5995
3,51450,"[4, 1, 6]",152,89,2974,3916
4,187700,"[4, 3, 6, 5]",183,110,3326,5995
3,92650,"[4, 1, 2]",170,99,3605,4851
4,192450,"[4, 1, 2, 0]",248,138,5958,9453
4,192650,"[4, 1, 2, 5]",215,113,4246,6328
3,107350,"[4, 1, 5]",159,98,3324,4753
3,147700,"[4, 6, 5]",132,91,2483,4095
2,43600,"[4, 3]",100,78,2220,3003
2,88900,"[4, 2]",105,83,2485,3403
3,188900,"[4, 2, 5]",150,99,3177,4851
4,207150,"[4, 1, 0, 5]",237,139,5732,9591
1,3750,[1],65,65,2080,2080
3,147500,"[4, 6, 0]",165,108,4208,5778
4,187500,"[4, 3, 6, 0]",216,128,5058,8128
3,128900,"[4, 3, 2]",156,103,3448,5253
2,103400,"[4, 0]",127,104,3926,5356
4,173000,"[4, 3, 6, 2]",194,113,3781,6328
3,188700,"[4, 2, 0]",183,127,5092,8001
3,143400,"[4, 3, 0]",178,127,4901,8001
3,143600,"[4, 3, 5]",145,100,2993,4950
4,173150,"[1, 3, 6, 2]",210,109,4141,5886
2,103600,"[4, 5]",94,74,1976,2701
4,187850,"[1, 3, 6, 5]",199,114,3927,6441
3,87850,"[1, 3, 6]",154,92,3142,4186
2,47700,"[4, 6]",87,67,1689,2211
3,143750,"[1, 3, 5]",161,106,3644,5565
2,47850,"[1, 6]",103,78,2483,3003
3,129050,"[1, 3, 2]",172,101,3858,5050
3,143550,"[1, 3, 0]",194,125,5284,7750
3,147850,"[1, 6, 5]",148,103,3296,5253
3,133000,"[4, 6, 2]",143,100,2994,4950
2,43750,"[1, 3]",116,84,2859,3486
2,89050,"[1, 2]",121,90,3155,4005
3,147650,"[1, 6, 0]",181,111,4748,6105
3,203400,"[4, 0, 5]",172,128,4722,8128
4,187650,"[1, 3, 6, 0]",232,125,5403,7750
3,189050,"[1, 2, 5]",166,108,3874,5778
2,103550,"[1, 0]",143,110,4555,5995
1,40000,[3],51,51,1275,1275
3,133150,"[1, 6, 2]",159,103,3558,5253
3,184100,"[3, 6, 5]",134,96,2562,4560
2,125300,"[3, 2]",107,93,2724,4278
2,84100,"[3, 6]",89,62,1627,1891
3,169400,"[3, 6, 2]",145,104,3076,5356
3,183900,"[3, 6, 0]",167,115,4340,6555
3,188850,"[1, 2, 0]",199,131,5564,8515
2,103750,"[1, 5]",110,91,2899,4095
3,203550,"[1, 0, 5]",188,134,5367,8911
2,139800,"[3, 0]",129,114,4173,6441
1,44100,[6],38,38,703,703
2,144100,"[6, 5]",83,76,1672,2850
1,85300,[2],56,56,1540,1540
2,143900,"[6, 0]",116,92,3430,4186
2,140000,"[3, 5]",96,85,2210,3570
2,129400,"[6, 2]",94,89,2233,3916
1,99800,[0],78,78,3003,3003
2,185100,"[2, 0]",134,115,4372,6555
2,185300,"[2, 5]",101,84,2394,3486
1,100000,[5],45,45,990,990
2,199800,"[0, 5]",123,118,3983,6903
