subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,5600,[6],317,317,50086,50086
2,25200,"[6, 2]",678,442,87336,97461
3,57800,"[6, 2, 5]",1002,496,105291,122760
4,107800,"[6, 2, 5, 3]",1347,550,125004,150975
5,458925,"[6, 2, 5, 3, 7]",1652,677,156526,228826
4,209800,"[6, 2, 5, 1]",1427,566,137984,159895
5,259800,"[6, 2, 5, 3, 1]",1772,604,151977,182106
6,513080,"[6, 2, 5, 3, 1, 4]",2106,635,163613,201295
6,712205,"[6, 2, 5, 3, 4, 7]",1986,688,166905,236328
6,610925,"[6, 2, 5, 3, 1, 7]",2077,721,182060,259560
6,884800,"[6, 2, 5, 3, 1, 0]",2390,908,297674,411778
6,1083925,"[6, 2, 5, 3, 7, 0]",2270,998,308868,497503
5,361080,"[6, 2, 5, 3, 4]",1681,587,139373,171991
7,864205,"[6, 2, 5, 3, 1, 4, 7]",2411,730,190245,266085
6,986080,"[6, 2, 5, 3, 4, 0]",2299,908,290694,411778
5,732800,"[6, 2, 5, 3, 0]",1965,874,277454,381501
4,311080,"[6, 2, 5, 4]",1336,548,123689,149878
3,75200,"[6, 2, 3]",1023,512,110861,130816
5,463080,"[6, 2, 5, 1, 4]",1761,605,151415,182710
4,408925,"[6, 2, 5, 7]",1307,640,139222,204480
4,682800,"[6, 2, 5, 0]",1620,831,260725,344865
5,578325,"[6, 2, 3, 1, 7]",1753,701,173722,245350
5,560925,"[6, 2, 5, 1, 7]",1732,695,169924,241165
6,1088080,"[6, 2, 5, 1, 4, 0]",2379,910,297582,413595
5,662205,"[6, 2, 5, 4, 7]",1641,654,152288,213531
5,834800,"[6, 2, 5, 1, 0]",2045,873,284744,380628
5,936080,"[6, 2, 5, 4, 0]",1954,877,277248,384126
4,227200,"[6, 2, 3, 1]",1448,579,142669,167331
5,1033925,"[6, 2, 5, 7, 0]",1925,972,294548,471906
6,814205,"[6, 2, 5, 1, 4, 7]",2066,705,179107,248160
5,480480,"[6, 2, 3, 1, 4]",1782,616,155735,189420
6,1105480,"[6, 2, 3, 1, 4, 0]",2400,922,302097,424581
4,328480,"[6, 2, 3, 4]",1357,558,128130,155403
5,852200,"[6, 2, 3, 1, 0]",2066,888,289769,393828
