subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
12,1260825,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 7, 3, 2]",5670,821,314334,336610,0.9156976744186046,0.9975698663426489,0.9950836849886193,0.9951426890522774
2,27900,"[11, 4]",1007,615,181923,188805,0.16262919896640826,0.74726609963548,0.575911639288733,0.5581768676109303
7,334900,"[11, 4, 12, 6, 1, 10, 8]",3610,777,285502,301476,0.5830103359173127,0.9441069258809235,0.9038105398449445,0.891273691585884
9,666700,"[11, 4, 12, 6, 1, 10, 8, 0, 5]",4132,782,288650,305371,0.667312661498708,0.9501822600243013,0.9137761288055539,0.9027887409719944
10,605825,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 7]",4550,784,289472,306936,0.7348191214470284,0.9526123936816525,0.9163783251605796,0.9074154552952968
10,763050,"[11, 4, 12, 6, 1, 10, 8, 0, 7, 5]",4631,782,288829,305371,0.7479005167958657,0.9501822600243013,0.9143427871359062,0.9027887409719944
5,194400,"[11, 4, 12, 6, 1]",2660,760,276882,288420,0.42958656330749356,0.9234507897934386,0.876522300696135,0.852675364298321
8,431250,"[11, 4, 12, 6, 1, 10, 8, 7]",4109,778,286167,302253,0.6635981912144703,0.945321992709599,0.9059157230275383,0.8935707887291465
9,513050,"[11, 4, 12, 6, 1, 10, 8, 0, 7]",4109,778,286167,302253,0.6635981912144703,0.945321992709599,0.9059157230275383,0.8935707887291465
9,731250,"[11, 4, 12, 6, 1, 10, 8, 7, 3]",4670,817,309669,333336,0.7541989664082688,0.9927095990279465,0.9803157458204991,0.9854635435605893
8,634900,"[11, 4, 12, 6, 1, 10, 8, 3]",4171,816,309053,332520,0.6736111111111112,0.991494532199271,0.978365681398728,0.9830511481051166
10,981250,"[11, 4, 12, 6, 1, 10, 8, 7, 5, 3]",5192,819,311377,334971,0.838501291989664,0.9951397326852977,0.9857227426263189,0.9902972035724739
8,584900,"[11, 4, 12, 6, 1, 10, 8, 5]",4132,782,288650,305371,0.667312661498708,0.9501822600243013,0.9137761288055539,0.9027887409719944
9,782675,"[11, 4, 12, 6, 1, 10, 8, 9, 2]",4610,796,297902,316410,0.7445090439276486,0.9671931956257594,0.9430650834000767,0.9354240760614096
12,1155825,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 7, 5, 3]",5633,821,313022,336610,0.9097222222222222,0.9975698663426489,0.9909303010253666,0.9951426890522774
9,509475,"[11, 4, 12, 6, 1, 10, 8, 0, 9]",4051,784,289199,306936,0.6542312661498708,0.9526123936816525,0.9155140920645674,0.9074154552952968
9,716700,"[11, 4, 12, 6, 1, 10, 8, 0, 3]",4171,816,309053,332520,0.6736111111111112,0.991494532199271,0.978365681398728,0.9830511481051166
6,264400,"[11, 4, 12, 6, 1, 10]",3101,775,283800,299925,0.5008074935400517,0.9416767922235723,0.898422537173103,0.886688366400298
10,879025,"[11, 4, 12, 6, 1, 10, 8, 9, 7, 2]",5109,796,298142,316410,0.8250968992248062,0.9671931956257594,0.9438248487592082,0.9354240760614096
11,855825,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 7, 5]",5072,788,292028,310078,0.8191214470284238,0.9574726609963548,0.924469826235331,0.9167043603456584
11,1129025,"[11, 4, 12, 6, 1, 10, 8, 9, 7, 5, 2]",5631,800,300639,319600,0.9093992248062015,0.9720534629404617,0.951729574183173,0.9448548867267992
11,1118050,"[11, 4, 12, 6, 1, 10, 8, 0, 7, 5, 2]",5190,796,298340,316410,0.8381782945736435,0.9671931956257594,0.9444516551804918,0.9354240760614096
11,1114475,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 5, 2]",5132,800,300511,319600,0.8288113695090439,0.9720534629404617,0.9513243659916363,0.9448548867267992
10,1032675,"[11, 4, 12, 6, 1, 10, 8, 9, 5, 2]",5132,800,300511,319600,0.8288113695090439,0.9720534629404617,0.9513243659916363,0.9448548867267992
10,824025,"[11, 4, 12, 6, 1, 10, 8, 9, 7, 3]",5111,819,311417,334971,0.8254198966408268,0.9951397326852977,0.9858493701861741,0.9902972035724739
3,78900,"[11, 4, 12]",1439,643,194050,206403,0.2323966408268734,0.7812879708383961,0.6143019497478529,0.6102030137204991
9,681250,"[11, 4, 12, 6, 1, 10, 8, 7, 5]",4631,782,288829,305371,0.7479005167958657,0.9501822600243013,0.9143427871359062,0.9027887409719944
10,759475,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 5]",4573,788,291875,310078,0.7385335917312662,0.9574726609963548,0.9239854758188846,0.9167043603456584
8,416700,"[11, 4, 12, 6, 1, 10, 8, 0]",3610,777,285502,301476,0.5830103359173127,0.9441069258809235,0.9038105398449445,0.891273691585884
9,727675,"[11, 4, 12, 6, 1, 10, 8, 9, 3]",4612,819,311193,334971,0.7448320413436692,0.9951397326852977,0.9851402558509846,0.9902972035724739
10,977675,"[11, 4, 12, 6, 1, 10, 8, 9, 5, 3]",5134,821,312918,336610,0.8291343669250646,0.9975698663426489,0.990601069369743,0.9951426890522774
