subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,8000,[11],443,443,97903,97903
3,78900,"[11, 4, 12]",1458,660,201693,217470
2,27900,"[11, 4]",1022,630,188598,198135
4,131400,"[11, 4, 12, 6]",1988,698,223015,243253
11,960825,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 7, 2]",5997,896,368492,400960
5,194400,"[11, 4, 12, 6, 1]",2702,785,290839,307720
12,1260825,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 7, 3, 2]",6590,928,387966,430128
6,264400,"[11, 4, 12, 6, 1, 10]",3151,799,297995,318801
7,334900,"[11, 4, 12, 6, 1, 10, 8]",3671,803,300872,322003
9,513050,"[11, 4, 12, 6, 1, 10, 8, 0, 7]",4942,860,348162,369370
8,416700,"[11, 4, 12, 6, 1, 10, 8, 0]",4412,858,346845,367653
13,1510825,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 7, 5, 3, 2]",7121,929,389094,431056
11,1059475,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 5, 3]",5995,913,378290,416328
9,509475,"[11, 4, 12, 6, 1, 10, 8, 0, 9]",4871,876,355425,383250
10,809475,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 3]",5464,912,377061,415416
12,1414475,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 5, 3, 2]",6591,927,387837,429201
11,1164475,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 3, 2]",6060,926,386684,428275
10,864475,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 2]",5467,894,367210,399171
11,1114475,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 5, 2]",5998,896,368818,400960
11,855825,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 7, 5]",5932,881,358776,387640
10,605825,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 7]",5401,878,356730,385003
10,763050,"[11, 4, 12, 6, 1, 10, 8, 0, 7, 5]",5473,863,350273,371953
11,905825,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 7, 3]",5994,914,378366,417241
10,759475,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 5]",5402,879,357509,385881
12,1155825,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 7, 5, 3]",6525,915,379557,418155
12,1210825,"[11, 4, 12, 6, 1, 10, 8, 0, 9, 7, 5, 2]",6528,898,370075,402753
11,1063050,"[11, 4, 12, 6, 1, 10, 8, 0, 7, 5, 3]",6066,898,371442,402753
9,716700,"[11, 4, 12, 6, 1, 10, 8, 0, 3]",5005,895,368869,400065
9,666700,"[11, 4, 12, 6, 1, 10, 8, 0, 5]",4943,861,348996,370230
10,966700,"[11, 4, 12, 6, 1, 10, 8, 0, 5, 3]",5536,896,370165,400960
10,1021700,"[11, 4, 12, 6, 1, 10, 8, 0, 5, 2]",5539,879,360789,385881
10,1071700,"[11, 4, 12, 6, 1, 10, 8, 0, 3, 2]",5601,910,378972,413595
10,813050,"[11, 4, 12, 6, 1, 10, 8, 0, 7, 3]",5535,897,370186,401856
