method,subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS,alpha_AV,alpha_CC,alpha_PAIRS,alpha_CONS
MES,13,1510825,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",6192,823,315887,338253,1.0,1.0,1.0,1.0
AV,13,1510825,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",6192,823,315887,338253,1.0,1.0,1.0,1.0
greedy-AV/cost,13,1510825,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",6192,823,315887,338253,1.0,1.0,1.0,1.0
greedy-AV/cost^2,13,1510825,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",6192,823,315887,338253,1.0,1.0,1.0,1.0
greedy-CC,13,1510825,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",6192,823,315887,338253,1.0,1.0,1.0,1.0
greedy-PAV,13,1510825,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",6192,823,315887,338253,1.0,1.0,1.0,1.0
PAIRS-AV,13,1510825,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",6192,823,315887,338253,1.0,1.0,1.0,1.0
PAIRS-CC,13,1510825,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",6192,823,315887,338253,1.0,1.0,1.0,1.0
CONS-AV,13,1510825,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",6192,823,315887,338253,1.0,1.0,1.0,1.0
CONS-CC,13,1510825,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]",6192,823,315887,338253,1.0,1.0,1.0,1.0
