subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,16224,[4],242,242,29161,29161
2,35186,"[4, 6]",466,308,41734,47278
3,69478,"[4, 6, 2]",733,339,51429,57291
5,213024,"[4, 6, 2, 3, 5]",1202,376,59796,70500
4,144282,"[4, 6, 2, 1]",1009,401,67224,80200
4,138024,"[4, 6, 2, 3]",977,343,52531,58653
5,212828,"[4, 6, 2, 3, 1]",1253,404,68134,81406
4,184990,"[4, 6, 1, 5]",967,397,63701,78606
6,287828,"[4, 6, 2, 3, 1, 5]",1478,422,72507,88831
5,318282,"[4, 6, 2, 1, 0]",1321,430,78260,92235
6,386828,"[4, 6, 2, 3, 1, 0]",1565,430,78379,92235
6,387024,"[4, 6, 2, 3, 5, 0]",1514,407,71163,82621
7,461828,"[4, 6, 2, 3, 1, 5, 0]",1790,447,82373,99681
4,243478,"[4, 6, 2, 0]",1045,385,65719,73920
4,144478,"[4, 6, 2, 5]",958,373,58854,69378
4,277732,"[4, 6, 3, 0]",1022,381,64240,72390
5,352536,"[4, 6, 3, 1, 0]",1298,426,76850,90525
6,393282,"[4, 6, 2, 1, 5, 0]",1546,447,82260,99681
5,312024,"[4, 6, 2, 3, 0]",1289,386,66023,74305
4,178536,"[4, 6, 3, 1]",986,392,63743,76636
3,103732,"[4, 6, 3]",710,328,47524,53628
4,178732,"[4, 6, 3, 5]",935,364,55368,66066
5,219282,"[4, 6, 2, 1, 5]",1234,419,71607,87571
5,253536,"[4, 6, 3, 1, 5]",1211,412,68519,84666
3,109990,"[4, 6, 1]",742,377,58863,70876
5,318478,"[4, 6, 2, 5, 0]",1270,407,71014,82621
6,427536,"[4, 6, 3, 1, 5, 0]",1523,443,80871,97903
5,352732,"[4, 6, 3, 5, 0]",1247,402,69431,80601
5,358990,"[4, 6, 1, 5, 0]",1279,442,80211,97461
2,50516,"[4, 2]",509,331,48919,54615
3,110186,"[4, 6, 5]",691,345,49829,59340
2,84770,"[4, 3]",486,318,44779,50403
3,125320,"[4, 2, 1]",785,398,65529,79003
5,268866,"[4, 2, 3, 1, 5]",1254,420,71182,87990
4,193866,"[4, 2, 3, 1]",1029,401,66643,80200
4,284186,"[4, 6, 5, 0]",1003,398,68243,79003
3,224516,"[4, 2, 0]",821,380,63983,72010
3,125516,"[4, 2, 5]",734,368,56805,67528
3,159574,"[4, 3, 1]",762,387,61798,74691
4,194062,"[4, 2, 3, 5]",978,371,57950,68635
4,293062,"[4, 2, 3, 0]",1065,381,64349,72390
4,234574,"[4, 3, 1, 5]",987,409,66881,83436
5,367866,"[4, 2, 3, 1, 0]",1341,428,77213,91378
4,299320,"[4, 2, 1, 0]",1097,428,77043,91378
4,283990,"[4, 6, 1, 0]",1054,425,76180,90100
3,119062,"[4, 2, 3]",753,335,50245,55945
4,299516,"[4, 2, 5, 0]",1046,404,69583,81406
3,209186,"[4, 6, 0]",778,376,62866,70500
5,374320,"[4, 2, 1, 5, 0]",1322,445,81068,98790
5,368062,"[4, 2, 3, 5, 0]",1290,404,69788,81406
3,159770,"[4, 3, 5]",711,358,53207,63903
6,442866,"[4, 2, 3, 1, 5, 0]",1566,445,81232,98790
2,91028,"[4, 1]",518,321,47805,51360
4,200320,"[4, 2, 1, 5]",1010,417,70090,86736
4,333574,"[4, 3, 1, 0]",1074,423,75479,89253
3,258770,"[4, 3, 0]",798,375,62359,70125
4,333770,"[4, 3, 5, 0]",1023,398,67854,79003
5,408574,"[4, 3, 1, 5, 0]",1299,440,79528,96580
3,265028,"[4, 1, 0]",830,422,74591,88831
2,91224,"[4, 5]",467,290,38785,41905
3,166028,"[4, 1, 5]",743,347,53502,60031
1,18962,[6],224,224,24976,24976
4,340028,"[4, 1, 5, 0]",1055,439,78666,96141
2,190224,"[4, 0]",554,368,60472,67528
2,53254,"[6, 2]",491,288,39984,41328
3,265224,"[4, 5, 0]",779,394,66433,77421
3,121800,"[6, 2, 3]",735,293,41329,42778
2,87508,"[6, 3]",468,264,33916,34716
4,196604,"[6, 2, 3, 1]",1011,377,61373,70876
3,227254,"[6, 2, 0]",803,344,56166,58996
3,128058,"[6, 2, 1]",767,374,60441,69751
3,128254,"[6, 2, 5]",716,342,50831,58311
5,411312,"[6, 3, 1, 5, 0]",1281,423,75489,89253
2,93962,"[6, 5]",449,304,39736,46056
4,196800,"[6, 2, 3, 5]",960,345,51832,59340
4,295800,"[6, 2, 3, 0]",1047,345,56495,59340
5,271604,"[6, 2, 3, 1, 5]",1236,400,66682,79800
3,162312,"[6, 3, 1]",744,361,56177,64980
4,203058,"[6, 2, 1, 5]",992,397,65762,78606
2,93766,"[6, 1]",500,343,50680,58653
3,162508,"[6, 3, 5]",693,329,46486,53956
5,370604,"[6, 2, 3, 1, 0]",1323,407,72429,82621
4,302058,"[6, 2, 1, 0]",1079,407,72307,82621
3,261508,"[6, 3, 0]",780,337,54161,56616
5,370800,"[6, 2, 3, 5, 0]",1272,382,64378,72771
4,302254,"[6, 2, 5, 0]",1028,382,64209,72771
3,267766,"[6, 1, 0]",812,401,70005,80200
4,336312,"[6, 3, 1, 0]",1056,402,70691,80601
4,237312,"[6, 3, 1, 5]",969,388,62208,75078
5,377058,"[6, 2, 1, 5, 0]",1304,428,77072,91378
3,168766,"[6, 1, 5]",725,370,56801,68265
4,336508,"[6, 3, 5, 0]",1005,376,62415,70500
6,445604,"[6, 2, 3, 1, 5, 0]",1548,428,77188,91378
3,267962,"[6, 5, 0]",761,372,61180,69006
4,342766,"[6, 1, 5, 0]",1037,422,74815,88831
1,34292,[2],267,267,35511,35511
1,68546,[3],244,244,29646,29646
1,74804,[1],276,276,37950,37950
2,102838,"[2, 3]",511,276,37662,37950
2,192962,"[6, 0]",536,331,52582,54615
2,208292,"[2, 0]",579,329,52902,53956
1,75000,[5],225,225,25200,25200
2,109292,"[2, 5]",492,328,47345,53628
2,143546,"[3, 5]",469,315,43065,49455
2,109096,"[2, 1]",543,367,58061,67161
3,283096,"[2, 1, 0]",855,401,70426,80200
2,149804,"[1, 5]",501,311,45195,48205
4,392350,"[3, 1, 5, 0]",1057,416,73491,86320
4,351838,"[2, 3, 5, 0]",1048,371,61758,68635
3,317546,"[3, 5, 0]",781,364,59593,66066
2,143350,"[3, 1]",520,352,53568,61776
3,177642,"[2, 3, 1]",787,370,59225,68265
3,184096,"[2, 1, 5]",768,391,63568,76245
3,177838,"[2, 3, 5]",736,332,48741,54946
2,248804,"[1, 0]",588,394,67745,77421
4,252642,"[2, 3, 1, 5]",1012,394,64702,77421
3,317350,"[3, 1, 0]",832,395,68663,77815
2,242546,"[3, 0]",556,322,50901,51681
3,218350,"[3, 1, 5]",745,381,59910,72390
3,283292,"[2, 5, 0]",804,370,61386,68265
3,276838,"[2, 3, 0]",823,331,53443,54615
3,323804,"[1, 5, 0]",813,415,72603,85905
4,351642,"[2, 3, 1, 0]",1099,401,70606,80200
