subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,19500,[6],225,225,25200,25200
2,44900,"[6, 2]",526,328,50847,53628
3,93900,"[6, 2, 4]",806,383,64923,73153
4,170900,"[6, 2, 4, 7]",1027,399,69643,79401
5,446030,"[6, 2, 4, 5, 0]",1382,594,120121,176121
5,255900,"[6, 2, 4, 7, 5]",1263,440,79726,96580
5,378900,"[6, 2, 4, 7, 3]",1308,444,84572,98346
4,178900,"[6, 2, 4, 5]",1042,430,76302,92235
5,438030,"[6, 2, 4, 7, 0]",1367,572,114338,163306
4,389030,"[6, 2, 7, 0]",1087,526,101698,138075
4,206900,"[6, 2, 7, 5]",983,400,67961,79800
5,386900,"[6, 2, 4, 5, 3]",1323,469,90681,109746
6,463900,"[6, 2, 4, 7, 5, 3]",1544,475,93312,112575
6,655275,"[6, 2, 4, 7, 5, 1]",1600,587,122184,171991
4,361030,"[6, 2, 4, 0]",1146,561,110675,157080
5,578275,"[6, 2, 4, 5, 1]",1379,580,119112,167910
5,570275,"[6, 2, 4, 7, 1]",1364,563,113827,158203
6,646030,"[6, 2, 4, 7, 3, 0]",1648,597,125599,177906
3,121900,"[6, 2, 7]",747,350,56506,61075
6,523030,"[6, 2, 4, 7, 5, 0]",1603,600,122796,179700
4,301900,"[6, 2, 4, 3]",1087,433,80943,93528
4,329900,"[6, 2, 7, 3]",1028,422,75322,88831
4,337900,"[6, 2, 5, 3]",1043,451,81991,101475
4,493275,"[6, 2, 4, 1]",1143,554,109767,153181
5,414900,"[6, 2, 7, 5, 3]",1264,459,85260,105111
5,569030,"[6, 2, 4, 3, 0]",1427,588,122285,172578
5,606275,"[6, 2, 7, 5, 1]",1320,575,113390,165025
6,654030,"[6, 2, 4, 5, 3, 0]",1663,619,131321,191271
4,521275,"[6, 2, 7, 1]",1084,547,104042,149331
5,474030,"[6, 2, 7, 5, 0]",1323,561,111423,157080
3,252900,"[6, 2, 3]",807,407,70894,82621
3,312030,"[6, 2, 0]",866,511,97219,130305
5,597030,"[6, 2, 7, 3, 0]",1368,576,116520,165600
3,153500,"[6, 4, 5]",741,410,65364,83845
5,605030,"[6, 2, 5, 3, 0]",1383,602,122814,180901
3,129900,"[6, 2, 5]",762,386,63759,74305
4,353500,"[6, 4, 7, 3]",1007,433,78204,93528
2,68500,"[6, 4]",505,334,49725,55611
4,412630,"[6, 4, 7, 0]",1066,557,105637,154846
3,145500,"[6, 4, 7]",726,378,58939,71253
3,444275,"[6, 2, 1]",863,535,99258,142845
4,397030,"[6, 2, 5, 0]",1102,553,108093,152628
4,652275,"[6, 2, 3, 1]",1144,573,117009,163878
4,230500,"[6, 4, 7, 5]",962,425,71252,90100
4,420630,"[6, 4, 5, 0]",1081,580,111254,167910
4,529275,"[6, 2, 5, 1]",1099,565,109626,159330
4,520030,"[6, 2, 3, 0]",1147,563,112433,158203
5,438500,"[6, 4, 7, 5, 3]",1243,468,88243,109278
4,544875,"[6, 4, 7, 1]",1063,553,105222,152628
5,497630,"[6, 4, 7, 5, 0]",1302,588,115266,172578
5,629875,"[6, 4, 7, 5, 1]",1299,581,115629,168490
3,276500,"[6, 4, 3]",786,415,71703,85905
4,552875,"[6, 4, 5, 1]",1078,569,110123,161596
4,361500,"[6, 4, 5, 3]",1022,461,84447,106030
5,620630,"[6, 4, 7, 3, 0]",1347,590,119973,173755
5,628630,"[6, 4, 5, 3, 0]",1362,613,125749,187578
3,335630,"[6, 4, 0]",845,539,98850,144991
2,96500,"[6, 7]",446,289,37264,41616
3,181500,"[6, 7, 5]",682,365,53569,66430
3,467875,"[6, 4, 1]",842,520,96954,134940
2,104500,"[6, 5]",461,338,45427,56953
3,626875,"[6, 3, 1]",843,555,103680,153735
4,389500,"[6, 7, 5, 3]",963,441,76147,97020
4,543630,"[6, 4, 3, 0]",1126,576,114108,165600
2,227500,"[6, 3]",506,360,53955,64620
