subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
2,45000,"[9, 11]",230,214,15490,22791
8,566580,"[9, 11, 5, 3, 10, 6, 8, 1]",1499,578,120565,166753
10,837780,"[9, 11, 5, 3, 10, 6, 8, 4, 7, 1]",1910,585,135762,170820
9,588780,"[9, 11, 5, 3, 10, 6, 2, 4, 7]",1687,577,121592,166176
9,524380,"[9, 11, 5, 3, 10, 6, 8, 4, 0]",1868,591,152990,174345
3,70180,"[9, 11, 5]",427,333,32657,55278
9,487780,"[9, 11, 5, 3, 10, 6, 8, 2, 4]",1685,577,120218,166176
10,658780,"[9, 11, 5, 3, 10, 6, 8, 2, 4, 7]",1854,580,126234,167910
9,595180,"[9, 11, 5, 3, 10, 6, 8, 0, 7]",1795,589,147862,173166
10,750180,"[9, 11, 5, 3, 10, 6, 8, 2, 4, 1]",2028,584,142613,170236
7,317580,"[9, 11, 5, 3, 10, 6, 2]",1276,568,103309,161028
8,417780,"[9, 11, 5, 3, 10, 6, 2, 4]",1518,574,115255,164451
9,686580,"[9, 11, 5, 3, 10, 6, 8, 0, 1]",1969,591,154826,174345
10,695380,"[9, 11, 5, 3, 10, 6, 8, 4, 0, 7]",2037,592,154862,174936
6,234180,"[9, 11, 5, 3, 10, 6]",989,544,80059,147696
1,20000,[9],165,165,13530,13530
10,607780,"[9, 11, 5, 3, 10, 6, 8, 2, 4, 0]",2155,592,158743,174936
10,786780,"[9, 11, 5, 3, 10, 6, 8, 4, 0, 1]",2211,593,160571,175528
4,112180,"[9, 11, 5, 3]",689,462,62337,106491
10,769980,"[9, 11, 5, 3, 10, 6, 8, 2, 0, 1]",2256,592,161296,174936
9,507580,"[9, 11, 5, 3, 10, 6, 8, 2, 0]",1913,591,154141,174345
9,575380,"[9, 11, 5, 3, 10, 6, 8, 4, 7]",1567,579,112585,167331
10,820980,"[9, 11, 5, 3, 10, 6, 8, 2, 7, 1]",1955,583,138190,169653
9,680180,"[9, 11, 5, 3, 10, 6, 2, 4, 1]",1861,583,139279,169653
11,778780,"[9, 11, 5, 3, 10, 6, 8, 2, 4, 0, 7]",2324,592,160050,174936
7,304180,"[9, 11, 5, 3, 10, 6, 8]",1156,562,88724,157641
9,558580,"[9, 11, 5, 3, 10, 6, 8, 2, 7]",1612,578,115949,166753
8,404380,"[9, 11, 5, 3, 10, 6, 8, 4]",1398,574,104936,164451
0,0,[],0,0,0,0
9,666780,"[9, 11, 5, 3, 10, 6, 8, 4, 1]",1741,584,132267,170236
8,387580,"[9, 11, 5, 3, 10, 6, 8, 2]",1443,574,109333,164451
8,424180,"[9, 11, 5, 3, 10, 6, 8, 0]",1626,588,145540,172578
9,737580,"[9, 11, 5, 3, 10, 6, 8, 7, 1]",1668,580,124631,167910
5,164180,"[9, 11, 5, 3, 10]",800,499,67245,124251
10,708780,"[9, 11, 5, 3, 10, 6, 2, 4, 0, 7]",2157,590,158169,173755
9,649980,"[9, 11, 5, 3, 10, 6, 8, 2, 1]",1786,581,135317,168490
8,475180,"[9, 11, 5, 3, 10, 6, 8, 7]",1325,572,97161,163306
8,437580,"[9, 11, 5, 3, 10, 6, 2, 0]",1746,589,151593,173166
9,608580,"[9, 11, 5, 3, 10, 6, 2, 0, 7]",1915,589,153338,173166
8,488580,"[9, 11, 5, 3, 10, 6, 2, 7]",1445,575,110272,165025
10,678580,"[9, 11, 5, 3, 10, 6, 8, 2, 0, 7]",2082,591,155753,174345
10,800180,"[9, 11, 5, 3, 10, 6, 2, 4, 0, 1]",2331,592,163264,174936
8,579980,"[9, 11, 5, 3, 10, 6, 2, 1]",1619,580,131160,167910
9,699980,"[9, 11, 5, 3, 10, 6, 2, 0, 1]",2089,591,159461,174345
9,750980,"[9, 11, 5, 3, 10, 6, 2, 7, 1]",1788,582,134201,169071
7,334380,"[9, 11, 5, 3, 10, 6, 4]",1231,569,97962,161596
9,625380,"[9, 11, 5, 3, 10, 6, 4, 0, 7]",1870,590,152037,173755
