subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,129000,[6],507,507,128271,128271
2,349000,"[6, 4]",1123,974,306665,473851
1,220000,[4],616,616,189420,189420
2,544000,"[6, 0]",1747,1323,806775,874503
2,569000,"[6, 2]",1598,1219,651235,742371
3,849000,"[6, 4, 5]",1664,1194,418058,712221
2,629000,"[6, 5]",1048,928,267201,430128
3,984000,"[6, 0, 2]",2838,1408,927832,990528
3,1049000,"[6, 4, 3]",2131,1396,711388,973710
3,789000,"[6, 4, 2]",2214,1322,727527,873181
3,1044000,"[6, 0, 5]",2288,1377,839275,947376
2,635000,"[4, 0]",1856,1278,790847,816003
2,829000,"[6, 3]",1515,1174,577829,688551
3,1135000,"[6, 4, 1]",2321,1396,839462,973710
2,915000,"[6, 1]",1705,1300,763464,844350
2,660000,"[4, 2]",1707,1244,677062,773146
3,1330000,"[6, 0, 1]",2945,1444,979968,1041846
4,1289000,"[6, 4, 2, 5]",2755,1381,781388,952890
3,764000,"[6, 4, 0]",2363,1345,827194,903840
3,1069000,"[6, 2, 5]",2139,1320,718005,870540
3,1244000,"[6, 0, 3]",2755,1514,1011907,1145341
3,1329000,"[6, 5, 3]",2056,1378,682473,948753
3,1415000,"[6, 5, 1]",2246,1369,806474,936396
3,1355000,"[6, 2, 1]",2796,1401,909441,980700
3,1135000,"[4, 0, 5]",2397,1334,822264,889111
3,1269000,"[6, 2, 3]",2606,1430,874845,1021735
3,1160000,"[4, 2, 5]",2248,1333,735330,887778
3,1075000,"[4, 0, 2]",2947,1394,920857,970921
4,1264000,"[6, 4, 0, 5]",2904,1391,857247,966745
3,1335000,"[4, 0, 3]",2864,1505,1007560,1131760
3,1421000,"[4, 0, 1]",3054,1429,973724,1020306
4,1204000,"[6, 4, 0, 2]",3454,1422,940311,1010331
3,1360000,"[4, 2, 3]",2715,1450,902077,1050525
1,415000,[0],1240,1240,768180,768180
1,500000,[5],541,541,146070,146070
2,915000,"[0, 5]",1781,1307,802149,853471
2,1006000,"[4, 1]",1814,1352,799932,913276
2,1140000,"[2, 3]",2099,1375,840397,944625
2,1226000,"[2, 1]",2289,1366,886095,932295
2,1200000,"[5, 3]",1549,1282,618087,821121
3,1355000,"[0, 2, 5]",2872,1419,932245,1006071
2,720000,"[4, 5]",1157,919,307287,421821
1,440000,[2],1091,1091,594595,594595
1,700000,[3],1008,1008,507528,507528
1,786000,[1],1198,1198,717003,717003
3,1446000,"[4, 2, 1]",2905,1423,928866,1011753
3,1420000,"[4, 5, 3]",2165,1422,734917,1010331
2,1201000,"[0, 1]",2438,1414,961407,998991
2,940000,"[2, 5]",1632,1246,666360,775635
2,855000,"[0, 2]",2331,1376,907240,946000
2,1115000,"[0, 3]",2248,1496,993332,1118260
2,920000,"[4, 3]",1624,1318,650283,867903
2,1286000,"[5, 1]",1739,1290,762497,831405
