subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,1200,[12],81,81,3240,3240
2,13200,"[12, 10]",163,150,6483,11175
3,34700,"[12, 10, 11]",244,204,9498,20706
4,66700,"[12, 10, 11, 4]",469,329,32521,53956
6,214700,"[12, 10, 11, 4, 9, 8]",655,393,38594,77028
6,219700,"[12, 10, 11, 4, 9, 2]",844,464,66806,107416
7,344700,"[12, 10, 11, 4, 9, 8, 1]",940,497,72334,123256
6,251700,"[12, 10, 11, 4, 8, 2]",846,460,66059,105570
7,309700,"[12, 10, 11, 4, 9, 8, 2]",938,477,68824,113526
5,124700,"[12, 10, 11, 4, 9]",561,370,36003,68265
7,349700,"[12, 10, 11, 4, 9, 2, 1]",1129,514,91731,131841
6,254700,"[12, 10, 11, 4, 9, 1]",846,491,70261,120295
6,291700,"[12, 10, 11, 4, 2, 1]",1037,504,89476,126756
5,326700,"[12, 10, 11, 4, 3]",746,471,66016,110685
6,274700,"[12, 10, 11, 4, 9, 7]",673,411,41066,84255
5,196700,"[12, 10, 11, 4, 1]",754,470,67428,110215
5,356942,"[12, 10, 11, 4, 5]",693,419,51992,87571
6,344700,"[12, 10, 11, 4, 9, 0]",925,504,89442,126756
5,156700,"[12, 10, 11, 4, 8]",563,355,35136,62835
6,306700,"[12, 10, 11, 4, 8, 7]",675,399,40299,79401
5,356845,"[12, 10, 11, 4, 6]",585,384,38005,73536
5,286700,"[12, 10, 11, 4, 0]",833,489,87102,119316
5,216700,"[12, 10, 11, 4, 7]",581,379,37735,71631
6,346700,"[12, 10, 11, 4, 1, 7]",866,488,71598,118828
6,286700,"[12, 10, 11, 4, 8, 1]",848,478,69525,114003
4,92700,"[12, 10, 11, 9]",336,266,13466,35245
5,161700,"[12, 10, 11, 4, 2]",752,445,64019,98790
6,277700,"[12, 10, 11, 9, 8, 2]",713,448,53863,100128
5,182700,"[12, 10, 11, 9, 8]",430,309,17446,47586
6,332700,"[12, 10, 11, 9, 8, 7]",542,363,23150,65703
6,312700,"[12, 10, 11, 9, 8, 1]",715,460,55173,105570
6,311700,"[12, 10, 11, 4, 2, 7]",864,469,67966,109746
5,187700,"[12, 10, 11, 9, 2]",619,427,50701,90951
4,124700,"[12, 10, 11, 8]",338,255,13522,32385
5,222700,"[12, 10, 11, 9, 1]",621,442,51809,97461
5,242700,"[12, 10, 11, 9, 7]",448,327,19223,53301
5,312700,"[12, 10, 11, 9, 0]",700,466,74645,108345
6,317700,"[12, 10, 11, 9, 2, 1]",904,501,78904,125250
5,254700,"[12, 10, 11, 8, 1]",623,433,51934,93528
5,274700,"[12, 10, 11, 8, 7]",450,320,19386,51040
4,129700,"[12, 10, 11, 2]",527,394,47490,77421
6,349700,"[12, 10, 11, 8, 2, 1]",906,497,78938,123256
5,352700,"[12, 10, 11, 9, 3]",613,438,49804,95703
6,337700,"[12, 10, 11, 9, 2, 7]",731,454,55043,102831
5,219700,"[12, 10, 11, 8, 2]",621,421,50693,88410
5,344700,"[12, 10, 11, 8, 0]",702,453,74299,102378
5,259700,"[12, 10, 11, 2, 1]",812,484,76261,116886
4,324845,"[12, 10, 11, 6]",360,284,15897,40186
5,279700,"[12, 10, 11, 2, 7]",639,428,51972,91378
4,294700,"[12, 10, 11, 3]",521,406,46597,82215
4,103200,"[12, 10, 4, 9]",480,345,33518,59340
4,324942,"[12, 10, 11, 5]",468,360,33532,64620
