subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
4,569200,"[8, 3, 0, 4]",3347,1809,1285493,1635336
1,35500,[8],434,434,93961,93961
2,91500,"[8, 3]",1210,1041,380465,541320
3,266700,"[8, 3, 0]",2589,1741,1164066,1514670
3,1445962,"[8, 3, 1]",2386,1473,871745,1084128
4,599950,"[8, 3, 0, 7]",3029,1781,1202802,1585090
3,424750,"[8, 3, 7]",1650,1170,443240,683865
3,939127,"[8, 3, 5]",1841,1276,528410,813450
3,394000,"[8, 3, 4]",1968,1328,597003,881128
3,695540,"[8, 3, 2]",2000,1524,659457,1160526
4,1114327,"[8, 3, 0, 5]",3220,1805,1255922,1628110
4,870740,"[8, 3, 0, 2]",3379,2064,1397946,2129016
5,902450,"[8, 3, 0, 4, 7]",3787,1828,1314216,1669878
5,1203990,"[8, 3, 0, 7, 2]",3819,2085,1433902,2172570
5,1416827,"[8, 3, 0, 4, 5]",3978,1829,1330708,1671706
5,1669200,"[8, 3, 0, 4, 6]",3914,1846,1334823,1702935
5,1173240,"[8, 3, 0, 4, 2]",4137,2099,1502209,2201851
4,1621162,"[8, 3, 0, 1]",3765,1848,1410109,1706628
4,1621162,"[8, 3, 0, 9]",2983,1773,1186898,1570878
4,1272377,"[8, 3, 7, 5]",2281,1352,581667,913276
4,727250,"[8, 3, 4, 7]",2408,1393,646057,969528
5,1447577,"[8, 3, 0, 7, 5]",3660,1829,1287482,1671706
4,998040,"[8, 3, 4, 2]",2758,1694,849408,1433971
4,1241627,"[8, 3, 4, 5]",2599,1392,675446,968136
4,1494000,"[8, 3, 4, 6]",2535,1486,711411,1103355
4,1028790,"[8, 3, 7, 2]",2440,1610,718564,1295245
4,1524750,"[8, 3, 7, 6]",2217,1398,569672,976503
4,1543167,"[8, 3, 2, 5]",2631,1676,795096,1403650
5,1331290,"[8, 3, 4, 7, 2]",3198,1735,895434,1504245
6,1506490,"[8, 3, 0, 4, 7, 2]",4577,2111,1528743,2227105
5,1574877,"[8, 3, 4, 7, 5]",3039,1439,718977,1034641
