subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,4600,[4],245,245,29890,29890
2,49880,"[4, 7]",351,270,32215,36315
3,121280,"[4, 7, 6]",459,335,37252,55945
4,193780,"[4, 7, 6, 2]",802,436,77581,94830
5,444420,"[4, 7, 6, 5, 0]",1013,466,92076,108345
5,266920,"[4, 7, 6, 2, 5]",977,448,82721,100128
5,343780,"[4, 7, 6, 2, 3]",1110,465,93182,107880
6,416920,"[4, 7, 6, 2, 5, 3]",1285,471,95969,110685
4,272380,"[4, 7, 2, 3]",1002,464,92227,107416
6,593780,"[4, 7, 6, 2, 3, 0]",1489,489,108817,119316
6,516920,"[4, 7, 6, 2, 5, 0]",1356,474,102033,112101
7,666920,"[4, 7, 6, 2, 5, 3, 0]",1664,490,109622,119805
5,344420,"[4, 7, 6, 5, 3]",942,445,76429,98790
5,967420,"[4, 7, 6, 5, 1]",980,473,87979,111628
4,194420,"[4, 7, 6, 5]",634,392,48615,76636
4,271280,"[4, 7, 6, 3]",767,432,69842,93096
6,594420,"[4, 7, 6, 5, 3, 0]",1321,484,103428,116886
2,76000,"[4, 6]",353,316,35002,49770
4,371280,"[4, 7, 6, 0]",838,462,89179,106491
5,521280,"[4, 7, 6, 3, 0]",1146,482,101762,115921
5,443780,"[4, 7, 6, 2, 0]",1181,473,100731,111628
5,966780,"[4, 7, 6, 2, 1]",1148,471,96644,110685
3,122380,"[4, 7, 2]",694,428,75820,91378
4,894280,"[4, 7, 6, 1]",805,459,81656,105111
4,195520,"[4, 7, 2, 5]",869,447,81518,99681
3,123020,"[4, 7, 5]",526,368,44906,67528
4,273020,"[4, 7, 5, 3]",834,442,74095,97461
3,822880,"[4, 7, 1]",697,447,79496,99681
3,299880,"[4, 7, 0]",730,454,87235,102831
5,445520,"[4, 7, 2, 5, 0]",1248,473,101456,111628
4,372380,"[4, 7, 2, 0]",1073,470,99869,110215
3,148500,"[4, 6, 2]",696,430,76333,92235
4,449880,"[4, 7, 3, 0]",1038,478,100527,114003
5,345520,"[4, 7, 2, 5, 3]",1177,471,95395,110685
4,895380,"[4, 7, 2, 1]",1040,469,95901,109746
4,221640,"[4, 6, 2, 5]",871,445,81569,98790
5,522380,"[4, 7, 2, 3, 0]",1381,488,108341,118828
3,199880,"[4, 7, 3]",659,404,66456,81406
6,595520,"[4, 7, 2, 5, 3, 0]",1556,490,109337,119805
3,149140,"[4, 6, 5]",528,378,46479,71253
5,371640,"[4, 6, 2, 5, 3]",1179,469,95354,109746
5,549140,"[4, 6, 5, 3, 0]",1215,482,102854,115921
5,471640,"[4, 6, 2, 5, 0]",1250,472,101362,111156
4,298500,"[4, 6, 2, 3]",1004,463,92528,106953
4,921500,"[4, 6, 2, 1]",1042,467,95743,108811
6,621640,"[4, 6, 2, 5, 3, 0]",1558,489,109271,119316
5,548500,"[4, 6, 2, 3, 0]",1383,488,108449,118828
3,226000,"[4, 6, 3]",661,428,68664,91378
5,523020,"[4, 7, 5, 3, 0]",1213,483,102626,116403
4,299140,"[4, 6, 5, 3]",836,442,75305,97461
4,896020,"[4, 7, 5, 1]",872,473,86623,111628
3,326000,"[4, 6, 0]",732,457,87946,104196
2,77100,"[4, 2]",588,420,74515,87990
4,922140,"[4, 6, 5, 1]",874,468,86568,109278
3,849000,"[4, 6, 1]",699,452,80152,101926
4,476000,"[4, 6, 3, 0]",1040,480,101163,114960
3,150240,"[4, 2, 5]",763,443,80314,97903
2,154600,"[4, 3]",553,398,65233,79003
4,399140,"[4, 6, 5, 0]",907,461,90902,106030
2,77740,"[4, 5]",420,350,42700,61075
3,327740,"[4, 5, 0]",799,458,89496,104653
3,227100,"[4, 2, 3]",896,462,91543,106491
3,327100,"[4, 2, 0]",967,467,99105,108811
4,300240,"[4, 2, 5, 3]",1071,469,94752,109746
4,400240,"[4, 2, 5, 0]",1142,471,100745,110685
4,923240,"[4, 2, 5, 1]",1109,476,98479,113050
3,850100,"[4, 2, 1]",934,465,94970,107880
3,227740,"[4, 5, 3]",728,437,72928,95266
1,45280,[7],106,106,5565,5565
4,477100,"[4, 2, 3, 0]",1275,487,107952,118341
5,550240,"[4, 2, 5, 3, 0]",1450,489,108967,119316
3,850740,"[4, 5, 1]",766,467,85171,108811
2,254600,"[4, 0]",624,447,85945,99681
4,477740,"[4, 5, 3, 0]",1107,481,102024,115440
2,116680,"[7, 6]",214,198,11223,19503
2,777600,"[4, 1]",591,438,77947,95703
3,404600,"[4, 3, 0]",932,476,99898,113050
3,927600,"[4, 3, 1]",899,481,97395,115440
4,373020,"[4, 7, 5, 0]",905,463,90722,106953
3,189820,"[7, 6, 5]",389,303,24866,45753
4,398500,"[4, 6, 2, 0]",1075,471,100012,110685
4,262320,"[7, 6, 2, 5]",732,419,70431,87571
4,439820,"[7, 6, 5, 0]",768,447,81233,99681
4,339180,"[7, 6, 2, 3]",865,445,84671,98790
3,266680,"[7, 6, 3]",522,386,54377,74305
5,512320,"[7, 6, 2, 5, 0]",1111,461,95810,106030
