subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,5000,[11],252,252,31626,31626
2,36288,"[11, 9]",651,575,108177,165025
3,196288,"[11, 9, 7]",1142,935,223225,436645
4,371288,"[11, 9, 7, 2]",2025,1374,566134,943251
5,671288,"[11, 9, 7, 2, 10]",2376,1412,591887,996166
5,771288,"[11, 9, 7, 2, 5]",2613,1497,679999,1119756
6,1071288,"[11, 9, 7, 2, 10, 5]",2964,1522,704115,1157481
6,1080288,"[11, 9, 7, 2, 10, 8]",2826,1502,654838,1127251
6,1180288,"[11, 9, 7, 2, 5, 8]",3063,1562,736207,1219141
4,605288,"[11, 9, 7, 8]",1592,1195,316101,713415
3,336288,"[11, 9, 10]",1002,835,167171,348195
4,1121288,"[11, 9, 10, 1]",1904,1327,536223,879801
4,745288,"[11, 9, 10, 8]",1452,1125,262742,632250
4,1171988,"[11, 9, 2, 3]",2290,1413,669997,997578
4,1162288,"[11, 9, 2, 6]",2097,1480,607274,1094460
4,996288,"[11, 9, 2, 1]",2436,1461,739616,1066530
4,1111288,"[11, 9, 2, 0]",2941,1781,1235168,1585090
4,736288,"[11, 9, 10, 5]",1590,1177,326162,692076
4,496288,"[11, 9, 7, 10]",1493,1016,254430,515620
4,596288,"[11, 9, 7, 5]",1730,1254,379673,785631
3,211288,"[11, 9, 2]",1534,1214,478726,736291
4,896288,"[11, 9, 7, 4]",1734,1286,384756,826255
5,780288,"[11, 9, 7, 2, 8]",2475,1476,630203,1088550
4,1147288,"[11, 9, 7, 6]",1705,1321,374618,871860
5,1145288,"[11, 9, 10, 5, 8]",2040,1360,411044,924120
5,1156288,"[11, 9, 7, 2, 1]",2927,1537,804942,1180416
4,981288,"[11, 9, 7, 1]",2044,1359,573645,922761
4,1096288,"[11, 9, 7, 0]",2549,1729,1120805,1493856
5,1071288,"[11, 9, 7, 2, 4]",2617,1534,688385,1175811
5,905288,"[11, 9, 7, 10, 8]",1943,1252,345968,783126
5,1196288,"[11, 9, 7, 10, 4]",2085,1346,414573,905185
4,611288,"[11, 9, 2, 5]",2122,1382,597066,954271
4,620288,"[11, 9, 2, 8]",1984,1352,546119,913276
5,1005288,"[11, 9, 7, 5, 8]",2180,1418,462026,1004653
5,896288,"[11, 9, 7, 10, 5]",2081,1306,409054,852165
4,511288,"[11, 9, 2, 10]",1885,1359,528890,922761
4,911288,"[11, 9, 2, 4]",2126,1410,604126,993345
5,911288,"[11, 9, 2, 10, 5]",2473,1489,644858,1107816
5,920288,"[11, 9, 2, 10, 8]",2335,1468,594759,1076778
5,1020288,"[11, 9, 2, 5, 8]",2572,1469,656388,1078246
4,1036288,"[11, 9, 10, 4]",1594,1207,330587,727821
4,1156988,"[11, 9, 7, 3]",1898,1264,463210,798216
3,436288,"[11, 9, 5]",1239,973,269730,472878
2,165000,"[11, 7]",743,688,150436,236328
3,445288,"[11, 9, 8]",1101,915,205547,418155
4,845288,"[11, 9, 5, 8]",1689,1196,356346,714610
3,936288,"[11, 9, 0]",2058,1615,1055292,1303305
3,987288,"[11, 9, 6]",1214,1033,263086,533028
3,996988,"[11, 9, 3]",1407,1069,370913,570846
