subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,26000,[5],271,271,36585,36585
2,82400,"[5, 0]",607,394,70287,77421
3,148400,"[5, 0, 4]",892,411,77919,84255
4,498400,"[5, 0, 4, 2]",1208,432,86230,93096
2,92000,"[5, 4]",556,386,62690,74305
3,432400,"[5, 0, 2]",923,426,82289,90525
3,732400,"[5, 0, 3]",903,435,83884,94395
2,676000,"[5, 3]",567,398,66049,79003
3,759631,"[5, 0, 1]",936,485,98190,117370
3,742000,"[5, 4, 3]",852,432,80652,93096
3,442000,"[5, 4, 2]",872,415,76489,85905
1,56400,[0],336,336,56280,56280
4,825631,"[5, 0, 4, 1]",1221,496,103824,122760
2,376000,"[5, 2]",587,365,61824,66430
1,66000,[4],285,285,40470,40470
2,122400,"[0, 4]",621,383,68547,73153
2,703231,"[5, 1]",600,405,71626,81810
4,798400,"[5, 0, 4, 3]",1188,445,88561,98790
2,406400,"[0, 2]",652,407,76160,82621
1,677231,[1],329,329,53956,53956
1,350000,[2],316,316,49770,49770
2,706400,"[0, 3]",632,404,74062,81406
3,769231,"[5, 4, 1]",885,475,92106,112575
2,733631,"[0, 1]",665,477,92658,113526
3,472400,"[0, 4, 2]",937,416,81226,86320
2,416000,"[4, 2]",601,392,68504,76636
3,799631,"[0, 4, 1]",950,489,100375,119316
3,772400,"[0, 4, 3]",917,421,81304,88410
2,743231,"[4, 1]",614,466,83548,108345
1,650000,[3],296,296,43660,43660
2,716000,"[4, 3]",581,398,67477,79003
