subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,12000,[2],265,265,34980,34980
2,24000,"[2, 4]",489,335,48175,55945
4,48000,"[2, 4, 10, 12]",624,403,52457,81003
3,36000,"[2, 4, 10]",586,381,51860,72390
5,63650,"[2, 4, 10, 12, 7]",782,482,62965,115921
6,93650,"[2, 4, 10, 12, 7, 6]",991,529,76980,139656
7,139550,"[2, 4, 10, 12, 7, 6, 9]",1100,545,80828,148240
8,220550,"[2, 4, 10, 12, 7, 6, 9, 0]",1435,583,110674,169653
12,875320,"[2, 4, 10, 12, 7, 6, 9, 0, 8, 1, 11, 5]",2179,618,135020,190653
9,305550,"[2, 4, 10, 12, 7, 6, 9, 0, 8]",1566,588,114140,172578
11,755320,"[2, 4, 10, 12, 7, 6, 9, 0, 8, 1, 5]",2108,609,134053,185136
11,655320,"[2, 4, 10, 12, 7, 6, 9, 0, 8, 1, 3]",2132,597,130982,177906
11,905550,"[2, 4, 10, 12, 7, 6, 9, 0, 8, 3, 5]",2028,606,130560,183315
10,655550,"[2, 4, 10, 12, 7, 6, 9, 0, 8, 5]",1785,604,124256,182106
9,320320,"[2, 4, 10, 12, 7, 6, 9, 0, 1]",1758,588,122848,172578
10,405320,"[2, 4, 10, 12, 7, 6, 9, 0, 8, 1]",1889,593,125624,175528
11,525320,"[2, 4, 10, 12, 7, 6, 9, 0, 8, 1, 11]",1960,602,126615,180901
10,440320,"[2, 4, 10, 12, 7, 6, 9, 0, 1, 11]",1829,597,123862,177906
12,775320,"[2, 4, 10, 12, 7, 6, 9, 0, 8, 1, 11, 3]",2203,606,131887,183315
11,690320,"[2, 4, 10, 12, 7, 6, 9, 0, 1, 11, 3]",2072,603,129836,181503
11,675550,"[2, 4, 10, 12, 7, 6, 9, 0, 8, 11, 3]",1880,601,123950,180300
10,425550,"[2, 4, 10, 12, 7, 6, 9, 0, 8, 11]",1637,597,115300,177906
9,340550,"[2, 4, 10, 12, 7, 6, 9, 0, 11]",1506,592,111857,174936
10,570320,"[2, 4, 10, 12, 7, 6, 9, 0, 1, 3]",2001,594,128908,176121
11,790320,"[2, 4, 10, 12, 7, 6, 9, 0, 1, 11, 5]",2048,618,132960,190653
10,690550,"[2, 4, 10, 12, 7, 6, 9, 0, 11, 5]",1725,613,122755,187578
10,555550,"[2, 4, 10, 12, 7, 6, 9, 0, 8, 3]",1809,592,122923,174936
11,775550,"[2, 4, 10, 12, 7, 6, 9, 0, 8, 11, 5]",1856,613,125391,187578
10,670320,"[2, 4, 10, 12, 7, 6, 9, 0, 1, 5]",1977,609,131970,185136
9,470550,"[2, 4, 10, 12, 7, 6, 9, 0, 3]",1678,589,120344,173166
11,920320,"[2, 4, 10, 12, 7, 6, 9, 0, 1, 3, 5]",2220,611,136157,186355
11,940550,"[2, 4, 10, 12, 7, 6, 9, 0, 11, 3, 5]",1968,615,129510,188805
10,590550,"[2, 4, 10, 12, 7, 6, 9, 0, 11, 3]",1749,598,121394,178503
10,820550,"[2, 4, 10, 12, 7, 6, 9, 0, 3, 5]",1897,606,128473,183315
9,570550,"[2, 4, 10, 12, 7, 6, 9, 0, 5]",1654,604,121597,182106
8,224550,"[2, 4, 10, 12, 7, 6, 9, 8]",1231,560,85604,156520
9,344550,"[2, 4, 10, 12, 7, 6, 9, 8, 11]",1302,571,87121,162735
8,239320,"[2, 4, 10, 12, 7, 6, 9, 1]",1423,575,107059,165025
9,324320,"[2, 4, 10, 12, 7, 6, 9, 8, 1]",1554,583,110779,169653
8,259550,"[2, 4, 10, 12, 7, 6, 9, 11]",1171,557,82377,154846
9,474550,"[2, 4, 10, 12, 7, 6, 9, 8, 3]",1474,574,101106,164451
