subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,10000,[11],59,59,1711,1711
3,51700,"[11, 9, 2]",666,538,116251,144453
4,75700,"[11, 9, 2, 7]",915,677,141886,228826
2,30000,"[11, 9]",199,172,11090,14706
7,155700,"[11, 9, 2, 7, 3, 6, 10]",1769,840,233842,352380
6,125700,"[11, 9, 2, 7, 3, 6]",1662,838,231670,350703
5,100700,"[11, 9, 2, 7, 3]",1341,822,208197,337431
9,620700,"[11, 9, 2, 7, 3, 6, 10, 8, 0]",2445,864,282196,372816
10,680700,"[11, 9, 2, 7, 3, 6, 10, 8, 5, 0]",2818,872,299952,379756
8,216630,"[11, 9, 2, 7, 3, 6, 10, 1]",2260,867,279027,375411
8,198700,"[11, 9, 2, 7, 3, 6, 10, 8]",1924,846,239059,357435
9,258700,"[11, 9, 2, 7, 3, 6, 10, 8, 5]",2297,857,264663,366796
8,577700,"[11, 9, 2, 7, 3, 6, 10, 0]",2290,861,278292,370230
10,319630,"[11, 9, 2, 7, 3, 6, 10, 8, 5, 1]",2788,876,302278,383250
10,698630,"[11, 9, 2, 7, 3, 6, 10, 5, 1, 0]",3154,887,325599,392941
9,637700,"[11, 9, 2, 7, 3, 6, 10, 5, 0]",2663,871,296541,378885
9,259630,"[11, 9, 2, 7, 3, 6, 10, 8, 1]",2415,871,282569,378885
9,805900,"[11, 9, 2, 7, 3, 6, 10, 5, 4]",2517,868,285548,376278
9,638630,"[11, 9, 2, 7, 3, 6, 10, 1, 0]",2781,882,311452,388521
11,741630,"[11, 9, 2, 7, 3, 6, 10, 8, 5, 1, 0]",3309,887,327739,392941
8,215700,"[11, 9, 2, 7, 3, 6, 10, 5]",2142,855,260086,365085
9,806830,"[11, 9, 2, 7, 3, 6, 10, 1, 4]",2635,873,296136,380628
9,276630,"[11, 9, 2, 7, 3, 6, 10, 5, 1]",2633,875,299253,382375
8,745900,"[11, 9, 2, 7, 3, 6, 10, 4]",2144,855,262793,365085
9,788900,"[11, 9, 2, 7, 3, 6, 10, 8, 4]",2299,861,267133,370230
10,681630,"[11, 9, 2, 7, 3, 6, 10, 8, 1, 0]",2936,883,313970,389403
7,168700,"[11, 9, 2, 7, 3, 6, 8]",1817,846,237187,357435
8,229630,"[11, 9, 2, 7, 3, 6, 8, 1]",2308,871,281190,378885
7,185700,"[11, 9, 2, 7, 3, 6, 5]",2035,853,258010,363378
6,130700,"[11, 9, 2, 7, 3, 10]",1448,826,210526,340725
8,758900,"[11, 9, 2, 7, 3, 6, 8, 4]",2192,861,265693,370230
7,173700,"[11, 9, 2, 7, 3, 10, 8]",1603,834,216298,347361
7,715900,"[11, 9, 2, 7, 3, 6, 4]",2037,855,261079,365085
8,590700,"[11, 9, 2, 7, 3, 6, 8, 0]",2338,864,280658,372816
7,186630,"[11, 9, 2, 7, 3, 6, 1]",2153,866,277445,374545
7,547700,"[11, 9, 2, 7, 3, 6, 0]",2183,860,276487,369370
9,819830,"[11, 9, 2, 7, 3, 6, 8, 1, 4]",2683,877,298096,384126
8,228700,"[11, 9, 2, 7, 3, 6, 8, 5]",2190,857,262884,366796
9,651630,"[11, 9, 2, 7, 3, 6, 8, 1, 0]",2829,883,312885,389403
8,233700,"[11, 9, 2, 7, 3, 10, 8, 5]",1976,850,248121,360825
8,607700,"[11, 9, 2, 7, 3, 6, 5, 0]",2556,870,294804,378015
8,246630,"[11, 9, 2, 7, 3, 6, 5, 1]",2526,874,297767,381501
8,608630,"[11, 9, 2, 7, 3, 6, 1, 0]",2674,881,310195,387640
8,776830,"[11, 9, 2, 7, 3, 6, 1, 4]",2528,873,294849,380628
8,775900,"[11, 9, 2, 7, 3, 6, 5, 4]",2410,868,283920,376278
9,836830,"[11, 9, 2, 7, 3, 6, 5, 1, 4]",2901,880,312598,386760
8,234630,"[11, 9, 2, 7, 3, 10, 8, 1]",2094,863,266415,371953
9,655700,"[11, 9, 2, 7, 3, 10, 8, 5, 0]",2497,866,287500,374545
9,294630,"[11, 9, 2, 7, 3, 10, 8, 5, 1]",2467,872,291249,379756
9,289630,"[11, 9, 2, 7, 3, 6, 8, 5, 1]",2681,876,300992,383250
9,668630,"[11, 9, 2, 7, 3, 6, 5, 1, 0]",3047,886,324410,392055
9,823900,"[11, 9, 2, 7, 3, 10, 8, 5, 4]",2351,863,275220,371953
9,656630,"[11, 9, 2, 7, 3, 10, 8, 1, 0]",2615,876,302255,383250
9,824830,"[11, 9, 2, 7, 3, 10, 8, 1, 4]",2469,870,285003,378015
9,818900,"[11, 9, 2, 7, 3, 6, 8, 5, 4]",2565,870,287912,378015
9,650700,"[11, 9, 2, 7, 3, 6, 8, 5, 0]",2711,872,298479,379756
10,716630,"[11, 9, 2, 7, 3, 10, 8, 5, 1, 0]",2988,883,319461,389403
10,711630,"[11, 9, 2, 7, 3, 6, 8, 5, 1, 0]",3202,887,326719,392941
7,204630,"[11, 9, 2, 7, 3, 8, 1]",1987,862,264920,371091
8,595700,"[11, 9, 2, 7, 3, 10, 8, 0]",2124,855,265436,365085
7,190700,"[11, 9, 2, 7, 3, 10, 5]",1821,847,243084,358281
8,763900,"[11, 9, 2, 7, 3, 10, 8, 4]",1978,850,247253,360825
6,143700,"[11, 9, 2, 7, 3, 8]",1496,832,214278,345696
