subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,25000,[3],694,694,240471,240471
4,244066,"[3, 2, 6, 1]",2902,1272,682642,808356
2,55000,"[3, 2]",1535,1011,456665,510555
3,91600,"[3, 2, 6]",2042,1121,518300,627760
5,229000,"[3, 2, 6, 5, 7]",3046,1194,600519,712221
5,214000,"[3, 2, 6, 5, 4]",3232,1211,628662,732655
4,171600,"[3, 2, 6, 4]",2657,1197,593309,715806
4,186600,"[3, 2, 6, 7]",2471,1166,554713,679195
4,341600,"[3, 2, 6, 0]",3057,1305,754507,850860
5,286466,"[3, 2, 6, 5, 1]",3477,1293,716978,835278
6,309000,"[3, 2, 6, 5, 4, 7]",3661,1232,651578,758296
5,266600,"[3, 2, 6, 4, 7]",3086,1221,622372,744810
5,384000,"[3, 2, 6, 5, 0]",3632,1315,775624,863955
6,366466,"[3, 2, 6, 5, 4, 1]",4092,1302,747667,846951
6,464000,"[3, 2, 6, 5, 4, 0]",4247,1328,799180,881128
6,381466,"[3, 2, 6, 5, 7, 1]",3906,1304,734025,849556
5,324066,"[3, 2, 6, 4, 1]",3517,1293,726694,835278
5,339066,"[3, 2, 6, 7, 1]",3331,1286,705572,826255
6,479000,"[3, 2, 6, 5, 7, 0]",4061,1325,789023,877150
7,461466,"[3, 2, 6, 5, 4, 7, 1]",4521,1312,761255,860016
5,421600,"[3, 2, 6, 4, 0]",3672,1323,786707,874503
6,536466,"[3, 2, 6, 5, 1, 0]",4492,1357,838504,920046
6,419066,"[3, 2, 6, 4, 7, 1]",3946,1304,744247,849556
7,631466,"[3, 2, 6, 5, 7, 1, 0]",4921,1363,847588,928203
6,516600,"[3, 2, 6, 4, 7, 0]",4101,1332,800090,886446
7,559000,"[3, 2, 6, 5, 4, 7, 0]",4676,1337,810260,893116
7,616466,"[3, 2, 6, 5, 4, 1, 0]",5107,1362,852910,926841
6,574066,"[3, 2, 6, 4, 1, 0]",4532,1358,844510,921403
6,589066,"[3, 2, 6, 7, 1, 0]",4346,1356,835850,918690
8,711466,"[3, 2, 6, 5, 4, 7, 1, 0]",5536,1367,860409,933661
7,669066,"[3, 2, 6, 4, 7, 1, 0]",4961,1363,853491,928203
3,97400,"[3, 2, 5]",2110,1118,524644,624403
5,494066,"[3, 2, 6, 1, 0]",3917,1350,824020,910575
5,329866,"[3, 2, 5, 4, 1]",3585,1293,728735,835278
4,177400,"[3, 2, 5, 4]",2725,1186,593603,702705
4,134000,"[3, 2, 6, 5]",2617,1169,572417,682696
