subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,30,[6],75,75,2775,2775
2,110,"[6, 4]",185,128,7174,8128
3,260,"[6, 4, 3]",314,161,11273,12880
4,410,"[6, 4, 3, 7]",373,166,11600,13695
5,560,"[6, 4, 3, 7, 8]",432,167,11732,13861
6,750,"[6, 4, 3, 7, 8, 2]",563,178,13784,15753
7,950,"[6, 4, 3, 7, 8, 2, 5]",660,182,14377,16471
6,760,"[6, 4, 3, 7, 8, 5]",529,172,12497,14706
7,1160,"[6, 4, 3, 7, 8, 2, 1]",706,184,15500,16836
7,1170,"[6, 4, 3, 7, 8, 5, 1]",672,184,15138,16836
5,600,"[6, 4, 3, 7, 2]",504,177,13675,15576
6,970,"[6, 4, 3, 7, 8, 1]",575,180,14628,16110
5,610,"[6, 4, 3, 7, 5]",470,171,12384,14535
6,1010,"[6, 4, 3, 7, 2, 1]",647,183,15410,16653
6,800,"[6, 4, 3, 7, 2, 5]",601,181,14272,16290
5,610,"[6, 4, 3, 8, 5]",470,171,12387,14535
5,820,"[6, 4, 3, 7, 1]",516,179,14532,15931
6,1020,"[6, 4, 3, 8, 5, 1]",613,183,15045,16653
6,1020,"[6, 4, 3, 7, 5, 1]",613,183,15046,16653
7,1210,"[6, 4, 3, 7, 2, 5, 1]",744,187,15867,17391
4,410,"[6, 4, 3, 8]",373,166,11598,13695
6,800,"[6, 4, 3, 8, 2, 5]",601,181,14272,16290
7,1210,"[6, 4, 3, 8, 2, 5, 1]",744,187,15865,17391
6,1010,"[6, 4, 3, 8, 2, 1]",647,183,15407,16653
5,860,"[6, 4, 3, 2, 1]",588,180,15205,16110
6,1060,"[6, 4, 3, 2, 5, 1]",685,184,15673,16836
5,820,"[6, 4, 3, 8, 1]",516,179,14529,15931
4,450,"[6, 4, 3, 2]",445,173,13402,14878
5,600,"[6, 4, 3, 8, 2]",504,177,13669,15576
5,650,"[6, 4, 3, 2, 5]",542,177,14025,15576
4,670,"[6, 4, 3, 1]",457,176,14310,15400
3,260,"[6, 4, 7]",244,138,7789,9453
4,460,"[6, 4, 3, 5]",411,167,12116,13861
4,410,"[6, 4, 7, 8]",303,139,7983,9591
6,800,"[6, 4, 7, 8, 2, 5]",531,175,12888,15225
5,870,"[6, 4, 3, 5, 1]",554,180,14843,16110
5,600,"[6, 4, 7, 8, 2]",434,166,11750,13695
6,1010,"[6, 4, 7, 8, 2, 1]",577,180,14459,16110
7,1210,"[6, 4, 7, 8, 2, 5, 1]",674,186,15228,17205
4,450,"[6, 4, 7, 2]",375,165,11617,13530
5,820,"[6, 4, 7, 8, 1]",446,171,12821,14535
5,650,"[6, 4, 7, 2, 5]",472,174,12770,15051
3,260,"[6, 4, 8]",244,136,7690,9180
5,860,"[6, 4, 7, 2, 1]",518,179,14349,15931
4,460,"[6, 4, 7, 5]",341,152,9472,11476
4,450,"[6, 4, 8, 2]",375,164,11563,13366
5,610,"[6, 4, 7, 8, 5]",400,153,9630,11628
5,870,"[6, 4, 7, 5, 1]",484,179,13735,15931
5,860,"[6, 4, 8, 2, 1]",518,179,14334,15931
4,710,"[6, 4, 2, 1]",459,175,14058,15225
5,650,"[6, 4, 8, 2, 5]",472,174,12764,15051
6,1060,"[6, 4, 8, 2, 5, 1]",615,185,15128,17020
4,720,"[6, 4, 5, 1]",425,175,13424,15225
4,460,"[6, 4, 8, 5]",341,152,9446,11476
2,180,"[6, 3]",204,139,8951,9591
4,670,"[6, 4, 8, 1]",387,170,12648,14365
3,330,"[6, 3, 7]",263,145,9354,10440
4,480,"[6, 3, 7, 8]",322,147,9557,10731
5,870,"[6, 4, 8, 5, 1]",484,179,13720,15931
3,310,"[6, 4, 5]",282,146,9035,10585
3,520,"[6, 4, 1]",328,165,12290,13530
4,500,"[6, 4, 2, 5]",413,170,12474,14365
5,680,"[6, 3, 7, 8, 5]",419,157,10712,12246
5,910,"[6, 4, 2, 5, 1]",556,182,14903,16471
3,330,"[6, 3, 8]",263,146,9391,10585
4,670,"[6, 4, 7, 1]",387,170,12686,14365
5,670,"[6, 3, 7, 8, 2]",453,175,13088,15225
4,530,"[6, 3, 7, 5]",360,156,10561,12090
5,720,"[6, 3, 7, 2, 5]",491,179,13678,15931
6,1080,"[6, 3, 7, 8, 2, 1]",596,184,15379,16836
6,1020,"[6, 4, 7, 8, 5, 1]",543,180,13853,16110
4,520,"[6, 3, 8, 2]",394,174,12961,15051
6,870,"[6, 3, 7, 8, 2, 5]",550,180,13802,16110
5,890,"[6, 3, 7, 8, 1]",465,180,14247,16110
4,520,"[6, 3, 7, 2]",394,174,12953,15051
6,1060,"[6, 4, 7, 2, 5, 1]",615,185,15131,17020
7,1280,"[6, 3, 7, 8, 2, 5, 1]",693,188,15849,17578
3,300,"[6, 4, 2]",316,159,11212,12561
5,940,"[6, 3, 7, 5, 1]",503,183,14725,16653
5,930,"[6, 3, 7, 2, 1]",537,183,15286,16653
6,1130,"[6, 3, 7, 2, 5, 1]",634,187,15759,17391
6,1090,"[6, 3, 7, 8, 5, 1]",562,184,14822,16836
4,740,"[6, 3, 7, 1]",406,179,14142,15931
4,530,"[6, 3, 8, 5]",360,156,10580,12090
4,570,"[6, 3, 2, 5]",432,174,13391,15051
3,370,"[6, 3, 2]",335,169,12636,14196
3,590,"[6, 3, 1]",347,176,13891,15400
4,780,"[6, 3, 2, 1]",478,180,15069,16110
4,740,"[6, 3, 8, 1]",406,179,14130,15931
2,180,"[6, 7]",134,95,3745,4465
5,930,"[6, 3, 8, 2, 1]",537,183,15282,16653
5,980,"[6, 3, 2, 5, 1]",575,184,15557,16836
4,790,"[6, 3, 5, 1]",444,180,14503,16110
4,520,"[6, 7, 8, 2]",324,159,10443,12561
3,380,"[6, 3, 5]",301,151,10233,11325
3,330,"[6, 7, 8]",193,100,4155,4950
5,930,"[6, 7, 8, 2, 1]",467,178,14062,15753
5,720,"[6, 3, 8, 2, 5]",491,179,13686,15931
3,590,"[6, 7, 1]",277,165,11611,13530
4,530,"[6, 7, 8, 5]",290,130,6814,8385
4,780,"[6, 7, 2, 1]",408,177,13933,15576
5,940,"[6, 3, 8, 5, 1]",503,183,14718,16653
4,740,"[6, 7, 8, 1]",336,166,11792,13695
5,720,"[6, 7, 8, 2, 5]",421,171,11910,14535
5,940,"[6, 7, 8, 5, 1]",433,176,13048,15400
3,370,"[6, 7, 2]",265,157,10226,12246
6,1130,"[6, 3, 8, 2, 5, 1]",634,187,15756,17391
5,980,"[6, 7, 2, 5, 1]",505,183,14784,16653
4,790,"[6, 7, 5, 1]",374,175,12899,15225
3,380,"[6, 7, 5]",231,127,6513,8001
6,1130,"[6, 7, 8, 2, 5, 1]",564,184,14891,16836
2,180,"[6, 8]",134,93,3666,4278
4,570,"[6, 7, 2, 5]",362,169,11729,14196
3,370,"[6, 8, 2]",265,157,10210,12246
5,980,"[6, 8, 2, 5, 1]",505,183,14780,16653
