subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,2000,[4],120,120,7140,7140
2,5000,"[4, 5]",212,189,11073,17766
1,3000,[5],92,92,4186,4186
3,8500,"[4, 5, 3]",349,271,19606,36585
2,8700,"[4, 0]",309,246,22953,30135
2,6500,"[5, 3]",229,201,13124,20100
2,8200,"[5, 6]",165,153,6748,11628
1,3500,[3],137,137,9316,9316
2,9700,"[5, 0]",281,247,21391,30381
1,5200,[6],73,73,2628,2628
2,8700,"[3, 6]",210,187,11691,17391
1,6700,[0],189,189,17766,17766
1,8300,[1],178,178,15753,15753
1,9500,[7],65,65,2080,2080
1,8300,[2],142,142,10011,10011
2,7200,"[4, 6]",193,171,9537,14535
2,5500,"[4, 3]",257,228,16050,25878
