subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,1000,[3],100,100,4950,4950
2,2000,"[3, 8]",162,109,5463,5886
3,7000,"[3, 8, 0]",302,167,12082,13861
4,12000,"[3, 8, 0, 5]",393,182,13474,16471
6,37000,"[3, 8, 0, 5, 6, 2]",577,187,15527,17391
6,34000,"[3, 8, 0, 5, 6, 7]",547,185,14226,17020
6,42000,"[3, 8, 0, 5, 6, 9]",531,193,14455,18528
5,22000,"[3, 8, 0, 5, 6]",475,183,13814,16653
5,24000,"[3, 8, 0, 5, 7]",465,185,13945,17020
6,42000,"[3, 8, 0, 5, 6, 10]",529,194,14513,18721
7,49000,"[3, 8, 0, 5, 6, 7, 2]",649,188,15836,17578
5,42000,"[3, 8, 0, 5, 4]",491,207,16278,21321
6,39000,"[3, 8, 0, 5, 7, 2]",567,188,15595,17578
6,44000,"[3, 8, 0, 5, 7, 10]",519,196,14659,19110
5,27000,"[3, 8, 0, 5, 2]",495,186,15227,17205
6,47000,"[3, 8, 0, 5, 2, 9]",551,195,15847,18915
5,32000,"[3, 8, 0, 5, 9]",449,192,14149,18336
6,47000,"[3, 8, 0, 5, 2, 10]",549,198,15881,19503
6,44000,"[3, 8, 0, 5, 7, 9]",521,194,14546,18721
4,17000,"[3, 8, 0, 6]",384,170,12539,14365
5,32000,"[3, 8, 0, 5, 10]",447,194,14205,18721
5,29000,"[3, 8, 0, 6, 7]",456,174,13050,15051
6,44000,"[3, 8, 0, 6, 7, 2]",558,188,15152,17578
5,39000,"[3, 8, 0, 7, 10]",428,186,13443,17205
6,49000,"[3, 8, 0, 6, 7, 10]",510,186,13785,17205
4,22000,"[3, 8, 0, 2]",404,184,14359,16836
5,49000,"[3, 8, 0, 7, 4]",472,206,15665,21115
5,32000,"[3, 8, 0, 6, 2]",486,186,14760,17205
5,39000,"[3, 8, 0, 7, 9]",430,183,13347,16653
4,27000,"[3, 8, 0, 9]",358,179,12845,15931
5,34000,"[3, 8, 0, 7, 2]",476,188,14835,17578
5,42000,"[3, 8, 0, 2, 10]",458,196,15043,19110
5,47000,"[3, 8, 0, 9, 10]",412,193,13622,18528
6,49000,"[3, 8, 0, 6, 7, 9]",512,184,13697,16836
4,19000,"[3, 8, 0, 7]",374,173,12677,14878
5,37000,"[3, 8, 0, 6, 9]",440,181,13261,16290
4,17000,"[3, 8, 5, 6]",335,163,9821,13203
5,29000,"[3, 8, 5, 6, 7]",407,165,10399,13530
4,37000,"[3, 8, 0, 4]",400,202,15089,20301
4,27000,"[3, 8, 0, 10]",356,181,12865,16290
5,37000,"[3, 8, 0, 6, 10]",438,182,13287,16471
6,49000,"[3, 8, 5, 6, 7, 9]",463,174,11110,15051
3,7000,"[3, 8, 5]",253,144,8070,10296
5,47000,"[3, 8, 0, 6, 4]",482,205,15532,20910
5,42000,"[3, 8, 0, 2, 9]",460,194,15061,18721
6,49000,"[3, 8, 5, 6, 7, 10]",461,176,11224,15400
6,44000,"[3, 8, 5, 6, 7, 2]",509,187,13265,17391
5,37000,"[3, 8, 5, 6, 9]",391,173,10625,14878
5,32000,"[3, 8, 5, 6, 2]",437,186,12794,17205
5,37000,"[3, 8, 5, 6, 10]",389,174,10660,15051
4,37000,"[3, 8, 5, 4]",351,192,12137,18336
5,47000,"[3, 8, 5, 6, 4]",433,207,13670,21321
5,39000,"[3, 8, 5, 7, 9]",381,163,9595,13203
4,27000,"[3, 8, 5, 10]",307,162,9001,13041
5,47000,"[3, 8, 6, 2, 10]",400,194,12019,18721
4,42000,"[3, 8, 6, 4]",342,194,11645,18721
5,44000,"[3, 8, 6, 7, 10]",370,164,9303,13366
5,39000,"[3, 8, 6, 7, 2]",418,180,11765,16110
5,49000,"[3, 8, 5, 7, 4]",423,198,12875,19503
4,32000,"[3, 8, 6, 10]",298,158,8573,12403
4,19000,"[3, 8, 5, 7]",325,151,8830,11325
3,14000,"[3, 8, 7]",234,122,6428,7381
5,42000,"[3, 8, 5, 2, 10]",409,190,12138,17955
4,27000,"[3, 8, 6, 2]",346,177,11160,15576
5,39000,"[3, 8, 5, 7, 10]",379,168,9743,14028
3,12000,"[3, 8, 6]",244,139,7566,9591
4,24000,"[3, 8, 6, 7]",316,145,8310,10440
5,34000,"[3, 8, 5, 7, 2]",427,183,11988,16653
4,22000,"[3, 8, 5, 2]",355,178,11353,15753
5,47000,"[3, 8, 5, 9, 10]",363,178,9880,15753
4,27000,"[3, 8, 5, 9]",309,160,8955,12720
5,42000,"[3, 8, 5, 2, 9]",411,190,12162,17955
5,44000,"[3, 8, 6, 7, 9]",372,162,9234,13041
5,47000,"[3, 8, 6, 2, 9]",402,193,12120,18528
4,32000,"[3, 8, 6, 9]",300,158,8607,12403
4,29000,"[3, 8, 7, 2]",336,168,10197,14028
4,34000,"[3, 8, 7, 10]",288,148,7512,10878
5,49000,"[3, 8, 7, 2, 9]",392,183,11098,16653
5,49000,"[3, 8, 7, 2, 10]",390,185,11107,17020
4,44000,"[3, 8, 7, 4]",332,187,10738,17391
4,34000,"[3, 8, 7, 9]",290,142,7410,10011
3,22000,"[3, 8, 9]",218,135,6592,9045
4,37000,"[3, 8, 2, 9]",320,180,10444,16110
4,42000,"[3, 8, 9, 10]",272,156,7673,12090
4,37000,"[3, 8, 2, 10]",318,178,10328,15753
3,17000,"[3, 8, 2]",264,160,9402,12720
3,32000,"[3, 8, 4]",260,176,9796,15400
3,22000,"[3, 8, 10]",216,136,6565,9180
2,6000,"[3, 0]",240,164,11830,13366
4,47000,"[3, 8, 2, 4]",362,197,13180,19306
3,11000,"[3, 0, 5]",331,180,13255,16110
4,21000,"[3, 0, 5, 6]",413,181,13633,16290
3,16000,"[3, 0, 6]",322,168,12340,14028
4,31000,"[3, 0, 6, 2]",424,186,14625,17205
5,41000,"[3, 0, 5, 6, 9]",469,191,14282,18145
5,43000,"[3, 0, 6, 7, 2]",496,188,15099,17578
5,36000,"[3, 0, 5, 6, 2]",515,187,15409,17391
4,31000,"[3, 0, 5, 10]",385,193,14005,18528
5,38000,"[3, 0, 5, 7, 2]",505,188,15527,17578
5,48000,"[3, 0, 6, 7, 9]",450,184,13616,16836
4,23000,"[3, 0, 5, 7]",403,185,13845,17020
5,33000,"[3, 0, 5, 6, 7]",485,185,14153,17020
5,48000,"[3, 0, 6, 7, 10]",448,186,13709,17205
6,48000,"[3, 0, 5, 6, 7, 2]",587,188,15793,17578
4,26000,"[3, 0, 5, 2]",433,186,15073,17205
5,41000,"[3, 0, 5, 6, 10]",467,193,14350,18528
5,43000,"[3, 0, 5, 7, 9]",459,194,14448,18721
4,31000,"[3, 0, 5, 9]",387,190,13945,17955
4,28000,"[3, 0, 6, 7]",394,174,12966,15051
5,43000,"[3, 0, 5, 7, 10]",457,196,14568,19110
4,36000,"[3, 0, 6, 9]",378,179,13077,15931
5,46000,"[3, 0, 5, 2, 10]",487,198,15737,19503
5,46000,"[3, 0, 5, 2, 9]",489,195,15708,18915
4,41000,"[3, 0, 5, 4]",429,205,16062,20910
3,18000,"[3, 0, 7]",312,173,12563,14878
4,46000,"[3, 0, 6, 4]",420,203,15336,20503
3,26000,"[3, 0, 9]",296,177,12617,15576
4,46000,"[3, 0, 9, 10]",350,192,13413,18336
4,36000,"[3, 0, 6, 10]",376,181,13106,16290
4,38000,"[3, 0, 7, 9]",368,183,13238,16653
4,41000,"[3, 0, 2, 9]",398,194,14899,18721
4,38000,"[3, 0, 7, 10]",366,186,13338,17205
3,21000,"[3, 0, 2]",342,183,14173,16653
2,6000,"[3, 5]",191,137,7614,9316
3,36000,"[3, 0, 4]",338,199,14840,19701
3,26000,"[3, 0, 10]",294,179,12632,15931
4,38000,"[3, 5, 7, 10]",317,166,9495,13695
5,48000,"[3, 5, 6, 7, 9]",401,174,10967,15051
5,43000,"[3, 5, 6, 7, 2]",447,187,13149,17391
4,33000,"[3, 5, 7, 2]",365,181,11758,16290
4,41000,"[3, 0, 2, 10]",396,195,14867,18915
3,16000,"[3, 5, 6]",273,160,9523,12720
4,48000,"[3, 0, 7, 4]",410,206,15553,21115
4,33000,"[3, 0, 7, 2]",414,188,14754,17578
4,28000,"[3, 5, 6, 7]",345,165,10253,13530
