subset_size,total_cost,subset_indices,AV,CC,PAIRS,CONS
0,0,[],0,0,0,0
1,5000,[0],53,53,1378,1378
2,10000,"[0, 4]",92,58,1558,1653
3,15000,"[0, 4, 7]",114,59,1611,1711
4,25000,"[0, 4, 7, 3]",158,66,1914,2145
5,35000,"[0, 4, 7, 3, 6]",190,67,2027,2211
5,45000,"[0, 4, 7, 3, 2]",205,93,2812,4278
4,25000,"[0, 4, 7, 6]",146,65,1803,2080
4,45000,"[0, 4, 7, 8]",132,72,1756,2556
5,45000,"[0, 4, 7, 6, 2]",193,91,2681,4095
4,50000,"[0, 4, 3, 1]",184,79,2522,3081
4,35000,"[0, 4, 7, 2]",161,86,2516,3655
4,45000,"[0, 4, 7, 1]",162,79,2364,3081
3,20000,"[0, 4, 3]",136,65,1882,2080
4,30000,"[0, 4, 3, 6]",168,67,2015,2211
5,50000,"[0, 4, 3, 6, 2]",215,93,2892,4278
4,40000,"[0, 4, 3, 2]",183,93,2792,4278
4,50000,"[0, 4, 3, 8]",154,77,2021,2926
3,20000,"[0, 4, 6]",124,65,1778,2080
5,50000,"[0, 7, 3, 6, 2]",198,93,2876,4278
4,50000,"[0, 4, 6, 8]",142,77,1923,2926
3,30000,"[0, 4, 2]",139,86,2483,3655
3,20000,"[0, 7, 6]",107,65,1713,2080
3,40000,"[0, 4, 1]",140,78,2315,3003
4,50000,"[0, 7, 6, 8]",125,77,1860,2926
3,40000,"[0, 4, 8]",110,71,1703,2485
2,15000,"[0, 3]",97,64,1796,2016
3,40000,"[0, 7, 1]",123,78,2244,3003
2,10000,"[0, 7]",75,58,1473,1653
4,40000,"[0, 4, 6, 2]",171,91,2658,4095
4,50000,"[0, 7, 6, 1]",155,81,2440,3240
4,50000,"[0, 4, 6, 1]",172,81,2495,3240
4,45000,"[0, 3, 6, 2]",176,93,2851,4278
3,20000,"[0, 7, 3]",119,66,1858,2145
3,35000,"[0, 3, 2]",144,92,2718,4186
3,40000,"[0, 7, 8]",93,71,1620,2485
2,15000,"[0, 6]",85,64,1664,2016
4,40000,"[0, 7, 3, 2]",166,93,2760,4278
3,45000,"[0, 3, 8]",115,76,1936,2850
3,45000,"[0, 3, 1]",145,79,2456,3081
1,5000,[4],39,39,741,741
3,45000,"[0, 6, 8]",103,77,1811,2926
3,45000,"[0, 6, 1]",133,80,2396,3160
4,50000,"[0, 7, 3, 8]",137,78,1998,3003
4,40000,"[0, 7, 6, 2]",154,91,2593,4095
2,25000,"[0, 2]",100,84,2339,3486
2,35000,"[0, 1]",101,74,2155,2701
3,20000,"[4, 7, 3]",105,59,1452,1711
4,50000,"[0, 7, 3, 1]",167,80,2512,3160
4,30000,"[4, 7, 3, 6]",137,61,1615,1830
5,50000,"[4, 7, 3, 6, 2]",184,87,2494,3741
2,10000,"[4, 7]",61,48,894,1128
2,35000,"[0, 8]",71,67,1525,2211
4,30000,"[0, 7, 3, 6]",151,67,2001,2211
4,50000,"[4, 7, 3, 1]",153,75,2180,2775
4,40000,"[4, 7, 3, 2]",152,86,2354,3655
3,30000,"[0, 7, 2]",122,86,2401,3655
3,25000,"[0, 3, 6]",129,67,1974,2211
3,35000,"[0, 6, 2]",132,90,2550,4005
3,20000,"[4, 7, 6]",93,55,1156,1485
4,50000,"[4, 7, 3, 8]",123,71,1593,2485
3,30000,"[4, 7, 2]",108,76,1834,2850
3,40000,"[4, 7, 8]",79,63,1044,1953
4,50000,"[4, 7, 6, 1]",141,73,2006,2628
2,15000,"[4, 3]",83,57,1362,1596
4,40000,"[4, 7, 6, 2]",140,82,2049,3321
3,25000,"[4, 3, 6]",115,61,1570,1830
4,50000,"[4, 7, 6, 8]",111,69,1306,2346
4,45000,"[4, 3, 6, 2]",162,87,2451,3741
3,40000,"[4, 7, 1]",109,71,1794,2485
2,35000,"[4, 8]",57,54,891,1431
3,35000,"[4, 3, 2]",130,85,2292,3570
3,35000,"[4, 6, 2]",118,79,1969,3081
2,35000,"[4, 1]",87,66,1659,2145
3,45000,"[4, 3, 8]",101,69,1503,2346
2,15000,"[4, 6]",71,52,1066,1326
3,45000,"[4, 3, 1]",131,74,2105,2701
2,15000,"[7, 3]",66,53,1099,1378
3,25000,"[7, 3, 6]",98,60,1372,1770
2,25000,"[4, 2]",86,72,1731,2556
2,15000,"[7, 6]",54,40,636,780
3,45000,"[4, 6, 8]",89,66,1216,2145
2,25000,"[7, 2]",69,56,1234,1540
